,code,name,regn,f20d1n9f,f22d1n9,f24d1c,f18d2cn6,f20d2,f18d3n3,f20d4n6,fasat,fams,fapu
259,G012,"Garlic, small clove (Allium sativum)",3,0,0,0,56.95,0,4.86,0,32.63,13.55,61.82
260,G013,"Garlic, single clove, Kashmir (Allium sativum)",1,0,0,0,73.1,0,9.31,0,34.76,10.83,82.4
261,G014,"Ginger, fresh (Zinziber officinale)",6,0,0,0,302,0,78.99,0,231,67.97,381
262,G015,Mango ginger (Curcuma amada),3,0,0,0,256,0,78.26,0,177,52.26,334
263,G016,Mint leaves (Mentha spicata ),4,0,0,0,65.09,0,286,0,125,13.23,352
264,G017,"Onion, big (Allium cepa)",6,0,0,0,100,0,6.63,0,60.81,39.36,107
265,G018,"Onion, small (Allium cepa)",5,0,0,0,66.60,0,4.55,0,41.01,15.83,71.16
266,G019,Asafoetida (Ferula assa-foetida),6,7.35,0,0,470,0,43.79,0,242,250,514
267,G020,"Cardamom, green (Elettaria cardamomum)",6,0,0,0,411,0,172,0,624,891,583
268,G021,"Cardamom, black (Elettaria cardamomum)",4,0,0,0,320,0,197,0,493,1083,517
269,G022,"Chillies, red (Capsicum annum)",6,6.75,0,43.11,3081,0,182,0,1141,718,3263
270,G023,Cloves (Syzygium aromaticum),6,0,0,0,2737,0,691,0,2679,605,3428
271,G024,Coriander seeds (Coriandrum sativum),6,40.02,0,0,2203,0,44.01,0,952,10769,2247
272,G025,Cumin seeds (Cuminum cyminum),6,0,0,0,4269,0,44.00,0,619,8379,4313
273,G026,Fenugreek seeds (Trigonella foenum graecum),6,12.15,0,0,2051,0,1082,0,770,675,3133
274,G027,Mace (Myristica fragrans),6,0,0,0,4571,0,159,0,9304,9302,4731
275,G028,Nutmeg (Myristica fragrans),6,26.66,0,0,299,0,79.30,0,3359,1637,379
276,G029,Omum (Trachyspermum ammi),6,42.03,0,0,5116,0,76.71,0,1112,13879,5193
277,G030,Pippali (Piper longum),6,0,0,0,587,0,299,0,602,327,885
278,G031,"Pepper, black (Piper nigrum)",6,0,0,0,818,0,258,0,654,463,1076
279,G032,Poppy seeds (Papaver somniferum),6,14.09,0,0,13742,0,106,0,2074,2353,13847
280,G033,Turmeric powder (Curcuma domestica),6,0,0,0,1563,0,377,0,1634,448,1940
281,H001,Almond (Prunus amygdalus),6,43.69,0,0,13183,0,32.04,0,4358,38336,13215
282,H002,"Arecanut, dried, brown (Areca catechu)",6,4.87,0,0,396,0,7.42,0,2605,466,403
283,H003,"Arecanut, dried, red color (Areca catechu)",3,7.24,0,0,901,0,16.78,0,1674,987,918
284,H004,"Arecanut, fresh (Areca catechu)",2,16.44,0,0,506,0,15.67,0,3389,599,522
285,H005,Cashew nut (Anacardium occidentale),6,66.58,0,0,7427,0,55.04,0,7816,27907,7482
286,H006,"Coconut, kernal, dry (Cocos nucifera)",6,0.00,0,0,929,0,0,0,43138,3710,929
287,H007,"Coconut, kernel, fresh (Cocos nucifera)",6,15.62,0,0,639,0,0,0,28048,2449,639
288,H008,"Garden cress, seeds (Lepidium sativum)",5,2699,0,211,2839,141,7484,0,4101,8131,10464
289,H009,"Gingelly seeds, black (Sesamum indicum)",6,67.66,0,0,19123,0,136,0,6317,15605,19259
290,H010,"Gingelly seeds, brown (Sesamum indicum)",4,66.30,0,0,18966,0,112,0,6250,15989,19078
291,H011,"Gingelly seeds, white (Sesamum indicum)",5,67.54,0,0,18477,0,120,0,6430,16124,18597
292,H012,Ground nut (Arachis hypogea),6,376,0,0,11584,0,0.00,0,8144,18337,11584
293,H013,Mustard seeds (Brassica juncea),6,1838,14468,644,4932,245,3341,0,2112,21032,8910
294,H014,Linseeds (Linum usitatissimum),6,36.60,0,0,3191,0,12956,0,2968,5112,16147
295,H015,"Niger seeds, black (Guizotia abyssinica)",4,122,0,0,21871,0,64.5,0,5945,9033,21935
296,H016,"Niger seeds, gray (Guizotia abyssinica)",5,308,0,0,23300,0,265,0,9737,4452,23564
297,H017,Pine seed (Pinus gerardiana),5,332,0,0,23874,140,188,0,3801,18624,24202
298,H018,Pistachio nuts (Pistacla vera),6,144,0,13.87,11776,0,171,0,4043,18922,11946
299,H019,Safflower seeds (Carthamus tinctorius),5,49.34,0,36.44,18760,0,21.90,0,2548,3589,18781
300,H020,Sunflower seeds (Helianthus annuus),5,82.25,0,0,25545,0,35.6,0,6159,17803,25580
301,H021,Walnut (Juglans regia),6,108,0,0,36205,0,8710,0,5208,11316,44915
302,I001,"Jaggery, cane (Saccharum officinarum)",6,0,0,0,33.10,0,0,0,69.23,21.67,33.10
303,I002,"Sugarcane, juice (Saccharum officinarum)",6,0,0,0,145,0,28.34,0,140,29.70,173
304,J001,"Button mushroom, fresh (Agaricus sp.)",1,0.34,0,0,263,0,0,0,62.89,6.82,263
305,J002,"Chicken mushroom, fresh (Lactiporus sp.)",1,0,0,0,111,0,26.43,0,59.6,3.02,137
306,J003,"Shiitake mushroom, fresh (Lentinula sp.)",1,0.55,0,0,417,63.63,0,0,116,12.33,480
307,J004,"Oyster mushroom, dried (Pleurotus sp.)",1,27.58,0,0,1491,301,0,0,422,73.96,1792
308,K001,Toddy,10,0,0,0,44.90,0,20.28,0,30.65,34.68,65.18
309,K002,Coconut Water,6,0,0,0,3.73,0,0,0,93.49,24.11,3.73
310,L001,"Milk, whole, Buffalo",6,139,0,0,132,0,34.76,21.78,4630,1919,200
311,L002,"Milk, whole, Cow",6,0,0,0,106,0,20.52,7.03,2707,1214,138
312,L003,Paneer,6,0,0,0,206,0,233,0,8851,4300,439
313,L004,Khoa,6,0,0,0,525,0,265,0,12936,5664,790
