,code,name,regn,chlrac,ferac,apigen,apigen6cgls,apigen7onshps,luteol,kaemf,querce,querce3bdgls,querce3ortns
261,G014,"Ginger, fresh (Zinziber officinale)",6,0,0,0,0,0.27,4.81,32.23,0,0,0
262,G015,Mango ginger (Curcuma amada),3,0.45,0.05,0,0,0,0,0,0,0,0
263,G016,Mint leaves (Mentha spicata ),4,0.09,4.64,0.43,0,0,1.49,0,0,0,0
264,G017,"Onion, big (Allium cepa)",6,0.19,0.08,0.05,0,0,0.04,0.68,1.62,2.79,0.36
265,G018,"Onion, small (Allium cepa)",5,0.18,0.04,0.04,0,0,0.01,0.62,5.78,1.61,0.18
266,G019,Asafoetida (Ferula assa-foetida),6,0,36.33,0,0,0,0.14,0,0,0,0
267,G020,"Cardamom, green (Elettaria cardamomum)",6,3.96,1.78,0,0,0,0,0,0,0,0
268,G021,"Cardamom, black (Elettaria cardamomum)",4,4.86,2.35,0,0,0,0,0,0,0,0
269,G022,"Chillies, red (Capsicum annum)",6,0,0,14.08,0,30.49,0,0,0,0,0
270,G023,Cloves (Syzygium aromaticum),6,0,0,0,0,0,0,15.82,13.35,0,0
271,G024,Coriander seeds (Coriandrum sativum),6,2.91,0.13,0,0,0,0,0,0.47,0,6.39
272,G025,Cumin seeds (Cuminum cyminum),6,5.88,0,0.41,0,0,0,35.68,0.15,3.78,13.74
273,G026,Fenugreek seeds (Trigonella foenum graecum),6,1.44,1.73,0,0,0,0,0,0,0,2.67
274,G027,Mace (Myristica fragrans),6,0,0,0,0,0,0,0,0,0,0
275,G028,Nutmeg (Myristica fragrans),6,0,0,0,0,0,4.96,0,2.83,0,4.19
276,G029,Omum (Trachyspermum ammi),6,48.23,0,0,0,0,0,0,0.05,0,3.01
277,G030,Pippali (Piper longum),6,0,0,0,0,0,0,0,0,0,32.83
278,G031,"Pepper, black (Piper nigrum)",6,2.96,0,0,0,0,0,0,0,0,0
279,G032,Poppy seeds (Papaver somniferum),6,0,0,0,0,0,0,0,0.04,0,0.73
280,G033,Turmeric powder (Curcuma domestica),6,0,0,0,0,0,0,0,2.85,0,0
281,H001,Almond (Prunus amygdalus),6,0,0,0,0,0,0,3.61,0,0.08,0.64
282,H002,"Arecanut, dried, brown (Areca catechu)",6,0,0,0,0,0,0,0,0,0,0.49
283,H003,"Arecanut, dried, red color (Areca catechu)",3,0,0,0,0,0,0,0,0,0,0.97
284,H004,"Arecanut, fresh (Areca catechu)",2,0,0,0,0,0,0,0,0,0,0.46
285,H005,Cashew nut (Anacardium occidentale),6,0,0,0,0,0,0,0,0.03,0,0
286,H006,"Coconut, kernal, dry (Cocos nucifera)",6,2.94,0.03,0,0,0,0,0,0,1.14,0
287,H007,"Coconut, kernel, fresh (Cocos nucifera)",6,0.45,0.02,0,0,0,0,0,0,0.59,0
288,H008,"Garden cress, seeds (Lepidium sativum)",5,0.65,0.05,0,0,0,0,1.21,0,0,0
289,H009,"Gingelly seeds, black (Sesamum indicum)",6,0.06,0.14,0,0,0,0,0,0,0,0
290,H010,"Gingelly seeds, brown (Sesamum indicum)",4,0.23,0.08,0,0,0,0,0,0,0,0
291,H011,"Gingelly seeds, white (Sesamum indicum)",5,0.07,0.13,0,0,0,0,0,0,0,0
292,H012,Ground nut (Arachis hypogea),6,2.89,0,2.64,0,0,0,0.05,0,0,0
293,H013,Mustard seeds (Brassica juncea),6,1.77,0,0,0,1.04,0,0,0,4.51,0
294,H014,Linseeds (Linum usitatissimum),6,1.44,1.44,0,0,0,0,0,0,0,0
295,H015,"Niger seeds, black (Guizotia abyssinica)",4,6.49,0.55,0,0,0,0,0,0,0,0
296,H016,"Niger seeds, gray (Guizotia abyssinica)",5,5.40,0.30,0,0,0,0,0,0,0,0
297,H017,Pine seed (Pinus gerardiana),5,0.33,0,0,0,0,0,0,0,0,0
298,H018,Pistachio nuts (Pistacla vera),6,0,0,0,0,0,1.46,0,0.43,0,0.03
299,H019,Safflower seeds (Carthamus tinctorius),5,0.03,0.14,0,0,0,0.17,0.17,0,0,0
300,H020,Sunflower seeds (Helianthus annuus),5,8.29,3.81,0,0,0,0,0,0,0,0
301,H021,Walnut (Juglans regia),6,0,0,0,0,0,0,0,0,0,0
302,I001,"Jaggery, cane (Saccharum officinarum)",6,0.49,0,0,0,7.76,0,0.18,0,0,0
303,I002,"Sugarcane, juice (Saccharum officinarum)",6,0,0.31,0,0,0,0,0,0,0,0
304,J001 ,"Button mushroom, fresh (Agaricus sp.) ",1,0,0,0,0,0,0,0,0,0,0
305,J002,"Chicken mushroom, fresh (Lactiporus sp.)",1,0,0,0,0,0,0,0,0,0,0
306,J003,"Shiitake mushroom, fresh (Lentinula sp.)",1,0,0,0,0,0,0,0,0,0,0
307,J004,"Oyster mushroom, dried (Pleurotus sp.)",1,0,0,0,0,0,0,0,0,0,0
308,K001,Toddy,10,0,0.03,0,0,0,0,0,0,0,0
309,K002,Coconut Water,6,0.43,0,0,0,0,0,0,0,0.13,0
310,L001 ,"Milk, whole, Buffalo ",6,0,0,0,0,0,0,0,0,0,0
311,L002,"Milk, whole, Cow",6,0,0,0,0,0,0,0,0,0,0
312,L003,Paneer,6,0,0,0,0,0,0,0,0,0,0
313,L004,Khoa,6,0,0,0,0,0,0,0,0,0,0
