,code,name,regn,oxalt,oxals,oxali,caconac,citac,fumac,malac,quinac,sucac,tarac
228,E068,Zizyphus (Zizyphus jujube),1,2.89,1.33,1.56,0,19.93,1.37,1.21,141,89.7,129
229,F001 ,Beet root (Beta vulgaris) ,6,71.37 ,30.15 ,41.21 ,45.43 ,134 ,0.02 ,0.33 ,0,0.29,0
230,F002,"Carrot, orange (Dacus carota)",6,17.45,12.63,4.82,37.50,222,5.62,4.83,0,5.58,0
231,F003,"Carrot, red (Dacus carota)",4,16.41,15.43,0.98,39.15,105,0,5.01,0,5.13,0
232,F004,Colocasia (Colocasia antiquorum),6,48.73,26.60,22.13,0.44,12.17,7.03,3.69,42.18,0,0
233,F005,Lotus root (Nelumbium nelumbo),3,364,26.03,116,0.85,55.38,1.48,84.39,0,4.89,85.92
234,F006,"Potato, brown skin, big (Solanum tuberosum)",6,12.24,9.71,2.64,10.97,55.38,1.48,84.10,0,4.89,0
235,F007,"Potato, brown skin, small (Solanum tuberosum)",1,13.63,10.71,2.92,15.63,56.81,1.82,94.52,0,7.11,0
236,F008,"Potato, red skin (Solanum tuberosum)",1,12.37,10.21,2.16,14.52,57.82,1.52,93.8,0,6.81,0
237,F009,"Radish, elongate, red skin (Raphanus sativus)",3,12.73,5.37,7.36,4.20,2.94,1.34,4.53,0,2.59,0
238,F010,"Radish, elongate, white skin (Raphanus sativus)",6,12.72,8.06,4.66,4.35,3.65,1.35,4.90,0,1.84,0
239,F011,"Radish, round, red skin (Raphanus sativus)",1,12.27,9.12,3.15,3.27,6.12,1.36,6.41,0,2.82,0
240,F012,"Radish, round, white skin (Raphanus sativus)",2,15.49,8.88,6.61,3.49,2.97,1.61,5.58,0,2.07,0
241,F013,"Sweet potato, brown skin (Ipomoes batatas)",4,14.39,6.56,6.27,0,15.66,1.92,127,0,652,6.42
242,F014,"Sweet potato, pink skin (Ipomoes batatas)",3,14.14,9.04,5.10,0,25.69,0.23,147,0.08,334,17.95
243,F015,Tapioca (Manihot esculenta),3,16.86,10.93,5.93,1.21,8.83,1.87,8.82,167,18.23,0
244,F016,Water Chestnut (Eleocharis dulcis),1,16.54,8.66,7.88,0,4.86,1.05,2.07,15.07,17.22,0
245,F017,"Yam, elephant (Amorphophallus campanulatus)",6,15.58,12.39,3.18,1.63,354,5.92,122,15.88,16.18,0
246,F018,"Yam, ordinary (Amorphophallus campanulatus)",4,13.99,11.21,2.78,4.55,556,1.62,50.48,13.37,18.56,0
247,F019,"Yam, wild (Dioscorea versicolor)",2,13.45,3.63,9.82,0,286,1.11,138,10.48,20.65,0
248,G001,"Chillies, green-1 (Capsicum annum)",5,28.86,24.35,4.94,1.48,4.85,3.12,27.49,0,131,15.81
249,G002,"Chillies, green-2 (Capsicum annum)",3,26.32,20.87,5.45,1.43,5.89,3.19,29.52,0,127,18.15
250,G003,"Chillies, green-3 (Capsicum annum)",5,27.68,22.10,5.58,1.33,6.44,3.43,31.64,0,123,19.99
251,G004,"Chillies, green-4 (Capsicum annum)",3,23.85,20.50,3.35,1.92,4.43,3.52,33.22,0,118,16.24
252,G005,"Chillies, green-5 (Capsicum annum)",2,38.30,22.73,4.33,1.37,4.86,3.94,33.47,0,129,24.64
253,G006,"Chillies, green-6 (Capsicum annum)",1,30.12,24.31,5.82,0.73,1.13,3.28,30.79,0,121,20.91
254,G007,"Chillies, green-7 (Capsicum annum)",1,29.37,25.4,3.97,1.57,5.69,4.04,34.69,0,131,19.55
255,G008,"Chillies, green - all varieties (Capsicum annum)",6,28.54,22.66,4.92,1.43,5.13,3.42,30.91,0,126,18.88
256,G009,Coriander leaves (Coriandrum sativum),6,20.42,15.75,4.68,11.59,546,23.95,65.96,16.17,0,0
257,G010,Curry leaves (Murraya koenigii),6,154,10.93,143,0.73,65.27,1.62,7.45,13.66,37.87,7.21
258,G011,"Garlic, big clove (Allium sativum)",6,159,130,28.47,0,0.64,0.05,0,0,20.73,0
259,G012,"Garlic, small clove (Allium sativum)",3,143,115,27.98,0,1.15,0.07,0,0,23.11,0
260,G013,"Garlic, single clove, Kashmir (Allium sativum)",1,127,119,7.33,0,0.12,0,0,0,20.11,0
261,G014,"Ginger, fresh (Zinziber officinale)",6,259,18.26,241,0,5.95,1.43,0,0,2.16,0
262,G015,Mango ginger (Curcuma amada),3,307,228,79.22,0,53.42,0.40,33.20,3.13,3.80,0
263,G016,Mint leaves (Mentha spicata ),4,97.07,8.30,88.76,0,25.86,3.83,14.80,26.33,27.22,0
264,G017,"Onion, big (Allium cepa)",6,4.03,3.42,0.61,43.05,33.89,0.63,392,0,105,12.21
265,G018,"Onion, small (Allium cepa)",5,11.11,9.69,1.27,0,76.07,0.04,117,165,135,0
266,G019,Asafoetida (Ferula assa-foetida),6,23.82,3.27,20.55,1.66,6.35,0.02,0.46,4.72,0,1.64
267,G020,"Cardamom, green (Elettaria cardamomum)",6,1961,1191,770,0,73.83,0.85,22.21,4.85,5.41,0
268,G021,"Cardamom, black (Elettaria cardamomum)",4,2472,1471,1001,0,156,0.81,36.77,4.28,6.11,0
269,G022,"Chillies, red (Capsicum annum)",6,87.17,65.69,21.48,0,0.62,13.67,68.38,0,22.00,0
270,G023,Cloves (Syzygium aromaticum),6,1845,353,1492,1.54,427,0.46,177,0,0,20.28
271,G024,Coriander seeds (Coriandrum sativum),6,809,118,692,1.41,53.84,6.53,13.51,0,0,0
272,G025,Cumin seeds (Cuminum cyminum),6,817,40.43,777,2.43,47.00,2.38,40.76,0,0,0
273,G026,Fenugreek seeds (Trigonella foenum graecum),6,31.75,10.55,21.20,0.24,4.99,0,0,2.47,0,2.19
274,G027,Mace (Myristica fragrans),6,28.22,0.28,27.94,0,98.68,2.36,173,345,0,0
275,G028,Nutmeg (Myristica fragrans),6,194,48.20,146,0,59.31,55.90,15.70,231,16.52,0
276,G029,Omum (Trachyspermum ammi),6,1020,34.19,985,0,47.73,0,199,26.16,5.55,0
277,G030,Pippali (Piper longum),6,367,21.22,346,0.16,37.97,0.05,0.52,0,121,154
278,G031,"Pepper, black (Piper nigrum)",6,431,33.74,398,4.39,136,1.65,13.93,0,119,1.92
279,G032,Poppy seeds (Papaver somniferum),6,1631,32.08,1599,3.92,21.79,0,24.18,557,24.40,0
280,G033,Turmeric powder (Curcuma domestica),6,1531,1221,310,0,2.63,0.17,40.62,0,33.24,0
281,H001,Almond (Prunus amygdalus),6,344,110,235,0,11.88,0.29,97.52,0,1.31,1.18
282,H002,"Arecanut, dried, brown (Areca catechu)",6,0,0,0,0,7.93,0.14,47.16,75.06,1.89,0
283,H003,"Arecanut, dried, red color (Areca catechu)",3,0,0,0,0,8.76,0.20,45.71,74.62,2.03,0
284,H004,"Arecanut, fresh (Areca catechu)",2,0,0,0,0,12.56,24.8,0,0,26.62,0
285,H005,Cashew nut (Anacardium occidentale),6,189,149,39.52,0,7.73,34.66,0,0,27.73,0
286,H006,"Coconut, kernal, dry (Cocos nucifera)",6,6.83,3.10,3.73,0,117,0.41,1.83,13.84,10.17,6.38
287,H007,"Coconut, kernel, fresh (Cocos nucifera)",6,3.44,1.68,1.76,1.71,1.82,0,15.15,0,119,0
288,H008,"Garden cress, seeds (Lepidium sativum)",5,60.04,33.30,26.74,0,2.08,1.73,94.12,0,25.42,0.84
289,H009,"Gingelly seeds, black (Sesamum indicum)",6,2156,78.58,2078,0.22,4.56,1.77,0,10.45,104,3.84
290,H010,"Gingelly seeds, brown (Sesamum indicum)",4,2030,83.13,1947,0.64,54.18,3.27,34.68,11.90,10.72,139
291,H011,"Gingelly seeds, white (Sesamum indicum)",5,2004,73.51,1931,0.77,56.42,0.42,0.12,0,0,93.82
292,H012,Ground nut (Arachis hypogea),6,60.98,39.67,21.31,0,61.34,1.05,6.21,12.48,9.70,154
293,H013,Mustard seeds (Brassica juncea),6,6.92,5.28,1.64,0,67.49,0.39,16.04,14.12,5.95,149
294,H014,Linseeds (Linum usitatissimum),6,5.85,1.91,3.95,0,9.73,7.06,11.46,0,1.87,0
295,H015,"Niger seeds, black (Guizotia abyssinica)",4,1913,93.94,1819,0.35,102,0,41.54,0,41.73,371
296,H016,"Niger seeds, gray (Guizotia abyssinica)",5,1544,90.22,1453,0.74,343,0,13.80,0,0,0
297,H017,Pine seed (Pinus gerardiana),5,159,94.00,64.99,0,15.26,23.06,0,0,34.32,0
298,H018,Pistachio nuts (Pistacla vera),6,46.42,22.88,23.54,0,3.24,1.22,139,53.79,6.12,4.21
299,H019,Safflower seeds (Carthamus tinctorius),5,215,92.57,122,0,1.95,1.94,133,25.63,9.02,5.67
300,H020,Sunflower seeds (Helianthus annuus),5,23.70,6.13,17.57,0,33.42,1.46,7.47,0,0.60,57.95
301,H021,Walnut (Juglans regia),6,37.03,27.31,9.72,3.33,15.32,0,24.59,0,279,81.29
302,I001,"Jaggery, cane (Saccharum officinarum)",6,0,0,0,0,5.24,3.31,36.91,60.69,46.62,3.21
303,I002,"Sugarcane, juice (Saccharum officinarum)",6,0,0,0,0,3.55,0,2.04,132,459,0
304,J001,"Button mushroom, fresh (Agaricus sp.)",1,10.23,2.46,7.77,0,5.61,0.81,3.5,0,0,0
305,J002,"Chicken mushroom, fresh (Lactiporus sp.)",1,12.56,3.55,9.01,0,6.48,0.97,3.96,0,0,0
306,J003,"Shiitake mushroom, fresh (Lentinula sp.)",1,15.84,4.12,11.72,0,6.25,0.76,3.25,0,0,0
307,J004,"Oyster mushroom, dried (Pleurotus sp.)",1,20.65,6.34,14.31,0,6.97,0.86,3.04,0,0,0
308,K001 ,Toddy ,10,0,0,0,0,0,0.03,0,0,0,0
309,K002,Coconut Water,6,0,0,0,0.82,0,1.74,0,0,124,4.20
310,L001 ,"Milk, whole, Buffalo ",6,0,0,0,0,0,0,0,0,0,0
311,L002,"Milk, whole, Cow",6,0,0,0,0,0,0,0,0,0,0
312,L003,Paneer,6,0,0,0,0,5.21,0,0,64.28,1.42,0
313,L004,Khoa,6,0,0,0,0,25.26,1.12,1.43,651,6.99,0
