,code,name,regn,epicategc,epicatgc3gal,catec,galcatecgal,galcatec,syrgac,sinpac,ellgac,polyph
290,H010,"Gingelly seeds, brown (Sesamum indicum)",4,0,0,0,0,0,0,0,0,102
291,H011,"Gingelly seeds, white (Sesamum indicum)",5,0,0,0,0,0,0,0,0,23.00
292,H012,Ground nut (Arachis hypogea),6,0,0,0,0,0,0,0,0,127
293,H013,Mustard seeds (Brassica juncea),6,0,0,0,0,0,0,0,0,48.81
294,H014,Linseeds (Linum usitatissimum),6,0,0,0,0,0,0,0,0,31.60
295,H015,"Niger seeds, black (Guizotia abyssinica)",4,0,0,0,0,0,0,0,0,539
296,H016,"Niger seeds, gray (Guizotia abyssinica)",5,0,0,0,0,0,0,0,0,359
297,H017,Pine seed (Pinus gerardiana),5,0.28,0,0,0,0,0,0,0,59.85
298,H018,Pistachio nuts (Pistacla vera),6,0,2.99,0.69,0,0,0,0,0,132
299,H019,Safflower seeds (Carthamus tinctorius),5,0,0,0,0,0,0,0,0,22.09
300,H020,Sunflower seeds (Helianthus annuus),5,0,0,0,0,0,0,0,0,289
301,H021,Walnut (Juglans regia),6,0,0,0,0,0,0,0,1.23,216
302,I001,"Jaggery, cane (Saccharum officinarum)",6,0,0,0,0,0,0.06,0,0,127
303,I002,"Sugarcane, juice (Saccharum officinarum)",6,0,0,0,0,0,0,0,0,5.25
304,J001 ,"Button mushroom, fresh (Agaricus sp.) ",1,0,0,0,0,0,0,0,0,0
305,J002,"Chicken mushroom, fresh (Lactiporus sp.)",1,0,0,0,0,0,0,0,0,0
306,J003,"Shiitake mushroom, fresh (Lentinula sp.)",1,0,0,0,0,0,0,0,0,0
307,J004,"Oyster mushroom, dried (Pleurotus sp.)",1,0,0,0,0,0,0,0,0,0
308,K001,Toddy,10,0,0,0.03,0,0,0,0,0,113
309,K002,Coconut Water,6,0,0,0,0,0,0,0,0,19.76
310,L001 ,"Milk, whole, Buffalo ",6,0,0,0,0,0,0,0,0,0
311,L002,"Milk, whole, Cow",6,0,0,0,0,0,0,0,0,0
312,L003,Paneer,6,0,0,0,0,0,0,0,0,0
313,L004,Khoa,6,0,0,0,0,0,0,0,0,0
