,code,name,regn,rafs,stas,vers,ajgs,camt,stgstr,stostrb,phytac,sapon
256,G009,Coriander leaves (Coriandrum sativum),6,0.01,0,0,0,0.73,9.35,18.49,38.68,0
257,G010,Curry leaves (Murraya koenigii),6,0,0,0,0,10.47,0.74,73.92,40.99,0.23
258,G011,"Garlic, big clove (Allium sativum)",6,0.13,0.13,0.06,0,1.27,0.32,12.36,36.55,0
259,G012,"Garlic, small clove (Allium sativum)",3,0.19,0.14,0.06,0,1.33,0.31,12.88,35.43,0
260,G013,"Garlic, single clove, Kashmir (Allium sativum)",1,0.22,0.12,0.06,0,1.21,0.37,13.66,31.95,0
261,G014,"Ginger, fresh (Zinziber officinale)",6,0,0,0,0,1.34,1.16,13.29,14.50,0
262,G015,Mango ginger (Curcuma amada),3,0,0,0,0,0.78,0.56,11.17,15.52,0.38
263,G016,Mint leaves (Mentha spicata ),4,0.01,0.02,0,0,1.74,2.45,36.70,48.05,0.35
264,G017,"Onion, big (Allium cepa)",6,1.64,1.31,0.85,0,0.47,0.31,7.35,13.90,0
265,G018,"Onion, small (Allium cepa)",5,0.08,0,0,0,0.77,0.47,7.90,8.28,1.11
266,G019,Asafoetida (Ferula assa-foetida),6,0,0,0,0,4.21,2.02,29.13,806,1.78
267,G020,"Cardamom, green (Elettaria cardamomum)",6,0,0,0,0,3.29,2.37,46.54,721,1.68
268,G021,"Cardamom, black (Elettaria cardamomum)",4,0,0,0,0,3.36,2.59,50.80,670,1.40
269,G022,"Chillies, red (Capsicum annum)",6,0,0,0,0,16.06,4.93,81.78,264,0
270,G023,Cloves (Syzygium aromaticum),6,0,0,0,0,1.28,5.02,211,349,0.55
271,G024,Coriander seeds (Coriandrum sativum),6,0.37,0,0,0,9.60,17.60,75.77,1008,0
272,G025,Cumin seeds (Cuminum cyminum),6,0.44,0,0,0,9.36,33.96,106,445,0
273,G026,Fenugreek seeds (Trigonella foenum graecum),6,0.60,1.43,0.26,0,12.35,6.69,126,570,6.33
274,G027,Mace (Myristica fragrans),6,0,0,0,0,3.56,5.95,44.96,691,1.48
275,G028,Nutmeg (Myristica fragrans),6,0,0,0,0,6.10,8.91,94.48,704,2.26
276,G029,Omum (Trachyspermum ammi),6,0,0,0,0,5.89,20.98,75.29,895,4.50
277,G030,Pippali (Piper longum),6,0.02,0,0,0,8.28,17.94,29.18,503,0.04
278,G031,"Pepper, black (Piper nigrum)",6,0,0,0,0,4.90,10.16,64.74,383,0.87
279,G032,Poppy seeds (Papaver somniferum),6,0.46,0,0,0,20.96,5.52,146,1109,5.53
280,G033,Turmeric powder (Curcuma domestica),6,0,0,0,0,5.19,7.19,64.15,358,0
281,H001,Almond (Prunus amygdalus),6,0.10,0.02,0,0,3.73,2.81,184,964,9.05
282,H002,"Arecanut, dried, brown (Areca catechu)",6,0,0,0,0,5.28,3.36,44.73,474,0
283,H003,"Arecanut, dried, red color (Areca catechu)",3,0,0,0,0,5.37,3.46,48.93,403,0
284,H004,"Arecanut, fresh (Areca catechu)",2,0,0,0,0,5.17,3.39,45.24,414,0
285,H005,Cashew nut (Anacardium occidentale),6,2.62,0.21,0.01,0,3.64,0.89,110,929,9.84
286,H006,"Coconut, kernal, dry (Cocos nucifera)",6,0,0,0,0,1.75,4.39,21.97,390,0
287,H007,"Coconut, kernel, fresh (Cocos nucifera)",6,0,0,0,0,1.17,2.45,14.59,136,0
288,H008,"Garden cress, seeds (Lepidium sativum)",5,3.56,0.91,0,0,63.85,7.98,261,1037,3.42
289,H009,"Gingelly seeds, black (Sesamum indicum)",6,1.00,0.01,0.01,0,30.80,14.08,206,845,3.25
290,H010,"Gingelly seeds, brown (Sesamum indicum)",4,0.86,0.01,0.01,0,32.34,14.11,207,921,6.40
291,H011,"Gingelly seeds, white (Sesamum indicum)",5,0.93,0.01,0.02,0,34.13,14.89,219,927,5.64
292,H012,Ground nut (Arachis hypogea),6,0.03,0.06,0,0,17.23,9.46,124,582,3.58
293,H013,Mustard seeds (Brassica juncea),6,0.35,0.56,0,0,43.10,7.63,117,132,0
294,H014,Linseeds (Linum usitatissimum),6,3.52,0,0,0,31.48,7.25,112,1859,2.21
295,H015,"Niger seeds, black (Guizotia abyssinica)",4,0.14,0,0,0,24.76,35.44,175,1974,9.30
296,H016,"Niger seeds, gray (Guizotia abyssinica)",5,0.23,0.01,0,0,24.32,34.16,174,1709,5.02
297,H017,Pine seed (Pinus gerardiana),5,0,0,0,0,22.30,2.34,182,883,3.21
298,H018,Pistachio nuts (Pistacla vera),6,4.21,0.13,0,0,12.38,2.22,369,808,3.01
299,H019,Safflower seeds (Carthamus tinctorius),5,3.07,0.10,0.36,0,17.59,6.63,144,1083,4.41
300,H020,Sunflower seeds (Helianthus annuus),5,0.09,0,0,0,11.76,14.42,175,423,13.93
301,H021,Walnut (Juglans regia),6,0,0,0,0,2.99,1.36,125,1001,10.03
302,I001,"Jaggery, cane (Saccharum officinarum)",6,0,0,0,0,0,0,0,0,0
303,I002,"Sugarcane, juice (Saccharum officinarum)",6,0.03,0,0,0,0,0,0,0,0
304,J001,"Button mushroom, fresh (Agaricus sp.)",1,0,0,0,0,0.93,1.25,7.04,0,0
305,J002,"Chicken mushroom, fresh (Lactiporus sp.)",1,0,0,0,0,6.83,1.94,2.05,0,0
306,J003,"Shiitake mushroom, fresh (Lentinula sp.)",1,0,0,0,0,7.35,2.19,2.91,0,0
307,J004,"Oyster mushroom, dried (Pleurotus sp.)",1,0,0,0,0,7.72,2.03,2.72,0,0
308,K001 ,Toddy ,10,0,0,0,0,0,0,0,0,0
309,K002,Coconut Water,6,0,0,0,0,0.02,0.04,0.05,0,0
310,L001,"Milk, whole, Buffalo",6,0,0,0,0,0,0,0,0,0
311,L002,"Milk, whole, Cow",6,0,0,0,0,0,0,0,0,0
312,L003,Paneer,6,0,0,0,0,0,0,0,0,0
313,L004,Khoa,6,0,0,0,0,0,0,0,0,0
