,code,name,regn,f10d0,f12d0,f14d0,f16d0,f18d0,f20d0,f22d0,f24d0,f14d1,f16d1c,f18d1cn9
233,F005,Lotus root (Nelumbium nelumbo),3,0,0,0,215,33.32,0,0,0,0,0,84.12
234,F006,"Potato, brown skin, big (Solanum tuberosum)",6,0,0,0,36.34,7.21,0,0,0,0,9.75,4.06
235,F007,"Potato, brown skin, small (Solanum tuberosum)",1,0,0,0,36.29,7.74,0,0,0,0,4.57,7.37
236,F008,"Potato, red skin (Solanum tuberosum)",1,0,0,0,32.95,6.92,0,0,0,0,12.38,2.53
237,F009,"Radish, elongate, red skin (Raphanus sativus)",3,0,0,0,33.13,5.52,1.31,1.35,1.35,0,1.11,6.17
238,F010,"Radish, elongate, white skin (Raphanus sativus)",6,0,0,0,34.72,5.15,1.39,1.25,1.38,0,1.20,7.94
239,F011,"Radish, round, red skin (Raphanus sativus)",1,0,0,0,37.24,4.69,0.97,1.26,1.93,0,1.25,4.82
240,F012,"Radish, round, white skin (Raphanus sativus)",2,0,0,0,34.12,3.97,0.86,0.84,1.36,0,1.17,11.47
241,F013,"Sweet potato, brown skin (Ipomoes batatas)",4,0,7.39,0,48.29,10.42,0,0,0,0,0,4.10
242,F014,"Sweet potato, pink skin (Ipomoes batatas)",3,0,11.17,0,72.86,17.06,0,0,0,0,0,9.35
243,F015,Tapioca (Manihot esculenta),3,0,3.59,0,42.10,13.82,0,0,0,0,0,9.20
244,F016,Water Chestnut (Eleocharis dulcis),1,0,0.29,1.82,65,14.52,2.68,1.55,1.56,0,0.88,100
245,F017,"Yam, elephant (Amorphophallus campanulatus)",6,0,0,0,31.01,4.72,0,0,0,0,0,6.75
246,F018,"Yam, ordinary (Amorphophallus campanulatus)",4,0,0,0,39.42,3.21,0,0,0,0,0,13.04
247,F019,"Yam, wild (Dioscorea versicolor)",2,0,0,0,67.83,11.68,0,0,0,0,0,22.66
248,G001,"Chillies, green-1 (Capsicum annum)",5,0,0,4.96,90.78,20.64,3.80,2.89,2.63,0,3.72,34.47
249,G002,"Chillies, green-2 (Capsicum annum)",3,0,0,6.20,91.42,21.54,4.16,4.08,3.96,0,4.85,28.54
250,G003,"Chillies, green-3 (Capsicum annum)",5,0,0,5.62,91.98,24.00,3.98,3.72,3.38,0,3.88,27.86
251,G004,"Chillies, green-4 (Capsicum annum)",3,0,0,6.02,92.27,29.74,6.91,6.21,6.75,0,5.19,24.06
252,G005,"Chillies, green-5 (Capsicum annum)",2,0,0,4.26,76.39,18.31,3.60,3.06,3.30,0,3.87,23.10
253,G006,"Chillies, green-6 (Capsicum annum)",1,0,0,8.14,80.61,18.97,4.87,4.5,4.16,0,4.67,22.9
254,G007,"Chillies, green-7 (Capsicum annum)",1,0,0,4.28,65.01,21.57,3.58,3.96,3.72,0,3.89,25.77
255,G008,"Chillies, green - all varieties (Capsicum annum)",6,0,0,5.58,88.25,22.68,4.43,4.00,3.94,0,4.32,27.88
256,G009,Coriander leaves (Coriandrum sativum),6,0,0,18.14,144,49.06,3.05,6.52,6.77,0,0,8.31
257,G010,Curry leaves (Murraya koenigii),6,0,0,0,236,30.80,0,0,0,0,0,44.57
258,G011,"Garlic, big clove (Allium sativum)",6,0,0,0,26.56,3.16,1.03,1.74,1.03,0,0,14.24
259,G012,"Garlic, small clove (Allium sativum)",3,0,0,0,25.14,3.41,1.09,2.02,0.97,0,0,13.55
260,G013,"Garlic, single clove, Kashmir (Allium sativum)",1,0,0,0,28.56,2.19,1.36,1.35,1.31,0,0,10.83
261,G014,"Ginger, fresh (Zinziber officinale)",6,0,24.21,11.05,176,19.86,0,0,0,0,0,67.97
262,G015,Mango ginger (Curcuma amada),3,0,0,0,146,30.59,0,0,0,0,0,52.26
263,G016,Mint leaves (Mentha spicata ),4,0,0,2.18,105,17.59,0,0,0,0,0,13.23
264,G017,"Onion, big (Allium cepa)",6,0,0,0,47.96,4.65,0,3.80,4.40,0,0,39.36
265,G018,"Onion, small (Allium cepa)",5,0,0,0,32.07,4.08,0,2.50,2.37,0,0,15.83
266,G019,Asafoetida (Ferula assa-foetida),6,0,0,5.04,191,45.89,0,0,0,0,5.91,236
267,G020,"Cardamom, green (Elettaria cardamomum)",6,0,0,0,557,66.70,0,0,0,0,32.49,858
268,G021,"Cardamom, black (Elettaria cardamomum)",4,0,0,0,430,62.50,0,0,0,0,39.53,1043
269,G022,"Chillies, red (Capsicum annum)",6,0,0,60.26,890,141,21.09,15.91,13.52,0,22.41,646
270,G023,Cloves (Syzygium aromaticum),6,0,0,0,2020,659,0,0,0,0,0,605
271,G024,Coriander seeds (Coriandrum sativum),6,0,0,54.98,631,141,31.53,56.26,36.98,0,27.35,10702
272,G025,Cumin seeds (Cuminum cyminum),6,0,0,0,500,98.2,20.46,0,0,0,35.01,8344
273,G026,Fenugreek seeds (Trigonella foenum graecum),6,0,0,0,501,188,50.12,18.60,11.78,0,0,663
274,G027,Mace (Myristica fragrans),6,0,0,362,8120,767,54.30,0,0,0,404,8898
275,G028,Nutmeg (Myristica fragrans),6,0,783,0,2372,204,0,0,0,0,47.77,1562
276,G029,Omum (Trachyspermum ammi),6,0,0,16.93,895,177,23.26,0,0,0,26.83,13810
277,G030,Pippali (Piper longum),6,0,0,0,436,165,0,0,0,0,38.18,289
278,G031,"Pepper, black (Piper nigrum)",6,0,0,0,548,106,0,0,0,0,0,463
279,G032,Poppy seeds (Papaver somniferum),6,0,0,10.16,1644,397,22.27,0,0,0,27.62,2311
280,G033,Turmeric powder (Curcuma domestica),6,0,0,0,769,691,174,0,0,0,0,448
281,H001,Almond (Prunus amygdalus),6,0,0,30.36,3553,717,57.98,0,0,0,281,38012
282,H002,"Arecanut, dried, brown (Areca catechu)",6,0,524,1527,487,56.30,9.72,0,0,0,0,461
283,H003,"Arecanut, dried, red color (Areca catechu)",3,0,236,833,498,94.80,12.14,0,0,0,0,980
284,H004,"Arecanut, fresh (Areca catechu)",2,0,586,2093,628,68.65,13.31,0,0,0,0,582
285,H005,Cashew nut (Anacardium occidentale),6,0,0,0,4033,3447,233,47.13,56.25,0,163,27678
286,H006,"Coconut, kernal, dry (Cocos nucifera)",6,2674,24525,10243,4322,1373,0.00,0.00,0.00,0,0,3710
287,H007,"Coconut, kernel, fresh (Cocos nucifera)",6,1699,15442,6736,3067,1043,32.77,10.93,17.37,0,0,2434
288,H008,"Garden cress, seeds (Lepidium sativum)",5,0,0,32.71,2190,730,800,219,130,0,55.48,5166
289,H009,"Gingelly seeds, black (Sesamum indicum)",6,0,0,0,3735,2230,263,51.25,38.42,0,62.24,15475
290,H010,"Gingelly seeds, brown (Sesamum indicum)",4,0,0,0,3826,2090,251,47.61,35.87,0,56.96,15866
291,H011,"Gingelly seeds, white (Sesamum indicum)",5,0,0,0,3883,2206,256,50.85,33.17,0,55.87,16001
292,H012,Ground nut (Arachis hypogea),6,0,0,0,4520,1303,598,1247,478,0,242,17719
293,H013,Mustard seeds (Brassica juncea),6,0,0,0,856,389.3,289,348,230,0,69.74,4012
294,H014,Linseeds (Linum usitatissimum),6,0,0,0,1503,1323,59.74,51.21,31.93,0,25.61,5049
295,H015,"Niger seeds, black (Guizotia abyssinica)",4,0,0,100,4750,951,91.53,23.39,27.87,0,98.16,8813
296,H016,"Niger seeds, gray (Guizotia abyssinica)",5,0,0,136,6061,2651,250,386,253,0,131,4013
297,H017,Pine seed (Pinus gerardiana),5,0,0,19.65,2640,791,246,74.80,30.03,0,31.06,18261
298,H018,Pistachio nuts (Pistacla vera),6,0,0,39.96,3473,425,49.82,38.10,18.11,0,285,18478
299,H019,Safflower seeds (Carthamus tinctorius),5,0,0,28.06,1789,546,90.69,58.62,36.13,0,17.08,3487
300,H020,Sunflower seeds (Helianthus annuus),5,0,0,47.49,3215,2166,175,411,145,0,71.56,17649
301,H021,Walnut (Juglans regia),6,0,0,0,3661,1502,44.18,0,0,0,39.95,11168
302,I001,"Jaggery, cane (Saccharum officinarum)",6,0,0,0,45.00,24.23,0,0,0,0,0,21.67
303,I002,"Sugarcane, juice (Saccharum officinarum)",6,0,0,0,119,20.80,0,0,0,0,0,29.70
304,J001,"Button mushroom, fresh (Agaricus sp.)",1,0,0,1.83,40.06,12.95,5.07,2.98,0,0,1.23,5.25
305,J002,"Chicken mushroom, fresh (Lactiporus sp.)",1,0,0,0.79,54.83,3.99,0,0,0,0,0.62,2.4
306,J003,"Shiitake mushroom, fresh (Lentinula sp.)",1,0,0,3.25,72.7,18.44,9.17,5.21,0,0,2.05,9.73
307,J004,"Oyster mushroom, dried (Pleurotus sp.)",1,0,0,12.67,256,91.79,36.78,20.76,0,0,7.94,38.44
308,K001,Toddy,10,0,0,2.10,21.04,7.50,0,0,0,0,4.19,30.49
309,K002,Coconut Water,6,0,47.14,24.62,16.18,5.56,0,0,0,0,0,10.78
310,L001,"Milk, whole, Buffalo",6,158,220,806,1776,943,0,0,0,47.08,61.97,1671
311,L002,"Milk, whole, Cow",6,172,98,451,1033,518,0,0,0,0,37.90,1176
312,L003,Paneer,6,230,340,1600,4792,1755,88.14,28.73,17.14,0,385,3914
313,L004,Khoa,6,259,375,1932,7138,3099,61.24,43.03,28.18,0,398,5266
