,code,name,regn,cho,starch,frus,glus,sucs,mals,fsugar,lactose
256,G009,Coriander leaves (Coriandrum sativum),6,1.23,1.06,0.07,0.06,0.05,0,0.17,0
257,G010,Curry leaves (Murraya koenigii),6,3.66,3.08,0.41,0.20,0,0,0.60,0
258,G011,"Garlic, big clove (Allium sativum)",6,20.81,14.84,4.20,1.20,0.57,0,5.97,0
259,G012,"Garlic, small clove (Allium sativum)",3,19.70,14.86,1.48,1.08,2.28,0,4.84,0
260,G013,"Garlic, single clove, Kashmir (Allium sativum)",1,21.26,17.53,1.21,1.05,1.47,0,3.73,0
261,G014,"Ginger, fresh (Zinziber officinale)",6,5.11,3.80,1.00,0.15,0.17,0,1.31,0
262,G015,Mango ginger (Curcuma amada),3,4.21,1.79,1.11,0.81,0.50,0,2.42,0
263,G016,Mint leaves (Mentha spicata ),4,1.10,1.02,0.01,0.07,0,0,0.08,0
264,G017,"Onion, big (Allium cepa)",6,6.68,0.80,1.89,1.47,2.52,0,5.88,0
265,G018,"Onion, small (Allium cepa)",5,6.37,0.75,1.44,1.63,2.55,0,5.62,0
266,G019,Asafoetida (Ferula assa-foetida),6,37.76,36.83,0.21,0.47,0.25,0,0.93,0
267,G020,"Cardamom, green (Elettaria cardamomum)",6,33.75,29.47,1.84,1.89,0.55,0,4.28,0
268,G021,"Cardamom, black (Elettaria cardamomum)",4,31.34,29.04,1.37,0.76,0.17,0,2.30,0
269,G022,"Chillies, red (Capsicum annum)",6,9.45,4.75,2.68,1.82,0.20,0,4.70,0
270,G023,Cloves (Syzygium aromaticum),6,10.67,8.57,1.68,0.43,0,0,2.10,0
271,G024,Coriander seeds (Coriandrum sativum),6,8.45,6.07,1.61,0.77,0,0,2.38,0
272,G025,Cumin seeds (Cuminum cyminum),6,15.84,14.46,0.63,0.75,0,0,1.38,0
273,G026,Fenugreek seeds (Trigonella foenum graecum),6,4.22,3.66,0.31,0.12,0.11,0.01,0.55,0
274,G027,Mace (Myristica fragrans),6,23.71,22.85,0.20,0.28,0.38,0,0.85,0
275,G028,Nutmeg (Myristica fragrans),6,25.56,24.49,0.29,0.59,0.20,0,1.08,0
276,G029,Omum (Trachyspermum ammi),6,18.51,15.75,2.07,0.47,0.22,0,2.76,0
277,G030,Pippali (Piper longum),6,34.46,31.72,1.24,0.51,1.00,0,2.75,0
278,G031,"Pepper, black (Piper nigrum)",6,35.67,35.35,0.09,0.23,0,0,0.32,0
279,G032,Poppy seeds (Papaver somniferum),6,12.28,10.43,0.78,0.77,0.30,0,1.85,0
280,G033,Turmeric powder (Curcuma domestica),6,45.67,44.44,0,0.49,0.75,0,1.23,0
281,H001,Almond (Prunus amygdalus),6,2.24,0.01,1.20,0.76,0.27,0,2.23,0
282,H002,"Arecanut, dried, brown (Areca catechu)",6,68.32,66.56,0.50,0.71,0.55,0,1.76,0
283,H003,"Arecanut, dried, red color (Areca catechu)",3,69.12,67.33,0.60,0.83,0.36,0,1.79,0
284,H004,"Arecanut, fresh (Areca catechu)",2,40.1,35.38,3.24,1.06,0.43,0,4.72,0
285,H005,Cashew nut (Anacardium occidentale),6,23.23,20.11,1.97,1.05,0.10,0,3.11,0
286,H006,"Coconut, kernal, dry (Cocos nucifera)",6,6.93,0,1.37,1.00,4.57,0,6.93,0
287,H007,"Coconut, kernel, fresh (Cocos nucifera)",6,6.20,0,1.00,0.89,4.31,0,6.20,0
288,H008,"Garden cress, seeds (Lepidium sativum)",5,31.03,30.12,0.09,0.21,0.61,0,0.91,0
289,H009,"Gingelly seeds, black (Sesamum indicum)",6,9.53,8.54,0.31,0.47,0.21,0,0.99,0
290,H010,"Gingelly seeds, brown (Sesamum indicum)",4,9.31,7.92,0.50,0.21,0.68,0,1.39,0
291,H011,"Gingelly seeds, white (Sesamum indicum)",5,8.61,7.94,0.09,0.33,0.26,0,0.67,0
292,H012,Ground nut (Arachis hypogea),6,14.61,10.19,0.60,0.25,3.57,0,4.42,0
293,H013,Mustard seeds (Brassica juncea),6,14.12,9.05,1.13,1.40,2.55,0,5.07,0
294,H014,Linseeds (Linum usitatissimum),6,8.15,7.55,0.20,0.40,0,0,0.60,0
295,H015,"Niger seeds, black (Guizotia abyssinica)",4,16.76,15.01,1.34,0.31,0.10,0,1.75,0
296,H016,"Niger seeds, gray (Guizotia abyssinica)",5,16.75,16.34,0.11,0.20,0.10,0,0.41,0
297,H017,Pine seed (Pinus gerardiana),5,22.60,17.93,1.55,1.00,2.12,0,4.67,0
298,H018,Pistachio nuts (Pistacla vera),6,14.55,6.65,4.11,2.65,1.15,0,7.90,0
299,H019,Safflower seeds (Carthamus tinctorius),5,28.15,25.48,0.80,0.52,1.35,0,2.67,0
300,H020,Sunflower seeds (Helianthus annuus),5,6.79,3.97,0.74,0.60,1.48,0,2.81,0
301,H021,Walnut (Juglans regia),6,10.05,6.63,1.10,0.36,1.76,0,3.22,0
302,I001,"Jaggery, cane (Saccharum officinarum)",6,84.32,0,22.31,3.79,58.23,0,84.32,0
303,I002,"Sugarcane, juice (Saccharum officinarum)",6,12.85,0,0.55,2.27,10.03,0,12.85,0
304,J001 ,"Button mushroom, fresh (Agaricus sp.) ",1,0.8,0.7,0.1,0,0,0,0.1,0
305,J002,"Chicken mushroom, fresh (Lactiporus sp.)",1,1.96,1.86,0.1,0,0,0,0.1,0
306,J003,"Shiitake mushroom, fresh (Lentinula sp.)",1,4.51,4.31,0.2,0,0,0,0.2,0
307,J004,"Oyster mushroom, dried (Pleurotus sp.)",1,22,21.32,0.68,0,0,0,0.68,0
308,K001 ,Toddy ,10,5.73 ,0,5.73 ,0,0,0,5.73,0
309,K002,Coconut Water,6,3.06,0,3.06,0,0,0,3.06,0
310,L001 ,"Milk, whole, Buffalo",6,5.48 ,0,0.24 ,0.39 ,0.59 ,0,5.34,4.12
311,L002,"Milk, whole, Cow",6,4.94,0,0.20,0.18,0.24,0,4.89,4.28
312,L003,Paneer,6,12.01,0,0.50,1.11,0.84,0,11.57,9.12
313,L004,Khoa,6,16.33,0,0.80,1.57,0.91,0,16.14,12.86
