code,name,regn,rafs,stas,vers,ajgs,camt,stgstr,stostrb,phytac,sapon
E067,Wood Apple (Limonia acidissima),3,0.01±0.000,0.01±0.000,,,3.86±0.10,4.63±0.02,20.55±0.40,101±7.7,0.28±0.01
E068,Zizyphus (Zizyphus jujube),1,,,,,0.63,0.39,10.09,85.6,
F001 ,Beet root (Beta vulgaris) ,6,0.01±0.005 ,,,,0.44±0.02 ,3.34±0.09 ,12.15±0.91 ,10.82±0.41,
F002,"Carrot, orange (Dacus carota)",6,0.01±0.005,,,,1.63±0.15,2.47±0.12,17.22±0.78,19.60±0.28,
F003,"Carrot, red (Dacus carota)",4,0.01±0.006,,,,1.80±0.14,2.37±0.03,17.90±0.45,17.03±0.16,
F004,Colocasia (Colocasia antiquorum),6,,,,,3.55±0.20,2.30±0.10,28.45±1.08,13.57±1.07,
F005,Lotus root (Nelumbium nelumbo),3,,,,,1.17±0.02,1.06±0.02,14.75±0.14,7.84±0.08,0.55±0.06
F006,"Potato, brown skin, big (Solanum tuberosum)",6,,,,,0.02±0.00,0.16±0.01,2.10±0.08,55.77±9.06,
F007,"Potato, brown skin, small (Solanum tuberosum)",1,,,,,0.03,0.16,2.19,62.58,
F008,"Potato, red skin (Solanum tuberosum)",1,,,,,0.03,0.15,2.07,59.74,
F009,"Radish, elongate, red skin (Raphanus sativus)",3,,,,,1.57±0.10,0.34±0.01,9.55±0.11,6.90±1.06,
F010,"Radish, elongate, white skin (Raphanus sativus)",6,,,,,1.61±0.09,0.36±0.02,9.71±0.21,1.75±0.06,
F011,"Radish, round, red skin (Raphanus sativus)",1,0.01,,,,1.54,0.32,9.88,7.07,
F012,"Radish, round, white skin (Raphanus sativus)",2,,,,,1.62,0.33,9.4,1.07,
F013,"Sweet potato, brown skin (Ipomoes batatas)",4,,,,,2.18±0.03,0.52±0.01,13.75±0.14,54.02±0.63,1.19±0.04
F014,"Sweet potato, pink skin (Ipomoes batatas)",3,,,,,2.31±0.03,0.57±0.01,13.68±0.28,63.69±3.86,1.56±0.10
F015,Tapioca (Manihot esculenta),3,0.02±0.006,,,,2.13±0.07,0.82±0.05,15.72±0.87,64.42±4.53,
F016,Water Chestnut (Eleocharis dulcis),1,,,,,0.16,0.43,4.55,25.86,
F017,"Yam, elephant (Amorphophallus campanulatus)",6,,,,,2.66±0.09,3.36±0.08,13.46±0.15,16.23±0.80,
F018,"Yam, ordinary (Amorphophallus campanulatus)",4,0.02±0.016,,,,2.51±0.10,1.56±0.15,19.00±0.72,20.99±1.37,
F019,"Yam, wild (Dioscorea versicolor)",2,,,,,2.3,3.03,13.58,24.71,0.46
G001,"Chillies, green-1 (Capsicum annum)",5,,,,,3.59±0.38,0.85±0.09,15.09±0.49,13.54±0.35,
G002,"Chillies, green-2 (Capsicum annum)",3,,,,,3.65±0.19,0.87±0.07,15.07±0.65,13.96±2.21,
G003,"Chillies, green-3 (Capsicum annum)",5,,,,,3.73±0.19,0.86±0.09,15.07±0.47,14.56±2.74,
G004,"Chillies, green-4 (Capsicum annum)",3,,,,,3.52±0.26,0.86±0.04,14.85±0.46,12.31±1.85,
G005,"Chillies, green-5 (Capsicum annum)",2,,,,,3.60±0.43,0.86±0.10,15.09±0.63,12.45±2.55,
G006,"Chillies, green-6 (Capsicum annum)",1,,,,,3.54,0.83,15.3,10.39,
G007,"Chillies, green-7 (Capsicum annum)",1,,,,,3.81,0.84,15.15,13.29,
G008,"Chillies, green - all varieties (Capsicum annum)",6,,,,,3.64±0.26,0.86±0.07,15.06±0.49,13.38±2.05,
G009,Coriander leaves (Coriandrum sativum),6,0.01±0.004,,,,0.73±0.03,9.35±0.18,18.49±0.97,38.68±0.55,
G010,Curry leaves (Murraya koenigii),6,,,,,10.47±0.13,0.74±0.03,73.92±1.71,40.99±2.41,0.23±0.02
G011,"Garlic, big clove (Allium sativum)",6,0.13±0.047,0.13±0.034,0.06±0.022,,1.27±0.03,0.32±0.01,12.36±1.10,36.55±4.46,
G012,"Garlic, small clove (Allium sativum)",3,0.19±0.050,0.14±0.059,0.06±0.028,,1.33±0.03,0.31±0.01,12.88±0.25,35.43±4.19,
G013,"Garlic, single clove, Kashmir (Allium sativum)",1,0.22,0.12,0.06,,1.21,0.37,13.66,31.95,
G014,"Ginger, fresh (Zinziber officinale)",6,,,,,1.34±0.04,1.16±0.09,13.29±0.20,14.50±1.26,
G015,Mango ginger (Curcuma amada),3,,,,,0.78±0.01,0.56±0.01,11.17±0.03,15.52±0.51,0.38±0.03
G016,Mint leaves (Mentha spicata ),4,0.01±0.009,0.02±0.005,,,1.74±0.03,2.45±0.03,36.70±1.42,48.05±1.69,0.35±0.06
G017,"Onion, big (Allium cepa)",6,1.64±0.153,1.31±0.143,0.85±0.242,,0.47±0.02,0.31±0.02,7.35±0.48,13.90±2.11,
G018,"Onion, small (Allium cepa)",5,0.08±0.023,,,,0.77±0.02,0.47±0.02,7.90±0.11,8.28±0.88,1.11±0.10
G019,Asafoetida (Ferula assa-foetida),6,,,,,4.21±0.14,2.02±0.11,29.13±0.62,806±46.4,1.78±0.31
G020,"Cardamom, green (Elettaria cardamomum)",6,,,,,3.29±0.25,2.37±0.15,46.54±1.66,721±33.7,1.68±0.18
G021,"Cardamom, black (Elettaria cardamomum)",4,,,,,3.36±0.03,2.59±0.01,50.80±0.72,670±38.7,1.40±0.17
G022,"Chillies, red (Capsicum annum)",6,,,,,16.06±0.68,4.93±0.56,81.78±2.50,264±22.4,
G023,Cloves (Syzygium aromaticum),6,,,,,1.28±0.14,5.02±0.28,211±5.1,349±22.5,0.55±0.02
G024,Coriander seeds (Coriandrum sativum),6,0.37±0.052,,,,9.60±0.17,17.60±0.28,75.77±2.45,1008±23.4,
G025,Cumin seeds (Cuminum cyminum),6,0.44±0.050,,,,9.36±0.29,33.96±1.29,106±3.2,445±24.9,
G026,Fenugreek seeds (Trigonella foenum graecum),6,0.60±0.093,1.43±0.098,0.26±0.026,,12.35±0.48,6.69±0.25,126±3.1,570±13.6,6.33±0.72
G027,Mace (Myristica fragrans),6,,,,,3.56±0.22,5.95±0.19,44.96±1.47,691±23.0,1.48±0.11
G028,Nutmeg (Myristica fragrans),6,,,,,6.10±0.14,8.91±0.28,94.48±2.01,704±13.9,2.26±0.09
G029,Omum (Trachyspermum ammi),6,,,,,5.89±0.17,20.98±0.31,75.29±2.60,895±11.6,4.50±0.29
G030,Pippali (Piper longum),6,0.02±0.005,,,,8.28±0.14,17.94±0.39,29.18±1.09,503±9.9,0.04±0.01
G031,"Pepper, black (Piper nigrum)",6,,,,,4.90±0.17,10.16±0.15,64.74±1.05,383±16.0,0.87±0.05
G032,Poppy seeds (Papaver somniferum),6,0.46±0.056,,,,20.96±0.48,5.52±0.24,146±2.5,1109±3.9,5.53±0.29
G033,Turmeric powder (Curcuma domestica),6,,,,,5.19±0.13,7.19±0.14,64.15±2.03,358±17.6,
H001,Almond (Prunus amygdalus),6,0.10±0.025,0.02±0.007,,,3.73±0.15,2.81±0.10,184±2.8,964±13.4,9.05±0.58
H002,"Arecanut, dried, brown (Areca catechu)",6,,,,,5.28±0.11,3.36±0.12,44.73±0.48,474±16.0,
H003,"Arecanut, dried, red color (Areca catechu)",3,,,,,5.37±0.23,3.46±0.11,48.93±0.44,403±9.9,
H004,"Arecanut, fresh (Areca catechu)",2,,,,,5.17,3.39,45.24,414,
H005,Cashew nut (Anacardium occidentale),6,2.62±0.433,0.21±0.047,0.01±0.002,,3.64±0.07,0.89±0.04,110±2.5,929±22.9,9.84±0.31
H006,"Coconut, kernal, dry (Cocos nucifera)",6,,,,,1.75±0.07,4.39±0.30,21.97±0.71,390±20.8,
H007,"Coconut, kernel, fresh (Cocos nucifera)",6,,,,,1.17±0.06,2.45±0.07,14.59±0.20,136±2.5,
H008,"Garden cress, seeds (Lepidium sativum)",5,3.56±0.741,0.91±0.224,,,63.85±0.83,7.98±0.09,261±3.3,1037±21.6,3.42±0.25
H009,"Gingelly seeds, black (Sesamum indicum)",6,1.00±0.038,0.01±0.001,0.01±0.002,,30.80±1.08,14.08±0.64,206±2.3,845±20.7,3.25±0.37
H010,"Gingelly seeds, brown (Sesamum indicum)",4,0.86±0.275,0.01±0.003,0.01±0.001,,32.34±0.60,14.11±0.22,207±2.0,921±10.4,6.40±0.23
H011,"Gingelly seeds, white (Sesamum indicum)",5,0.93±0.332,0.01±0.008,0.02±0.000,,34.13±1.23,14.89±0.17,219±1.1,927±38.8,5.64±0.20
H012,Ground nut (Arachis hypogea),6,0.03±0.020,0.06±0.019,,,17.23±0.58,9.46±0.29,124±3.6,582±9.8,3.58±0.36
H013,Mustard seeds (Brassica juncea),6,0.35±0.118,0.56±0.178,,,43.10±1.88,7.63±0.15,117±2.3,132±15.3,
H014,Linseeds (Linum usitatissimum),6,3.52±0.359,,,,31.48±0.23,7.25±0.03,112±0.2,1859±15.8,2.21±0.29
H015,"Niger seeds, black (Guizotia abyssinica)",4,0.14±0.021,,,,24.76±0.32,35.44±0.47,175±3.2,1974±13.6,9.30±0.56
H016,"Niger seeds, gray (Guizotia abyssinica)",5,0.23±0.022,0.01±0.001,,,24.32±0.80,34.16±1.11,174±2.5,1709±70.7,5.02±0.81
H017,Pine seed (Pinus gerardiana),5,,,,,22.30±0.17,2.34±0.02,182±0.2,883±9.6,3.21±0.42
H018,Pistachio nuts (Pistacla vera),6,4.21±0.421,0.13±0.032,,,12.38±0.17,2.22±0.08,369±4.2,808±16.5,3.01±0.15
H019,Safflower seeds (Carthamus tinctorius),5,3.07±0.209,0.10±0.006,0.36±0.022,,17.59±0.31,6.63±0.21,144±2.1,1083±10.7,4.41±0.30
H020,Sunflower seeds (Helianthus annuus),5,0.09±0.018,,,,11.76±0.26,14.42±0.58,175±3.0,423±15.4,13.93±0.81
H021,Walnut (Juglans regia),6,,,,,2.99±0.13,1.36±0.08,125±3.2,1001±17.3,10.03±0.14
I001,"Jaggery, cane (Saccharum officinarum)",6,,,,,,,,,
I002,"Sugarcane, juice (Saccharum officinarum)",6,0.03±0.011,,,,,,,,
J001,"Button mushroom, fresh (Agaricus sp.)",1,,,,,0.93,1.25,7.04,,
J002,"Chicken mushroom, fresh (Lactiporus sp.)",1,,,,,6.83,1.94,2.05,,
J003,"Shiitake mushroom, fresh (Lentinula sp.)",1,,,,,7.35,2.19,2.91,,
J004,"Oyster mushroom, dried (Pleurotus sp.)",1,,,,,7.72,2.03,2.72,,
K001 ,Toddy ,10,,,,,,,,,
K002,Coconut Water,6,,,,,0.02±0.00,0.04±0.00,0.05±0.00,,
L001,"Milk, whole, Buffalo",6,,,,,,,,,
L002,"Milk, whole, Cow",6,,,,,,,,,
L003,Paneer,6,,,,,,,,,
L004,Khoa,6,,,,,,,,,
