code,name,regn,oxalt,oxals,oxali,caconac,citac,fumac,malac,quinac,sucac,tarac
E021,Goosberry (Emblica officinalis),5,7.96±0.91,5.40±0.74,2.81±1.28,,751±8.5,1.65±0.28,7.58±1.17,,44.33±6.23,14.06±1.11
E022,"Grapes, seeded, round, black (Vitis vinifera)",4,26.12±10.48,12.96±4.29,10.53±7.96,0.03±0.01,3.12±0.98,1.14±0.45,288±3.6,,,280±5.3
E023,"Grapes, seeded, round, green (Vitis vinifera)",5,25.74±6.18,18.79±2.51,7.09±4.59,0.03±0.02,3.36±0.17,1.47±0.54,286±4.1,,,276±20.9
E024,"Grapes, seeded, round, red (Vitis vinifera)",5,23.92±5.49,12.77±5.37,11.15±1.27,0.06±0.01,1.82±1.39,1.57±0.22,291±33.7,,,272±75.9
E025,"Grapes, seedless, oval, black (Vitis vinifera)",5,19.07±5.22,9.21±2.68,9.86±5.42,0.03±0.00,3.06±1.31,1.77±0.04,282±2.0,,,268±39.3
E026,"Grapes, seedless, round, green (Vitis vinifera)",5,20.06±6.25,13.79±3.59,6.27±4.37,0.04±0.01,3.47±1.39,1.56±0.77,290±2.8,,,288±21.0
E027,"Grapes, seedless, round, black (Vitis vinifera)",5,22.11±3.87,16.09±4.81,6.02±2.63,0.27±0.03,3.98±2.07,1.42±0.08,282±0.0,,,274±66.9
E028,"Guava, white flesh (Psidium guajava)",5,13.05±3.69,0.32±0.28,10.61±6.06,0.62±0.16,384±176,1.83±0.80,77.02±1.63,,2.83±0.48,1.39±0.26
E029,"Guava, pink flesh (Psidium guajava)",5,9.57±2.04,0.64±0.12,7.44±4.10,,87.07±1.32,0.46±0.04,25.94±4.84,24.71±4.04,15.47±1.36,1.43±0.13
E030,"Jack fruit, ripe (Artocarpus heterophyllus)",5,8.45±3.18,5.49±2.17,2.96±2.40,2.57±0.85,35.40±1.14,11.19±2.03,219±5.1,347±1.4,,
E031,"Jambu fruit, ripe (Syzygium cumini)",2,9.6,7.24,2.37,0.16,72.26,0.42,23.69,,,
E032,Karonda fruit (Carissa carandas),1,5.88,3.18,2.4,,2.13,0.66,,0.55,1.07,
E033,"Lemon, juice (Citrus limon)",6,,,,0.80±0.24,3490±7.1,0.04±0.03,243±5.0,,338±73.8,2.36±0.21
E034,"Lime, sweet,pulp (Citrus limetta)",6,0.57±0.30,0.24±0.15,0.34±0.16,,3416±46.1,0.48±0.34,125±5.8,,418±5.8,
E035,Litchi (Nephelium litchi),4,15.28±4.29,11.12±3.07,4.16±1.71,,24.21±4.56,6.06±0.72,97.11±1.87,46.55±2.64,13.53±1.04,
E036,"Mango, ripe, banganapalli (Mangifera indica)",6,7.94±2.05,4.72±1.64,3.23±1.71,0.29±0.05,446±9.1,0.43±0.22,76.71±1.12,,2.95±0.74,
E037,"Mango, ripe, gulabkhas (Mangifera indica)",2,7.7,4.34,3.36,0.59,432,0.7,75.46,,2.34,
E038,"Mango, ripe, himsagar (Mangifera indica)",3,8.09±2.53,6.94±2.12,1.71±1.40,0.30±0.06,448±0.6,0.58±0.22,73.58±2.98,,3.15±0.69,
E039,"Mango, ripe, kesar (Mangifera indica)",4,8.31±1.88,5.92±2.44,2.39±1.27,0.32±0.10,445±7.4,0.48±0.25,75.34±2.83,,3.70±0.83,
E040,"Mango, ripe, neelam (Mangifera indica)",2,8.46,6.9,1.56,0.49,430,0.58,75.86,,3.56,
E041,"Mango, ripe, paheri (Mangifera indica)",2,9.71,7.79,1.92,0.44,445,0.45,74.5,,3.51,
E042,"Mango, ripe, totapari (Mangifera indica)",1,11.5,7.23,4.28,0.45,442,0.81,75.48,,2.68,
E043,Mangosteen (Garcinia mangostana),1,8.44,5.32,3.07,,127,,22.07,,1.07,
E044,Manila tamarind (Pithecellobium dulce),1,4.32,0.98,3.35,,10.52,0.34,135,,79.06,6.5
E045,"Musk melon, orange flesh (Cucumis melon)",5,2.62±1.10,2.17±1.12,0.44±0.34,0.41±0.14,5.71±3.09,0.42±0.04,1.32±0.33,,82.54±2.04,2.06±0.55
E046,"Musk melon, yellow flesh (Cucumis melon)",6,1.88±0.94,1.30±0.77,0.58±0.54,0.44±0.08,9.08±2.55,0.55±0.07,2.94±1.86,,63.45±1.46,10.14±0.99
E047,"Orange, pulp (Citrus aurantium)",6,8.06±2.47,5.59±2.30,2.47±0.43,,1281±6.4,0.28±0.04,122±37.1,25.51±2.15,45.04±1.69,
E048,"Palm fruit, tender (Borassus flabellifer)",1,1.05,0.64,0.41,,1.31,3.73,,,3.73,
E049,"Papaya, ripe (Carcia papaya)",6,5.96±1.97,2.27±0.89,3.70±1.17,0.03±0.01,146±1.7,0.52±0.08,43.40±0.69,3.73±0.70,39.37±2.24,
E050,Peach (Prunus communis),1,6.35,4.05,2.3,,127,1.65,267.01,,,
E051,Pear (Pyrus sp.),6,2.41±0.86,1.35±0.19,1.27±0.64,5.05±0.99,81±23.8,0.04±0.02,63.72±0.77,68.62±4.55,5.05±0.99,
E052,Phalsa (Grewia asiatica),2,352,24.41,326,279,319,1.7,270,,279,
E053,Pineapple (Ananas comosus),6,3.39±0.60,2.55±0.10,0.84±0.61,4.89±0.95,605±11.3,0.04±0.01,92.39±1.61,3.71±0.69,4.89±0.95,
E054,Plum (Prunus domestica),3,0.74±0.13,0.19±0.13,0.70±0.13,87.64±7.75,62.32±11.93,0.83±0.21,96.33±14.39,,87.64±7.75,
E055,"Pomegranate, maroon seeds (Punica granatum)",6,253±53.6,178±52.9,75.75±13.77,,1239±8.9,0.05±0.01,123±2.0,5.94±0.76,,0.39±0.19
E056,Pummelo (Citrus maxima),3,16.25±5.51,8.78±3.02,7.47±2.62,,2013±0.0,0.84±0.00,74.78±0.00,,,
E057,"Raisins, dried, black (Vitis vinifera)",6,10.71±1.36,5.24±0.75,5.47±1.00,5.89±1.11,24.92±1.60,1.13±0.20,61.00±9.45,63.62±8.66,5.89±1.11,
E058,"Raisins, dried, golden (Vitis vinifera)",6,10.90±4.02,5.32±0.72,5.86±3.60,5.43±1.52,17.47±4.66,0.23±0.06,33.86±3.60,338±8.7,5.43±1.52,
E059,Rambutan (Nephelium lappaceum),1,1.89,1.24,0.65,,12.65,1.77,,,,
E060,Sapota (Achras sapota),6,8.97±2.09,6.68±2.67,2.28±0.75,440±3.7,355±4.2,3.26±1.10,17.94±1.68,44.00±0.88,440±3.7,
E061,Soursop ( Annona muricata ),1,1.07,0.31,0.76,,12.33,,,,,2.25
E062,Star fruit (Averrhoa carambola),1,1.23,0.97,0.26,0.15,886,1.23,,,0.15,
E063,Strawberry (Fragaria ananassa),6,2.04±0.44,1.50±0.37,0.52±0.32,,0.11±0.11,0.19±0.07,2.55±1.35,,0.82±0.14,
E064,"Tamarind, pulp (Tamarindus indicus)",6,48.91±16.19,21.42±1.80,27.50±16.79,,0.06±0.02,0.18±0.03,2.81±1.16,,0.80±0.26,12.25±2.11
E065,"Water melon, dark green (sugar baby) (Citrullus vulgaris)",6,0.72±0.40,0.47±0.35,0.25±0.18,0.92±0.04,47.35±2.04,14.58±0.90,7.27±0.46,,,
E066,"Water melon, pale green (Citrullus vulgaris)",6,0.55±0.31,0.31±0.19,0.24±0.13,0.86±0.07,52.65±3.06,15.18±1.06,7.55±1.04,,,
E067,Wood Apple (Limonia acidissima),3,55.80±8.41,7.91±0.35,47.88±8.06,0.26±0.03,257±6.4,0.65±0.11,13.83±1.00,4.86±1.00,18.49±0.93,2.90±0.47
E068,Zizyphus (Zizyphus jujube),1,2.89,1.33,1.56,,19.93,1.37,1.21,141,89.7,129
F001 ,Beet root (Beta vulgaris) ,6,71.37±13.10 ,30.15±1.79 ,41.21±12.20 ,45.43±3.34 ,134±16.2 ,0.02±0.01 ,0.33±0.18 ,,0.29±0.12,
F002,"Carrot, orange (Dacus carota)",6,17.45±6.32,12.63±5.24,4.82±4.30,37.50±1.80,222±11.2,5.62±0.33,4.83±1.42,,5.58±1.00,
F003,"Carrot, red (Dacus carota)",4,16.41±7.00,15.43±7.09,0.98±0.09,39.15±2.74,105±0.8,,5.01±1.22,,5.13±0.01,
F004,Colocasia (Colocasia antiquorum),6,48.73±0.41,26.60±9.45,22.13±9.27,0.44±0.12,12.17±1.04,7.03±0.87,3.69±1.05,42.18±1.61,,
F005,Lotus root (Nelumbium nelumbo),3,364±33.9,26.03±2.84,116±186,0.85±0.03,55.38±1.77,1.48±0.33,84.39±1.25,,4.89±0.77,85.92±3.20
F006,"Potato, brown skin, big (Solanum tuberosum)",6,12.24±2.48,9.71±0.27,2.64±0.16,10.97±1.46,55.38±1.77,1.48±0.33,84.10±6.07,,4.89±0.77,
F007,"Potato, brown skin, small (Solanum tuberosum)",1,13.63,10.71,2.92,15.63,56.81,1.82,94.52,,7.11,
F008,"Potato, red skin (Solanum tuberosum)",1,12.37,10.21,2.16,14.52,57.82,1.52,93.8,,6.81,
F009,"Radish, elongate, red skin (Raphanus sativus)",3,12.73±2.11,5.37±1.13,7.36±1.01,4.20±1.14,2.94±0.52,1.34±0.27,4.53±1.12,,2.59±0.39,
F010,"Radish, elongate, white skin (Raphanus sativus)",6,12.72±3.34,8.06±3.60,4.66±2.09,4.35±1.07,3.65±0.68,1.35±0.17,4.90±1.31,,1.84±0.83,
F011,"Radish, round, red skin (Raphanus sativus)",1,12.27,9.12,3.15,3.27,6.12,1.36,6.41,,2.82,
F012,"Radish, round, white skin (Raphanus sativus)",2,15.49,8.88,6.61,3.49,2.97,1.61,5.58,,2.07,
F013,"Sweet potato, brown skin (Ipomoes batatas)",4,14.39±4.70,6.56±1.55,6.27±4.47,,15.66±0.41,1.92±0.64,127±3.2,,652±8.2,6.42±0.76
F014,"Sweet potato, pink skin (Ipomoes batatas)",3,14.14±3.58,9.04±2.43,5.10±1.16,,25.69±1.12,0.23±0.01,147±4.8,0.08±0.01,334±8.0,17.95±0.61
F015,Tapioca (Manihot esculenta),3,16.86±3.83,10.93±1.91,5.93±1.94,1.21±0.07,8.83±0.41,1.87±0.89,8.82±1.50,167±1.9,18.23±1.38,
F016,Water Chestnut (Eleocharis dulcis),1,16.54,8.66,7.88,,4.86,1.05,2.07,15.07,17.22,
F017,"Yam, elephant (Amorphophallus campanulatus)",6,15.58±3.80,12.39±4.77,3.18±1.93,1.63±0.23,354±5.3,5.92±0.90,122±1.5,15.88±1.71,16.18±4.13,
F018,"Yam, ordinary (Amorphophallus campanulatus)",4,13.99±4.21,11.21±4.28,2.78±0.26,4.55±1.51,556±2.7,1.62±0.50,50.48±5.36,13.37±4.92,18.56±0.71,
F019,"Yam, wild (Dioscorea versicolor)",2,13.45,3.63,9.82,,286,1.11,138,10.48,20.65,
G001,"Chillies, green-1 (Capsicum annum)",5,28.86±8.82,24.35±5.41,4.94±1.64,1.48±0.65,4.85±2.17,3.12±2.40,27.49±10.16,,131±13.1,15.81±3.86
G002,"Chillies, green-2 (Capsicum annum)",3,26.32±2.26,20.87±3.49,5.45±1.34,1.43±0.48,5.89±1.91,3.19±1.89,29.52±4.88,,127±8.3,18.15±4.76
G003,"Chillies, green-3 (Capsicum annum)",5,27.68±5.51,22.10±4.92,5.58±1.39,1.33±0.24,6.44±3.13,3.43±0.97,31.64±2.63,,123±4.8,19.99±4.06
G004,"Chillies, green-4 (Capsicum annum)",3,23.85±7.46,20.50±7.84,3.35±3.07,1.92±0.78,4.43±1.98,3.52±0.78,33.22±2.15,,118±5.2,16.24±2.74
G005,"Chillies, green-5 (Capsicum annum)",2,38.30±8.99,22.73±5.95,4.33±0.95,1.37±0.82,4.86±1.49,3.94±1.05,33.47±2.26,,129±7.9,24.64±7.08
G006,"Chillies, green-6 (Capsicum annum)",1,30.12,24.31,5.82,0.73,1.13,3.28,30.79,,121,20.91
G007,"Chillies, green-7 (Capsicum annum)",1,29.37,25.4,3.97,1.57,5.69,4.04,34.69,,131,19.55
G008,"Chillies, green - all varieties (Capsicum annum)",6,28.54±8.17,22.66±6.46,4.92±1.68,1.43±0.57,5.13±2.46,3.42±1.46,30.91±5.46,,126±9.0,18.88±4.33
G009,Coriander leaves (Coriandrum sativum),6,20.42±9.35,15.75±9.45,4.68±1.97,11.59±1.59,546±3.9,23.95±3.20,65.96±1.91,16.17±1.24,,
G010,Curry leaves (Murraya koenigii),6,154±84.6,10.93±0.38,143±84.4,0.73±0.06,65.27±1.25,1.62±0.46,7.45±1.11,13.66±1.11,37.87±2.28,7.21±1.28
G011,"Garlic, big clove (Allium sativum)",6,159±38.1,130±30.8,28.47±14.59,,0.64±0.16,0.05±0.02,,,20.73±1.90,
G012,"Garlic, small clove (Allium sativum)",3,143±56.6,115±51.2,27.98±9.57,,1.15±0.53,0.07±0.02,,,23.11±2.29,
G013,"Garlic, single clove, Kashmir (Allium sativum)",1,127,119,7.33,,0.12,,,,20.11,
G014,"Ginger, fresh (Zinziber officinale)",6,259±73.9,18.26±1.86,241±75.5,,5.95±0.74,1.43±0.38,,,2.16±0.39,
G015,Mango ginger (Curcuma amada),3,307±127,228±7.8,79.22±5.81,,53.42±1.94,0.40±0.04,33.20±1.80,3.13±1.06,3.80±1.77,
G016,Mint leaves (Mentha spicata ),4,97.07±12.11,8.30±5.87,88.76±11.05,,25.86±1.24,3.83±0.21,14.80±0.79,26.33±0.55,27.22±0.52,
G017,"Onion, big (Allium cepa)",6,4.03±1.85,3.42±0.35,0.61±2.10,43.05±3.98,33.89±1.32,0.63±0.20,392±4.5,,105±16.3,12.21±1.79
G018,"Onion, small (Allium cepa)",5,11.11±2.04,9.69±1.69,1.27±0.27,,76.07±6.07,0.04±0.01,117±5.5,165±1.5,135±9.8,
G019,Asafoetida (Ferula assa-foetida),6,23.82±7.75,3.27±0.11,20.55±7.82,1.66±0.30,6.35±0.86,0.02±0.01,0.46±0.10,4.72±0.72,,1.64±0.48
G020,"Cardamom, green (Elettaria cardamomum)",6,1961±174,1191±54.8,770±148,,73.83±0.87,0.85±0.06,22.21±1.41,4.85±0.54,5.41±0.79,
G021,"Cardamom, black (Elettaria cardamomum)",4,2472±683,1471±619,1001±170,,156±2.1,0.81±0.10,36.77±1.54,4.28±0.04,6.11±0.58,
G022,"Chillies, red (Capsicum annum)",6,87.17±15.16,65.69±1.85,21.48±15.48,,0.62±0.11,13.67±1.36,68.38±4.48,,22.00±5.86,
G023,Cloves (Syzygium aromaticum),6,1845±73.8,353±24.6,1492±55.5,1.54±0.38,427±5.5,0.46±0.05,177±3.3,,,20.28±1.30
G024,Coriander seeds (Coriandrum sativum),6,809±90.9,118±9.6,692±90.8,1.41±0.19,53.84±1.47,6.53±1.43,13.51±2.08,,,
G025,Cumin seeds (Cuminum cyminum),6,817±117,40.43±2.45,777±117,2.43±0.97,47.00±1.25,2.38±0.98,40.76±6.76,,,
G026,Fenugreek seeds (Trigonella foenum graecum),6,31.75±8.12,10.55±0.64,21.20±7.89,0.24±0.04,4.99±1.43,,,2.47±0.63,,2.19±0.61
G027,Mace (Myristica fragrans),6,28.22±10.42,0.28±0.06,27.94±10.43,,98.68±2.00,2.36±0.32,173±2.4,345±7.5,,
G028,Nutmeg (Myristica fragrans),6,194±87.7,48.20±1.59,146±87.5,,59.31±2.23,55.90±6.21,15.70±1.69,231±8.9,16.52±1.22,
G029,Omum (Trachyspermum ammi),6,1020±30.7,34.19±2.01,985±30.8,,47.73±2.03,,199±3.2,26.16±1.21,5.55±0.93,
G030,Pippali (Piper longum),6,367±57.9,21.22±1.17,346±58.3,0.16±0.01,37.97±0.98,0.05±0.02,0.52±0.09,,121±7.0,154±2.8
G031,"Pepper, black (Piper nigrum)",6,431±63.7,33.74±8.11,398±65.2,4.39±0.83,136±1.5,1.65±0.14,13.93±1.08,,119±11.7,1.92±0.44
G032,Poppy seeds (Papaver somniferum),6,1631±54.9,32.08±1.42,1599±54.0,3.92±0.31,21.79±1.60,,24.18±0.60,557±4.7,24.40±1.45,
G033,Turmeric powder (Curcuma domestica),6,1531±146,1221±77.5,310±84.1,,2.63±0.36,0.17±0.05,40.62±5.02,,33.24±2.25,
H001,Almond (Prunus amygdalus),6,344±55.7,110±4.9,235±54.2,,11.88±0.66,0.29±0.07,97.52±0.93,,1.31±0.15,1.18±0.29
H002,"Arecanut, dried, brown (Areca catechu)",6,,,,,7.93±0.45,0.14±0.02,47.16±1.64,75.06±0.57,1.89±0.13,
H003,"Arecanut, dried, red color (Areca catechu)",3,,,,,8.76±0.35,0.20±0.05,45.71±2.49,74.62±2.16,2.03±0.60,
H004,"Arecanut, fresh (Areca catechu)",2,,,,,12.56,24.8,,,26.62,
H005,Cashew nut (Anacardium occidentale),6,189±11.8,149±11.4,39.52±17.31,,7.73±0.46,34.66±1.06,,,27.73±2.55,
H006,"Coconut, kernal, dry (Cocos nucifera)",6,6.83±1.21,3.10±0.04,3.73±1.20,,117±1.4,0.41±0.10,1.83±0.64,13.84±1.58,10.17±0.48,6.38±0.81
H007,"Coconut, kernel, fresh (Cocos nucifera)",6,3.44±1.52,1.68±0.33,1.76±1.33,1.71±0.75,1.82±0.20,,15.15±0.49,,119±1.4,
H008,"Garden cress, seeds (Lepidium sativum)",5,60.04±5.04,33.30±5.55,26.74±2.45,,2.08±1.11,1.73±0.25,94.12±1.04,,25.42±2.35,0.84±0.09
H009,"Gingelly seeds, black (Sesamum indicum)",6,2156±199,78.58±5.76,2078±200,0.22±0.03,4.56±2.11,1.77±0.32,,10.45±0.15,104±2.5,3.84±0.89
H010,"Gingelly seeds, brown (Sesamum indicum)",4,2030±794,83.13±4.87,1947±792,0.64±0.09,54.18±16.15,3.27±0.46,34.68±1.45,11.90±3.25,10.72±1.12,139±12.7
H011,"Gingelly seeds, white (Sesamum indicum)",5,2004±123,73.51±3.34,1931±122,0.77±0.06,56.42±2.93,0.42±0.04,0.12±0.01,,,93.82±1.11
H012,Ground nut (Arachis hypogea),6,60.98±11.01,39.67±3.31,21.31±10.21,,61.34±11.36,1.05±0.38,6.21±0.77,12.48±0.64,9.70±1.98,154±7.8
H013,Mustard seeds (Brassica juncea),6,6.92±1.59,5.28±0.21,1.64±1.65,,67.49±13.38,0.39±0.04,16.04±0.64,14.12±0.72,5.95±0.53,149±2.2
H014,Linseeds (Linum usitatissimum),6,5.85±1.00,1.91±0.34,3.95±1.09,,9.73±0.53,7.06±1.03,11.46±2.65,,1.87±0.19,
H015,"Niger seeds, black (Guizotia abyssinica)",4,1913±123,93.94±12.22,1819±134,0.35±0.08,102±3.7,,41.54±2.58,,41.73±2.64,371±2.9
H016,"Niger seeds, gray (Guizotia abyssinica)",5,1544±224,90.22±3.55,1453±222,0.74±0.03,343±4.5,,13.80±1.99,,,
H017,Pine seed (Pinus gerardiana),5,159±19.3,94.00±4.91,64.99±15.30,,15.26±0.52,23.06±0.60,,,34.32±1.13,
H018,Pistachio nuts (Pistacla vera),6,46.42±7.95,22.88±2.45,23.54±7.90,,3.24±0.34,1.22±0.21,139±3.6,53.79±2.27,6.12±0.37,4.21±1.04
H019,Safflower seeds (Carthamus tinctorius),5,215±27.2,92.57±6.98,122±33.5,,1.95±0.53,1.94±0.93,133±7.0,25.63±0.79,9.02±0.62,5.67±0.64
H020,Sunflower seeds (Helianthus annuus),5,23.70±5.39,6.13±0.72,17.57±5.94,,33.42±1.26,1.46±0.23,7.47±1.05,,0.60±0.05,57.95±9.16
H021,Walnut (Juglans regia),6,37.03±9.41,27.31±4.89,9.72±5.45,3.33±0.85,15.32±0.80,,24.59±0.82,,279±3.7,81.29±11.73
I001,"Jaggery, cane (Saccharum officinarum)",6,,,,,5.24±1.14,3.31±0.70,36.91±1.90,60.69±2.73,46.62±2.59,3.21±0.98
I002,"Sugarcane, juice (Saccharum officinarum)",6,,,,,3.55±1.01,,2.04±0.49,132±6.2,459±5.4,
J001,"Button mushroom, fresh (Agaricus sp.)",1,10.23,2.46,7.77,,5.61,0.81,3.5,,,
J002,"Chicken mushroom, fresh (Lactiporus sp.)",1,12.56,3.55,9.01,,6.48,0.97,3.96,,,
J003,"Shiitake mushroom, fresh (Lentinula sp.)",1,15.84,4.12,11.72,,6.25,0.76,3.25,,,
J004,"Oyster mushroom, dried (Pleurotus sp.)",1,20.65,6.34,14.31,,6.97,0.86,3.04,,,
K001 ,Toddy ,10,,,,,,0.03±0.01,,,,
K002,Coconut Water,6,,,,0.82±0.07,,1.74±0.92,,,124±15.5,4.20±1.10
L001 ,"Milk, whole, Buffalo ",6,,,,,,,,,,
L002,"Milk, whole, Cow",6,,,,,,,,,,
L003,Paneer,6,,,,,5.21±0.82,,,64.28±2.59,1.42±0.22,
L004,Khoa,6,,,,,25.26±1.48,1.12±0.23,1.43±0.19,651±10.2,6.99±0.76,
