code,name,regn,al,as,cd,ca,cr,co,cu,fe,pb,li
E018,"Dates, dry, dark brown (Phoenix dactylifera)",2,2.43,,,66.13,0.017,0.001,0.44,4.79,0.006,0.006
E019,"Dates, processed (Phoenix dactylifera)",2,2.43,,,15.73,0.015,0.001,0.33,0.89,0.002,0.001
E020,Fig (Ficus carica),6,0.71±0.24,,,78.52±16.48,0.017±0.004,,0.19±0.02,0.69±0.06,,
E021,Goosberry (Emblica officinalis),5,0.08±0.02,,,20.14±2.51,0.007±0.003,,0.12±0.08,1.25±0.08,0.004±0.002,0.001±0.001
E022,"Grapes, seeded, round, black (Vitis vinifera)",4,,,,10.57±2.03,0.008±0.007,,0.06±0.01,0.22±0.04,0.001±0.000,
E023,"Grapes, seeded, round, green (Vitis vinifera)",5,,,,11.16±2.02,0.003±0.000,,0.07±0.01,0.24±0.10,0.001±0.000,0.001±0.001
E024,"Grapes, seeded, round, red (Vitis vinifera)",5,,,,11.27±3.54,0.003±0.002,,0.05±0.01,0.33±0.04,,0.001±0.000
E025,"Grapes, seedless, oval, black (Vitis vinifera)",5,,,0.001±0.000,15.26±3.03,0.004±0.001,0.001±0.000,0.16±0.03,0.28±0.02,,0.001±0.000
E026,"Grapes, seedless, round, green (Vitis vinifera)",5,,,,14.22±2.14,0.003±0.001,,0.23±0.33,0.24±0.02,0.001±0.001,
E027,"Grapes, seedless, round, black (Vitis vinifera)",5,,,0.001±0.000,18.75±5.41,0.004±0.002,,0.05±0.01,0.39±0.07,,0.001±0.001
E028,"Guava, white flesh (Psidium guajava)",5,,,,18.52±2.10,0.004±0.002,0.003±0.002,0.16±0.04,0.32±0.07,,
E029,"Guava, pink flesh (Psidium guajava)",5,,,,14.22±2.92,0.009±0.003,0.003±0.001,0.17±0.02,0.40±0.14,0.014±0.003,
E030,"Jack fruit, ripe (Artocarpus heterophyllus)",5,,,,35.03±4.50,0.005±0.002,,0.19±0.09,0.36±0.16,0.002±0.001,
E031,"Jambu fruit, ripe (Syzygium cumini)",2,0.45,,,25.36,0.015,,0.02,0.33,0.001,
E032,Karonda fruit (Carissa carandas),1,0.99,1.84,1.813,10.81,0.002,0.62,0.71,0.87,0.021,1.406
E033,"Lemon, juice (Citrus limon)",6,0.11±0.04,,,22.68±2.90,0.002±0.002,,0.03±0.01,0.12±0.05,0.003±0.002,
E034,"Lime, sweet,pulp (Citrus limetta)",6,,,,25.79±5.02,0.017±0.007,,0.03±0.00,0.11±0.02,0.000±0.000,
E035,Litchi (Nephelium litchi),4,0.54±0.07,0.21±0.11,,5.77±0.80,0.010±0.004,,0.11±0.02,0.79±0.21,,
E036,"Mango, ripe, banganapalli (Mangifera indica)",6,,,,15.77±1.64,0.020±0.010,,0.10±0.01,0.51±0.17,0.002±0.001,
E037,"Mango, ripe, gulabkhas (Mangifera indica)",2,,,,19.33,0.01,,0.07,0.38,0.001,
E038 ,"Mango, ripe, himsagar (Mangifera indica) ",3,,,,15.54±1.84 ,0.016±0.006 ,0.001±0.002 ,0.08±0.01 ,0.29±0.05 ,0.002±0.002,
E039,"Mango, ripe, kesar (Mangifera indica)",4,,,,15.74±0.89,0.028±0.019,,0.07±0.01,0.43±0.19,0.002±0.002,
E040,"Mango, ripe, neelam (Mangifera indica)",2,,,,11.36,0.004,,0.08,0.36,,
E041,"Mango, ripe, paheri (Mangifera indica)",2,,,,15.11,0.024,,0.11,0.51,0.001,
E042,"Mango, ripe, totapari (Mangifera indica)",1,,,,13.34,0.004,,0.08,0.28,,
E043,Mangosteen (Garcinia mangostana),1,0.17,0.05,0.002,4.69,0.003,1.501,0.11,0.28,0.056,0.106
E044,Manila tamarind (Pithecellobium dulce),1,,,,8.51,,,0.22,0.71,,
E045,"Musk melon, orange flesh (Cucumis melon)",5,0.02±0.01,0.03±0.04,,9.80±2.14,0.004±0.002,0.001±0.001,0.03±0.02,0.18±0.04,0.003±0.001,
E046,"Musk melon, yellow flesh (Cucumis melon)",6,0.04±0.03,,,9.02±2.95,0.002±0.000,0.001±0.000,0.05±0.02,0.21±0.06,0.003±0.001,
E047,"Orange, pulp (Citrus aurantium)",6,,,,19.52±1.48,0.012±0.003,,0.03±0.01,0.81±0.04,,
E048,"Palm fruit, tender (Borassus flabellifer)",1,,,,,,,,,,
E049,"Papaya, ripe (Carcia papaya)",6,0.05±0.01,,,15.02±1.47,0.003±0.000,,0.04±0.01,0.23±0.02,,
E050,Peach (Prunus communis),1,0.18,0.11,0.197,6.98,0.006,0.276,0.08,0.35,0.011,0.179
E051,Pear (Pyrus sp.),6,0.59±0.03,,,6.55±1.39,0.009±0.003,0.001±0.000,0.08±0.02,0.28±0.10,0.002±0.001,0.001±0.001
E052,Phalsa (Grewia asiatica),2,,0.92,,153,,,0.24,2.01,,
E053,Pineapple (Ananas comosus),6,0.08±0.04,0.24±0.25,,10.88±1.91,0.008±0.006,0.001±0.000,0.07±0.03,0.28±0.11,0.002±0.001,
E054,Plum (Prunus domestica),3,0.20±0.05,0.03±0.04,0.057±0.021,7.61±0.94,0.002±0.000,0.297±0.024,0.41±0.39,0.25±0.09,0.003±0.001,0.070±0.002
E055,"Pomegranate, maroon seeds (Punica granatum)",6,0.05±0.01,,,10.65±1.82,0.010±0.003,0.001±0.000,0.13±0.03,0.31±0.06,0.003±0.001,
E056,Pummelo (Citrus maxima),3,,0.33±0.10,,14.03±4.73,0.001±0.000,,0.03±0.01,0.06±0.01,0.006±0.003,
E057,"Raisins, dried, black (Vitis vinifera)",6,3.06±0.49,,,73.24±5.48,0.024±0.009,0.003±0.001,0.47±0.12,6.81±0.91,0.005±0.001,0.054±0.043
E058,"Raisins, dried, golden (Vitis vinifera)",6,3.53±0.36,,,51.83±5.26,0.009±0.002,0.003±0.001,0.39±0.04,4.26±0.60,0.008±0.003,0.009±0.009
E059,Rambutan (Nephelium lappaceum),1,,,,8.67,0.003,,0.08,0.37,,
E060,Sapota (Achras sapota),6,,,,17.87±3.38,0.010±0.003,,0.07±0.03,0.49±0.33,,
E061,Soursop (Annona muricata),1,,,,10.05,0.001,,0.14,0.29,0.013,0.821
E062,Star fruit (Averrhoa carambola),1,0.43,0.05,0.852,4.97,0.023,0.002,0.07,0.45,0.01,0.176
E063,Strawberry (Fragaria ananassa),6,,,,15.28±3.37,0.001±0.000,,0.07±0.01,0.36±0.03,,
E064,"Tamarind, pulp (Tamarindus indicus)",6,4.03±0.81,,0.001±0.001,149±13.9,0.066±0.007,0.002±0.001,0.50±0.09,9.16±1.71,0.014±0.003,0.007±0.005
E065,"Water melon, dark green (sugar baby) (Citrullus vulgaris)",6,,,,5.29±1.09,0.002±0.001,0.001±0.001,0.04±0.01,0.22±0.14,0.001±0.001,
E066,"Water melon, pale green (Citrullus vulgaris)",6,0.01±0.00,,,4.35±0.88,0.003±0.002,0.001±0.000,0.03±0.01,0.16±0.07,0.001±0.000,
E067,Wood Apple (Limonia acidissima),3,0.09±0.03,,,55.71±7.46,0.004±0.002,0.001±0.000,0.20±0.04,0.45±0.06,0.004±0.001,
E068,Zizyphus (Zizyphus jujube),1,0.11,,,46.55,0.006,,0.12,0.4,,0.001
F001 ,Beet root (Beta vulgaris) ,6,0.33±0.08 ,,,17.28±2.25 ,0.008±0.001 ,0.001±0.000 ,0.12±0.03 ,0.76±0.12 ,,0.003±0.002
F002,"Carrot, orange (Dacus carota)",6,0.36±0.14,,,35.09±5.89,0.004±0.001,,0.08±0.01,0.60±0.24,,0.001±0.001
F003,"Carrot, red (Dacus carota)",4,0.54±0.13,,,41.06±8.47,0.004±0.001,,0.10±0.03,0.71±0.37,,0.004±0.003
F004,Colocasia (Colocasia antiquorum),6,0.82±0.22,,,30.18±3.86,0.009±0.003,0.003±0.002,0.30±0.03,0.66±0.09,,0.003±0.001
F005,Lotus root (Nelumbium nelumbo),3,5.91±1.59,3.89±2.13,,37.71±2.79,0.028±0.009,0.004±0.001,0.22±0.02,3.34±1.31,0.001±0.001,0.006±0.004
F006,"Potato, brown skin, big (Solanum tuberosum)",6,0.13±0.05,,0.001±0.001,9.52±1.09,0.002±0.001,0.005±0.002,0.09±0.02,0.57±0.20,,0.001±0.001
F007,"Potato, brown skin, small (Solanum tuberosum)",1,0.15,,,8.53,0.007,0.003,0.14,0.53,,
F008,"Potato, red skin (Solanum tuberosum)",1,0.16,,0.002,8.62,0.006,0.001,0.15,0.66,,
F009,"Radish, elongate, red skin (Raphanus sativus)",3,0.26±0.23,,,28.44±1.88,0.004±0.003,0.001±0.000,0.03±0.00,0.37±0.11,,
F010,"Radish, elongate, white skin (Raphanus sativus)",6,0.20±0.13,,,30.20±3.58,0.003±0.001,0.001±0.001,0.03±0.01,0.36±0.22,,
F011,"Radish, round, red skin (Raphanus sativus)",1,0.17,,,35.76,0.003,,0.03,0.42,,
F012,"Radish, round, white skin (Raphanus sativus)",2,0.08,,,34.23,0.002,0.001,0.04,0.41,,
F013,"Sweet potato, brown skin (Ipomoes batatas)",4,,0.15±0.16,0.001±0.000,27.50±5.24,0.002±0.001,0.002±0.002,0.17±0.02,0.35±0.03,,
F014,"Sweet potato, pink skin (Ipomoes batatas)",3,,0.09±0.04,,28.93±3.24,0.002±0.001,0.001±0.001,0.15±0.03,0.51±0.16,,
F015,Tapioca (Manihot esculenta),3,0.26±0.18,,,25.89±6.52,0.005±0.001,0.002±0.001,0.19±0.04,0.81±0.18,0.001±0.001,0.001±0.001
F016,Water Chestnut (Eleocharis dulcis),1,0.11,0.6,0.001,37.15,0.014,0.003,0.19,0.77,0.029,0.113
F017,"Yam, elephant (Amorphophallus campanulatus)",6,0.72±0.19,,0.001±0.001,46.91±5.12,0.009±0.003,0.006±0.004,0.17±0.04,1.22±0.11,0.001±0.001,0.001±0.000
F018,"Yam, ordinary (Amorphophallus campanulatus)",4,0.46±0.14,,,16.19±2.79,0.006±0.002,0.001±0.000,0.23±0.08,0.77±0.22,,
F019,"Yam, wild (Dioscorea versicolor)",2,,0.21,0.001,44.13,,0.003,0.21,1.04,0.006,
G001,"Chillies, green-1 (Capsicum annum)",5,0.35±0.24,,,24.10±7.08,0.006±0.002,0.003±0.002,0.19±0.06,1.46±0.30,0.001±0.000,0.006±0.002
G002,"Chillies, green-2 (Capsicum annum)",3,0.20±0.06,,0.000±0.001,16.86±2.36,0.004±0.001,0.003±0.001,0.15±0.03,1.24±0.38,0.001±0.001,0.008±0.002
G003,"Chillies, green-3 (Capsicum annum)",5,0.33±0.16,,0.001±0.001,18.04±3.56,0.004±0.003,0.005±0.004,0.14±0.06,1.25±0.08,,0.004±0.001
G004,"Chillies, green-4 (Capsicum annum)",3,0.32±0.16,,0.001±0.001,15.87±1.49,0.004±0.003,0.005±0.003,0.16±0.11,1.08±0.28,0.005±0.000,0.003±0.003
G005,"Chillies, green-5 (Capsicum annum)",2,0.27±0.20,,0.000±0.001,15.31±3.61,0.005±0.004,0.003±0.002,0.12±0.03,0.93±0.12,,0.004±0.001
G006,"Chillies, green-6 (Capsicum annum)",1,0.1,,0.001,24.82,0.003,0.005,0.14,0.75,,0.002
G007,"Chillies, green-7 (Capsicum annum)",1,2.09,,,16.85,0.002,0.006,0.09,1.23,,0.006
G008,"Chillies, green - all varieties (Capsicum annum)",6,0.45±0.57,,0.001±0.001,18.45±4.86,0.005±0.002,0.004±0.003,0.15±0.06,1.20±0.30,0.002±0.002,0.005±0.003
G009,Coriander leaves (Coriandrum sativum),6,1.84±0.49,,,146±13.0,0.033±0.007,0.002±0.001,0.24±0.04,5.30±1.55,0.001±0.001,0.006±0.002
G010,Curry leaves (Murraya koenigii),6,4.10±0.44,7.42±1.16,0.002±0.000,659±77.4,0.060±0.012,0.005±0.002,0.46±0.09,8.67±0.42,0.037±0.018,0.051±0.033
G011,"Garlic, big clove (Allium sativum)",6,0.05±0.02,,0.001±0.001,20.08±5.73,0.004±0.002,0.001±0.000,0.19±0.02,1.05±0.15,0.001±0.000,0.001±0.000
G012,"Garlic, small clove (Allium sativum)",3,0.05±0.02,,0.001±0.001,17.63±2.77,0.003±0.002,,0.11±0.09,0.88±0.21,0.006±0.000,0.002±0.001
G013,"Garlic, single clove, Kashmir (Allium sativum)",1,0.18,,0.004,19,0.008,,0.23,1.01,0.003,0.001
G014,"Ginger, fresh (Zinziber officinale)",6,1.71±0.47,,,18.88±2.87,0.013±0.005,0.003±0.001,0.13±0.02,1.90±0.55,0.004±0.003,0.001±0.001
G015,Mango ginger (Curcuma amada),3,,0.21±0.00,0.002±0.002,13.74±2.59,0.002±0.001,0.003±0.001,0.10±0.03,2.31±1.27,0.007±0.005,
G016,Mint leaves (Mentha spicata ),4,1.17±0.16,5.26±0.00,,205±31.8,0.063±0.000,0.007±0.000,0.37±0.18,8.56±3.21,0.019±0.000,0.009±0.000
G017,"Onion, big (Allium cepa)",6,0.08±0.03,,0.001±0.001,21.03±6.68,0.003±0.002,0.002±0.001,0.11±0.09,0.43±0.11,0.003±0.002,
G018,"Onion, small (Allium cepa)",5,,0.29±0.09,,19.92±4.48,0.002±0.001,0.001±0.001,0.07±0.02,0.53±0.37,,
G019,Asafoetida (Ferula assa-foetida),6,4.76±1.45,2.13±3.13,0.001±0.001,266±41.4,0.051±0.016,0.022±0.008,0.22±0.03,15.68±4.51,0.035±0.019,0.012±0.005
G020,"Cardamom, green (Elettaria cardamomum)",6,7.59±1.21,3.79±1.73,0.008±0.006,378±40.7,0.210±0.053,0.039±0.009,0.92±0.30,8.33±1.44,0.011±0.007,0.003±0.002
G021,"Cardamom, black (Elettaria cardamomum)",4,6.05±1.26,0.28±0.01,0.006±0.001,312±57.3,0.091±0.007,0.011±0.002,0.75±0.09,7.94±1.07,0.006±0.003,0.007±0.001
G022,"Chillies, red (Capsicum annum)",6,4.70±1.01,,0.003±0.000,99.83±6.61,0.114±0.020,0.036±0.004,0.87±0.06,6.23±0.79,0.007±0.005,0.011±0.005
G023,Cloves (Syzygium aromaticum),6,6.09±1.25,5.08±0.92,,567±70.8,0.047±0.026,0.006±0.000,0.54±0.08,9.41±2.10,0.026±0.018,0.004±0.001
G024,Coriander seeds (Coriandrum sativum),6,5.74±1.83,,0.001±0.001,718±43.0,0.041±0.019,0.020±0.008,1.46±0.08,17.64±6.74,0.003±0.002,0.026±0.007
G025,Cumin seeds (Cuminum cyminum),6,9.31±3.52,,0.001±0.001,878±78.0,0.126±0.072,0.026±0.015,1.14±0.04,20.58±4.24,,0.059±0.020
G026,Fenugreek seeds (Trigonella foenum graecum),6,1.31±0.31,3.48±0.70,0.002±0.001,135±17.2,0.015±0.004,0.031±0.011,1.16±0.32,8.47±1.90,0.012±0.009,
G027,Mace (Myristica fragrans),6,1.99±0.42,4.70±1.95,0.001±0.001,174±3.5,0.069±0.015,0.006±0.002,1.90±0.13,22.69±6.87,0.051±0.018,0.004±0.003
G028,Nutmeg (Myristica fragrans),6,0.68±0.19,,,148±12.1,0.006±0.002,0.001±0.000,1.20±0.09,2.33±0.20,0.035±0.024,
G029,Omum (Trachyspermum ammi),6,6.71±1.12,8.32±6.00,0.005±0.002,1034±144,0.069±0.020,0.021±0.009,1.24±0.08,13.65±2.29,0.015±0.007,0.043±0.012
G030,Pippali (Piper longum),6,4.48±0.34,3.71±1.07,0.001±0.000,414±66.2,0.055±0.028,0.008±0.004,1.34±0.40,7.99±2.11,0.030±0.014,0.006±0.001
G031,"Pepper, black (Piper nigrum)",6,6.37±2.16,2.01±0.35,0.001±0.000,405±40.9,0.068±0.020,0.005±0.002,1.76±0.43,11.91±3.48,0.037±0.028,0.005±0.003
G032,Poppy seeds (Papaver somniferum),6,2.81±0.82,,0.005±0.002,1372±194,0.030±0.009,0.010±0.002,2.05±0.17,10.13±1.04,0.005±0.005,0.004±0.002
G033,Turmeric powder (Curcuma domestica),6,12.55±2.14,1.84±0.52,0.001±0.002,122±20.9,0.151±0.043,0.039±0.011,0.44±0.02,46.08±1.83,0.196±0.103,0.014±0.007
H001,Almond (Prunus amygdalus),6,0.88±0.32,,,228±10.2,0.006±0.003,0.007±0.002,1.08±0.06,4.59±0.61,0.002±0.002,0.001±0.001
H002,"Arecanut, dried, brown (Areca catechu)",6,1.68±0.97,,,61±13.25,0.045±0.020,0.003±0.003,1.27±0.29,2.74±0.71,0.008±0.006,0.004±0.003
H003,"Arecanut, dried, red color (Areca catechu)",3,1.05±0.33,,0.001±0.000,51±11.33,0.029±0.016,0.002±0.001,1.57±0.59,3.26±0.90,0.005±0.003,0.002±0.000
H004,"Arecanut, fresh (Areca catechu)",2,,,,34.03,,,0.71,1.04,,
H005,Cashew nut (Anacardium occidentale),6,0.18±0.11,,,34±2.98,0.002±0.001,0.004±0.001,2.23±0.13,5.95±0.44,0.005±0.004,
H006,"Coconut, kernal, dry (Cocos nucifera)",6,0.41±0.05,,0.001±0.000,32±4.51,0.013±0.012,0.006±0.003,0.90±0.11,3.13±0.47,0.006±0.003,0.004±0.003
H007,"Coconut, kernel, fresh (Cocos nucifera)",6,0.03±0.01,,0.001±0.000,8±1.42,0.003±0.002,0.004±0.002,0.36±0.19,1.30±0.51,0.002±0.000,
H008,"Garden cress, seeds (Lepidium sativum)",5,,11.01±10.33,0.008±0.003,318±54.8,,0.019±0.010,0.51±0.09,17.20±5.49,0.042±0.029,
H009,"Gingelly seeds, black (Sesamum indicum)",6,2.08±0.32,,0.004±0.002,1664±329,0.029±0.014,0.035±0.013,1.76±0.24,13.90±1.60,0.034±0.017,0.035±0.019
H010,"Gingelly seeds, brown (Sesamum indicum)",4,2.50±0.69,,0.001±0.001,1174±189,0.020±0.009,0.022±0.011,1.68±0.18,14.95±1.69,0.010±0.011,0.004±0.003
H011,"Gingelly seeds, white (Sesamum indicum)",5,1.29±0.43,,,1283±149,0.015±0.006,0.023±0.026,1.50±0.12,15.04±2.09,0.024±0.017,0.005±0.003
H012,Ground nut (Arachis hypogea),6,3.16±0.39,,0.002±0.001,54±7.37,0.007±0.002,0.009±0.003,0.92±0.08,3.44±0.36,0.003±0.002,0.002±0.002
H013,Mustard seeds (Brassica juncea),6,7.78±1.60,5.84±1.58,0.004±0.002,402±54.0,0.027±0.018,0.019±0.010,0.69±0.15,13.49±2.95,0.008±0.004,0.016±0.016
H014,Linseeds (Linum usitatissimum),6,,8.25±3.18,0.009±0.002,257±14.0,0.001±0.000,0.033±0.014,1.34±0.09,5.44±0.69,0.004±0.002,
H015,"Niger seeds, black (Guizotia abyssinica)",4,11.94±3.46,3.35±0.16,0.001±0.001,572±37.1,0.029±0.019,0.011±0.004,1.20±0.04,18.19±0.22,0.004±0.003,0.037±0.035
H016,"Niger seeds, gray (Guizotia abyssinica)",5,13.84±2.87,3.02±0.38,0.004±0.006,375±58.1,0.046±0.022,0.017±0.005,1.37±0.15,19.61±5.77,0.008±0.008,0.024±0.020
H017,Pine seed (Pinus gerardiana),5,,7.00±1.48,0.004±0.001,17±1.27,0.002±0.001,0.001±0.001,1.17±0.07,4.50±1.03,0.004±0.002,
H018,Pistachio nuts (Pistacla vera),6,,3.09±0.56,0.001±0.000,135±22.4,0.003±0.004,0.001±0.000,0.89±0.05,4.50±0.63,0.014±0.007,
H019,Safflower seeds (Carthamus tinctorius),5,,1.19±0.21,0.005±0.002,211±14.5,0.003±0.002,0.003±0.001,0.56±0.13,4.06±0.42,0.032±0.044,
H020,Sunflower seeds (Helianthus annuus),5,1.33±0.51,,0.005±0.000,176±27.0,0.009±0.002,0.021±0.001,2.78±0.99,5.85±1.09,0.009±0.003,0.006±0.000
H021,Walnut (Juglans regia),6,0.37±0.15,0.46±0.52,,105±5.9,0.006±0.007,0.009±0.003,1.52±0.33,3.21±0.17,0.015±0.012,
I001,"Jaggery, cane (Saccharum officinarum)",6,2.40±0.82,,,107±19.7,0.011±0.006,0.006±0.004,0.07±0.04,4.63±1.23,0.008±0.002,0.005±0.004
I002,"Sugarcane, juice (Saccharum officinarum)",6,0.14±0.12,,,18±4.07,0.002±0.000,0.001±0.000,0.03±0.01,1.12±0.27,0.001±0.001,0.001±0.000
J001," Button mushroom, fresh (Agaricus sp.) ",1,0.13,0.15,0.288,18.38,0.01,0.001,0.09,0.29,1.725,1.275
J002,"Chicken mushroom, fresh (Lactiporus sp.)",1,,,,4.83,,,0.42,0.3,,
J003,"Shiitake mushroom, fresh (Lentinula sp.)",1,0.51,2.54,1.154,5.3,0.022,0.001,0.23,1.93,1.666,1.023
J004,"Oyster mushroom, dried (Pleurotus sp.)",1,5.17,1.95,3.591,23.61,0.058,0.003,0.9,3.58,9.301,4.383
K001, Toddy,10,,,,0.44±0.25,,,0.02±0.01,0.42±0.13,,
K002,Coconut Water,6,0.04±0.02,,,27.47±4.28,0.001±0.001,,0.02±0.01,0.06±0.01,0.003±0.003,
L001,"Milk, whole, Buffalo",6,,,0.01±0.00,121±3.0,0.004±0.001,0.005±0.001,0.03±0.01,0.16±0.02,0.005±0.002,
L002,"Milk, whole, Cow",6,,,0.01±0.00,118±2.9,0.004±0.001,0.004±0.001,0.03±0.01,0.15±0.02,0.002±0.001,
L003,Paneer,6,2.53±0.51,,,476±35.7,0.110±0.012,0.001±0.001,0.10±0.05,0.90±0.24,,
L004,Khoa,6,3.36±0.34,2.89±0.95,,602±79.7,0.119±0.011,,0.07±0.09,2.32±0.36,0.010±0.003,0.004±0.001
M001,"Egg, poultry, whole, raw",6,,,,49.44±8.99,,,0.07±0.01,1.82±0.40,,
M002,"Egg, poultry, white, raw",6,,,,5.64±0.95,,,0.03±0.00,0.07±0.05,,
M003,"Egg, poultry, yolk, raw",6,,,,116±10.0,,,0.10±0.01,3.17±0.34,,
M004,"Egg, poultry, whole, boiled",6,,,,55.12±3.14,,,0.07±0.02,1.87±0.16,,
M005,"Egg, poultry, white, boiled",6,,,,8.07±0.03,,,0.05±0.01,0.15±0.05,,
M006,"Egg, poultry, yolk, boiled",6,,,,120±2.2,,,0.13±0.00,4.92±0.33,,
M007,"Egg, poultry, omlet",3,,,,53.26±4.25,,,0.15±0.09,2.16±0.39,,
M008,"Egg, country hen, whole, raw",1,,,,50.14,,,0.06,1.64,,
M009,"Egg, country hen, whole, boiled",1,,,,57.79,,,0.09,1.73,,
M010,"Egg, country hen, omlet",1,,,,55.88,,,0.17,2.15,,
M011,"Egg, duck, whole, boiled",1,,,,56.12,,,0.12,2.61,,
M012,"Egg, duck, whole, raw",1,,,,52.46,,,0.11,2.46,,
M013,"Egg, duck, whole, omlet",1,,,,71.79,,,0.17,3.28,,
M014,"Egg, quial, whole, raw",1,,,,60.67,,,0.09,2.55,,
M015,"Egg, quial, whole, boiled",1,,,,61.35,,,0.13,2.63,,
N001,"Chicken, poultry, leg, skinless",4,0.01±0.00,,,20.52±0.33,,,0.25±0.11,1.27±0.23,0.002±0.000,
N002,"Chicken, poultry, thigh, skinless",6,0.10±0.00,,,18.37±0.39,,,0.23±0.20,1.11±0.16,,
N003,"Chicken, poultry, breast, skinless",5,0.03±0.00,,,12.91±3.41,,,0.27±0.23,0.83±0.16,,
N004,"Chicken, poultry, wing, skinless",5,0.02±0.00,,,28.13±3.66,,,0.43±0.29,1.38±0.29,,
N005,"Poultry, chicken, liver",1,,,,4.1,,,0.29,9.92,,
N006,"Poultry, chicken, gizzard",1,,,,5.46,,,0.2,3.19,,
N007,"Country hen, leg, with skin",1,,,,22.56,,,0.22,1.66,,
N008,"Country hen, thigh, with skin",1,,,,20.12,,,0.4,1.4,,
N009,"Country hen, breast, with skin",1,,,,12.49,,,0.13,1.09,,
N010,"Country hen, wing, with skin",1,,,,35.46,,,0.15,1.45,,
N011,"Duck, meat, with skin",1,,,,22.77,0.001,,1,4.26,,
N012,"Emu, meat, skinless",1,,,,7.4,0.002,,0.65,3.95,,
N013,"Guinea fowl, meat, with skin",1,,,,30.77,0.002,,0.17,2.2,,
N014,"Pigeon, meat, with skin",1,,,,18.11,,,0.1,3.81,,
N015,"Quail, meat, skinless",1,,,,20.6,,,0.2,1.9,,
N016,"Turkey, leg, with skin",1,,,,20.44,0.001,,0.53,2.01,,
N017,"Turkey, thigh, with skin",1,,,,23.52,,,0.47,1.58,,
N018,"Turkey, breast, with skin",1,,,,14.35,,,0.1,1.01,,
N019,"Turkey, wing, with skin",1,,,,33.49,0.001,,0.2,1,,
O001,"Goat, shoulder, meat",6,0.29±0.06,0.71±0.32,,6.18±1.58,0.008±0.005,,0.11±0.07,1.48±0.34,0.003±0.001,
O002,"Goat, chops",6,0.16±0.02,0.76±0.41,,7.44±0.28,0.012±0.007,0.001±0.000,0.07±0.01,1.87±0.44,0.002±0.000,
O003,"Goat, legs",6,0.13±0.02,1.20±0.69,,5.76±0.97,0.007±0.003,,0.08±0.02,1.77±0.48,0.003±0.001,
O004,"Goat, brain",5,0.22±0.04,0.56±0.20,,10.61±0.24,0.011±0.012,,0.30±0.06,1.63±0.35,0.003±0.001,
O005,"Goat, tongue",4,0.40±0.04,0.57±0.18,,7.11±0.14,0.014±0.004,,0.16±0.03,2.09±0.42,0.003±0.002,
O006,"Goat, lungs",4,0.32±0.05,1.18±0.35,,10.44±2.48,0.041±0.031,0.001±0.000,0.22±0.01,7.10±1.77,0.002±0.000,
O007,"Goat, heart",5,0.37±0.08,0.93±0.21,,5.71±1.43,0.012±0.005,,0.34±0.04,3.38±0.54,0.002±0.000,
O008,"Goat, liver",6,0.53±0.12,1.49±0.49,0.002±0.003,6.09±2.31,0.010±0.004,0.006±0.002,3.70±1.67,6.56±0.34,0.004±0.002,
O009,"Goat, tripe",5,0.33±0.06,0.18±0.23,,20.87±6.81,0.007±0.001,,0.07±0.02,0.81±0.23,0.003±0.001,
O010,"Goat, spleen",4,0.29±0.03,1.18±0.39,,8.35±0.44,0.015±0.006,0.001±0.001,0.13±0.02,51.41±17.21,0.004±0.002,
O011,"Goat, kidneys",4,0.19±0.04,1.44±0.87,0.002±0.001,12.37±4.51,0.009±0.005,0.003±0.001,0.25±0.03,6.73±0.13,0.001±0.000,
O012,"Goat, tube (small intestine)",3,0.57±0.19,2.05±0.91,,27.52±1.44,0.009±0.000,0.001±0.000,0.06±0.03,2.21±0.97,0.001±0.000,
O013,"Goat, testis",2,0.06,0.65,0.001,5.95,0.015,0.001,0.08,1.43,0.007,
O014,"Sheep, shoulder",5,0.25±0.06,1.18±0.52,,5.46±2.05,0.023±0.038,0.001±0.000,0.07±0.04,1.63±0.62,0.003±0.001,
O015,"Sheep, chops",4,0.13±0.02,0.69±0.39,,7.98±1.94,0.009±0.004,0.001±0.001,0.08±0.02,2.24±0.33,0.003±0.001,
O016,"Sheep, leg",5,0.13±0.03,0.70±0.26,,6.87±1.88,0.009±0.003,,0.09±0.01,1.54±0.15,0.001±0.001,
O017,"Sheep, brain",1,0.14,0.73,,10.27,0.003,,0.28,1.93,0.002,
O018,"Sheep, tongue",1,0.28,0.34,,8.05,0.082,,0.17,2.46,0.001,
O019,"Sheep, lungs",2,0.48,1.85,0.004,7.74,0.015,0.003,0.41,8.58,0.001,
O020,"Sheep, heart",1,0.03,6.04,,6.79,0.012,0.001,0.29,3.07,,0.03
O021,"Sheep, liver",4,0.16±0.00,1.66±0.51,0.001±0.000,5.92±0.44,0.025±0.004,0.007±0.002,5.70±1.99,6.15±1.70,0.007±0.001,
O022,"Sheep, tripe",2,0.27,0.1,,14.85,0.019,,0.06,0.9,0.002,
O023,"Sheep, spleen",1,0.16,0.92,0.001,11.49,0.013,0.001,0.16,53.11,0.009,
O024,"Sheep, kidneys",2,0.19,2.1,0.003,14.15,0.006,0.009,0.38,6.11,0.006,
O025,"Beef, shoulder",6,0.38±0.10,0.76±0.26,,6.50±1.85,0.007±0.002,,0.07±0.04,2.22±0.56,0.003±0.001,
O026,"Beef, chops",4,0.30±0.04,1.40±0.41,,4.64±1.64,0.005±0.001,,0.04±0.02,1.95±0.46,0.002±0.000,
