code,name,regn,water,protcnt,ash,fatce,fibtg,fibins,fibsol,choavldf,enerc
E007,Avocado fruit (Persea americana),1,73.56,2.95,1.19,13.86,6.69,5.26,1.42,1.75,604
E008,Bael fruit (Aegle marmelos),1,61.36,2.63,0.91,0.57,6.31,3.31,3.00,28.21,569
E009,"Banana, ripe, montham (Musa x paradisiaca)",1,70.13,1.25,1.15,0.32,2.21,1.43,0.78,24.95,463
E010,"Banana, ripe, poovam (Musa x paradisiaca)",2,71.32,1.49,1.09,0.35,2.33,1.29,1.04,23.41,445
E011,"Banana, ripe, red (Musa x paradisiaca)",1,70.28,1.29,0.95,0.29,1.98,1.26,0.72,25.21,467
E012,"Banana, ripe, robusta (Musa x paradisiaca)",6,71.93±0.85,1.23±0.08,0.94±0.17,0.33±0.01,1.94±0.07,1.23±0.10,0.71±0.07,23.63±0.74,440±14
E013,Black berry (Rubus fruticosus),5,82.94±0.42,0.92±0.10,0.52±0.04,0.63±0.02,4.35±0.25,3.44±0.16,0.91±0.13,10.64±0.35,227±6
E014,"Cherries, red (Prunus cerasus)",4,83.61±0.21,1.49±0.22,0.45±0.02,0.46±0.05,2.12±0.12,1.35±0.09,0.78±0.06,11.87±0.31,250±4
E015,"Currants, black (Ribes nigrum)",1,83.27,1.51,0.69,0.53,4.07,2.43,1.64,9.93,227
E016,Custard apple (Annona squamosa),1,71.55,1.62,0.68,0.67,5.10,3.17,1.93,20.38,414
E017,"Dates, dry, pale brown (Phoenix dactylifera)",6,11.14±0.73,2.45±0.24,2.20±0.07,0.35±0.03,8.95±0.23,7.53±0.22,1.42±0.14,74.91±0.52,1340±12
E018,"Dates, dry, dark brown (Phoenix dactylifera)",2,13.13,2.38,2.39,0.35,9.10,7.57,1.53,72.67,1301
E019,"Dates, processed (Phoenix dactylifera)",2,22.01,1.18,1.93,0.41,6.52,5.68,0.84,67.95,1197
E020,Fig (Ficus carica),6,75.60±1.16,2.03±0.22,1.08±0.18,0.37±0.06,4.64±0.41,2.59±0.22,2.05±0.23,16.28±1.13,341±18
E021,Goosberry (Emblica officinalis),5,87.02±0.78,0.34±0.03,0.34±0.05,0.16±0.04,7.75±0.64,6.20±0.43,1.55±0.43,4.39±1.09,99±19
E022,"Grapes, seeded, round, black (Vitis vinifera)",4,83.88±0.56,0.76±0.13,0.46±0.04,0.32±0.02,1.35±0.14,0.82±0.06,0.52±0.09,13.23±0.60,254±11
E023,"Grapes, seeded, round, green (Vitis vinifera)",5,85.07±0.29,0.77±0.12,0.43±0.05,0.29±0.03,1.25±0.04,0.81±0.02,0.44±0.02,12.19±0.20,235±4
E024,"Grapes, seeded, round, red (Vitis vinifera)",5,84.46±1.60,0.95±0.11,0.48±0.07,0.29±0.04,1.28±0.10,0.85±0.05,0.43±0.09,12.55±1.38,244±26
E025,"Grapes, seedless, oval, black (Vitis vinifera)",5,75.30±1.55,1.41±0.26,0.70±0.13,0.46±0.11,1.64±0.15,0.98±0.19,0.66±0.08,20.48±0.97,395±23
E026,"Grapes, seedless, round, green (Vitis vinifera)",5,85.55±1.70,0.62±0.13,0.47±0.08,0.26±0.02,1.28±0.05,0.85±0.05,0.44±0.01,11.81±1.52,224±28
E027,"Grapes, seedless, round, black (Vitis vinifera)",5,76.90±1.40,1.24±0.25,0.49±0.05,0.35±0.03,1.15±0.19,0.83±0.04,0.32±0.15,19.86±1.58,374±25
E028,"Guava, white flesh (Psidium guajava)",5,83.79±0.30,1.44±0.09,0.72±0.05,0.32±0.03,8.59±0.05,7.14±0.02,1.45±0.04,5.13±0.33,135±5
E029,"Guava, pink flesh (Psidium guajava)",5,81.22±0.45,1.19±0.19,0.81±0.06,0.25±0.03,7.39±0.38,6.12±0.29,1.28±0.09,9.14±0.27,195±6
E030,"Jack fruit, ripe (Artocarpus heterophyllus)",5,78.56±0.34,2.74±0.47,0.91±0.08,0.15±0.02,3.62±0.17,2.21±0.17,1.41±0.06,14.01±0.56,302±3
E031,"Jambu fruit, ripe (Syzygium cumini)",2,83.33,0.82,0.31,0.17,3.07,2.40,0.67,12.30,235
E032,Karonda fruit (Carissa carandas),1,86.04,1.15,1.02,1.67,7.25,5.87,1.38,2.87,141
E033,"Lemon, juice (Citrus limon)",6,91.59±0.53,0.41±0.05,0.28±0.03,0.75±0.02,,6.97±0.56,,,153±9
E034,"Lime, sweet,pulp (Citrus limetta)",6,91.32±0.33,0.76±0.09,0.47±0.03,0.20±0.06,2.07±0.11,1.33±0.04,0.74±0.08,5.18±0.37,114±5
E035,Litchi (Nephelium litchi),4,85.56±0.27,0.99±0.09,0.44±0.06,0.26±0.02,1.34±0.05,0.81±0.10,0.53±0.06,11.41±0.20,225±5
E036,"Mango, ripe, banganapalli (Mangifera indica)",6,88.44±0.55,0.54±0.10,0.42±0.04,0.55±0.03,1.88±0.15,1.01±0.08,0.87±0.11,8.18±0.49,175±9
E037,"Mango, ripe, gulabkhas (Mangifera indica)",2,86.65,0.52,0.32,0.53,1.67,1.03,0.64,10.32,209
E038,"Mango, ripe, himsagar (Mangifera indica)",3,88.04±0.10,0.46±0.04,0.38±0.02,0.54±0.02,1.55±0.13,0.82±0.19,0.73±0.06,9.03±0.26,187±5
E039,"Mango, ripe, kesar (Mangifera indica)",4,85.07±0.59,0.54±0.05,0.44±0.07,0.57±0.03,2.02±0.20,1.09±0.05,0.93±0.14,11.36±0.49,231±8
E040,"Mango, ripe, neelam (Mangifera indica)",2,88.41,0.68,0.38,0.55,1.77,0.97,0.79,8.21,178
E041,"Mango, ripe, paheri (Mangifera indica)",2,87.69,0.68,0.42,0.58,1.97,0.99,0.98,8.67,188
E042,"Mango, ripe, totapari (Mangifera indica)",1,84.14,0.41,0.47,0.49,1.73,0.95,0.78,12.75,248
E043,Mangosteen (Garcinia mangostana),1,85.52,0.63,0.33,0.24,1.87,1.23,0.64,11.41,219
E044,Manila tamarind (Pithecellobium dulce),1,74.54,3.56,2.82,1.14,4.40,3.30,1.10,13.54,342
E045,"Musk melon, orange flesh (Cucumis melon)",5,92.97±0.38,0.42±0.06,0.52±0.02,0.35±0.02,1.51±0.28,0.84±0.20,0.67±0.11,4.24±0.40,97±8
E046,"Musk melon, yellow flesh (Cucumis melon)",6,91.84±0.93,0.53±0.05,0.48±0.04,0.26±0.02,1.49±0.10,0.79±0.08,0.70±0.05,5.40±1.04,116±18
E047,"Orange, pulp (Citrus aurantium)",6,89.61±0.19,0.70±0.12,0.36±0.02,0.13±0.02,1.29±0.05,0.73±0.05,0.56±0.02,7.92±0.27,156±4
E048,"Palm fruit, tender (Borassus flabellifer)",1,91.93,0.50,0.13,0.12,2.40,1.87,0.53,4.92,101
E049,"Papaya, ripe (Carcia papaya)",6,91.47±0.76,0.42±0.05,0.51±0.03,0.16±0.01,2.83±0.26,1.75±0.16,1.08±0.10,4.61±0.48,100±9
E050,Peach (Prunus communis),1,88.31,0.86,0.51,0.37,2.13,1.22,0.91,7.82,168
E051,Pear (Pyrus sp.),6,86.49±0.18,0.36±0.04,0.32±0.02,0.27±0.04,4.48±0.08,4.02±0.07,0.46±0.03,8.09±0.23,157±3
E052,Phalsa (Grewia asiatica),2,77.48,1.66,1.09,0.14,4.54,3.44,1.09,15.09,299
E053,Pineapple (Ananas comosus),6,86.06±1.19,0.52±0.09,0.38±0.04,0.16±0.02,3.46±0.12,2.88±0.08,0.59±0.06,9.42±1.15,180±19
E054,Plum (Prunus domestica),3,84.44±1.25,0.64±0.13,0.35±0.16,0.40±0.16,2.07±0.36,1.23±0.22,0.84±0.16,12.10±1.47,238±19
E055,"Pomegranate, maroon seeds (Punica granatum)",6,83.55±0.39,1.33±0.07,0.57±0.04,0.15±0.02,2.83±0.06,2.26±0.05,0.57±0.02,11.58±0.43,229±6
E056,Pummelo (Citrus maxima),3,86.97±1.52,0.68±0.06,0.49±0.03,0.42±0.01,0.80±0.04,0.49±0.03,0.31±0.01,10.64±1.54,210±26
E057,"Raisins, dried, black (Vitis vinifera)",6,19.69±0.59,2.57±0.20,2.19±0.14,0.34±0.02,3.92±0.23,2.55±0.30,1.37±0.17,71.29±0.48,1279±12
E058,"Raisins, dried, golden (Vitis vinifera)",6,21.50±0.51,2.76±0.26,2.04±0.17,0.35±0.03,4.56±0.50,3.04±0.55,1.53±0.26,68.79±1.00,1241±16
E059,Rambutan (Nephelium lappaceum),1,80.87,0.68,0.43,0.16,1.02,0.71,0.30,16.84,306
E060,Sapota (Achras sapota),6,73.64±1.01,0.92±0.07,0.68±0.05,1.26±0.02,9.60±0.57,8.46±0.58,1.14±0.04,13.90±1.13,307±18
E061,Soursop (Annona muricata),1,80.85,0.74,0.58,0.94,4.95,3.79,1.16,11.94,260
E062,Star fruit (Averrhoa carambola),1,91.18,0.79,0.33,0.39,2.81,2.17,0.64,4.51,110
E063,Strawberry (Fragaria ananassa),6,92.03±0.64,0.97±0.10,0.54±0.02,0.56±0.02,2.50±0.03,1.51±0.08,0.99±0.08,3.40±0.64,103±11
E064,"Tamarind, pulp (Tamarindus indicus)",6,20.83±0.57,2.92±0.22,3.44±0.31,0.15±0.02,5.31±0.27,3.73±0.24,1.58±0.09,67.35±0.45,1207±7
E065,"Water melon, dark green (sugar baby) (Citrullus vulgaris)",6,94.54±0.63,0.60±0.06,0.13±0.02,0.16±0.01,0.70±0.14,0.35±0.11,0.34±0.05,3.86±0.59,85±10
E066,"Water melon, pale green (Citrullus vulgaris)",6,95.33±0.22,0.59±0.03,0.12±0.01,0.16±0.01,0.78±0.11,0.40±0.07,0.38±0.08,3.02±0.21,70±4
E067,Wood Apple (Limonia acidissima),3,79.36±0.17,3.14±0.30,1.15±0.05,3.62±0.03,5.21±0.38,3.77±0.08,1.44±0.40,7.52±0.58,327±3
E068,Zizyphus (Zizyphus jujube),1,84.39,1.34,0.80,0.35,3.73,2.71,1.02,9.40,204
F001,Beet root (Beta vulgaris),6,86.95±0.50,1.95±0.14,1.46±0.21,0.14±0.01,3.31±0.32,2.60±0.30,0.71±0.06,6.18±0.61,149±9
F002,"Carrot, orange (Dacus carota)",6,87.69±0.56,0.95±0.15,1.16±0.09,0.47±0.02,4.18±0.30,2.81±0.18,1.37±0.21,5.55±0.48,139±9
F003,"Carrot, red (Dacus carota)",4,86.07±1.34,1.04±0.09,1.22±0.10,0.47±0.04,4.49±0.19,3.09±0.26,1.40±0.21,6.71±1.11,160±19
F004,Colocasia (Colocasia antiquorum),6,73.49±0.32,3.31±0.59,1.95±0.27,0.17±0.03,3.22±0.34,2.54±0.30,0.68±0.05,17.85±0.94,372±9
F005,Lotus root (Nelumbium nelumbo),3,76.26±0.87,1.94±0.32,1.50±0.10,0.93±0.06,4.70±0.04,2.86±0.01,1.84±0.05,14.67±0.45,332±14
F006,"Potato, brown skin, big (Solanum tuberosum)",6,80.72±0.40,1.54±0.17,0.92±0.08,0.23±0.02,1.71±0.03,1.13±0.02,0.58±0.04,14.89±0.40,292±7
F007,"Potato, brown skin, small (Solanum tuberosum)",1,82.97,1.35,0.87,0.22,1.69,1.15,0.54,12.90,255
F008,"Potato, red skin (Solanum tuberosum)",1,79.72,1.83,1.13,0.22,1.68,1.11,0.57,15.43,306
F009,"Radish, elongate, red skin (Raphanus sativus)",3,89.32±0.29,0.67±0.03,0.73±0.02,0.13±0.02,2.46±0.16,1.96±0.03,0.49±0.15,6.71±0.12,134±3
F010,"Radish, elongate, white skin (Raphanus sativus)",6,89.05±0.72,0.77±0.08,0.82±0.10,0.15±0.02,2.65±0.15,1.98±0.16,0.67±0.08,6.56±0.70,135±11
F011,"Radish, round, red skin (Raphanus sativus)",1,89.68,0.89,0.91,0.16,2.29,1.56,0.73,6.07,130
F012,"Radish, round, white skin (Raphanus sativus)",2,89.76,0.80,0.80,0.14,2.37,1.63,0.74,6.13,129
F013,"Sweet potato, brown skin (Ipomoes batatas)",4,69.21±0.83,1.33±0.12,0.96±0.07,0.26±0.06,3.99±0.05,2.57±0.07,1.43±0.04,24.25±0.77,456±15
F014,"Sweet potato, pink skin (Ipomoes batatas)",3,69.58±0.22,1.27±0.09,0.95±0.01,0.33±0.06,3.94±0.10,2.53±0.04,1.41±0.07,23.93±0.15,452±4
F015,Tapioca (Manihot esculenta),3,75.23±0.55,1.03±0.10,1.12±0.11,0.20±0.01,4.61±0.12,3.85±0.08,0.76±0.05,17.81±0.57,334±10
F016,Water Chestnut (Eleocharis dulcis),1,73.34,0.86,0.95,0.37,3.02,2.15,0.87,21.46,400
F017,"Yam, elephant (Amorphophallus campanulatus)",6,74.39±0.31,2.56±0.28,1.29±0.10,0.14±0.02,4.17±0.05,3.25±0.03,0.92±0.03,17.46±0.55,353±5
F018,"Yam, ordinary (Amorphophallus campanulatus)",4,74.28±0.63,2.18±0.26,1.64±0.19,0.17±0.02,4.08±0.07,3.32±0.32,0.76±0.25,17.65±0.57,349±12
F019,"Yam, wild (Dioscorea versicolor)",2,69.35,3.07,1.76,0.30,4.57,3.29,1.29,20.95,430
G001,"Chillies, green-1 (Capsicum annum)",5,84.47±0.29,2.62±0.35,1.01±0.14,0.73±0.02,4.86±0.65,3.31±0.42,1.55±0.35,6.32±0.41,191±5
G002,"Chillies, green-2 (Capsicum annum)",3,85.72±0.49,2.28±0.13,0.85±0.06,0.75±0.04,5.13±0.56,3.79±0.33,1.34±0.27,5.27±0.42,167±7
G003,"Chillies, green-3 (Capsicum annum)",5,85.59±0.79,2.38±0.40,0.95±0.13,0.75±0.02,5.10±0.10,3.61±0.46,1.50±0.49,5.23±0.71,169±12
G004,"Chillies, green-4 (Capsicum annum)",3,85.29±0.53,2.33±0.30,0.87±0.13,0.74±0.01,4.15±0.29,2.84±0.17,1.31±0.26,6.63±0.61,190±9
G005,"Chillies, green-5 (Capsicum annum)",2,85.93±0.11,2.01±0.26,0.82±0.08,0.65±0.03,3.95±0.60,2.83±0.37,1.12±0.32,6.64±0.39,180±10
G006,"Chillies, green-6 (Capsicum annum)",1,84.93,3.01,0.96,0.64,5.15,3.91,1.24,5.31,175
G007,"Chillies, green-7 (Capsicum annum)",1,85.83,2.12,0.90,0.60,4.95,3.75,1.20,5.61,163
G008,"Chillies, green - all varieties (Capsicum annum)",6,85.39±0.68,2.36±0.34,0.91±0.12,0.72±0.05,4.77±0.61,3.41±0.52,1.37±0.34,5.86±0.77,177±14
G009,Coriander leaves (Coriandrum sativum),6,86.99±0.41,3.52±0.26,2.19±0.15,0.70±0.06,4.66±0.24,3.24±0.21,1.42±0.15,1.93±0.27,130±9
G010,Curry leaves (Murraya koenigii),6,65.33±1.57,7.41±0.26,4.86±0.58,1.06±0.04,16.83±0.78,13.81±0.43,3.02±0.44,4.51±1.79,266±32
G011,"Garlic, big clove (Allium sativum)",6,64.38±0.56,6.92±0.20,1.40±0.11,0.16±0.02,5.22±0.41,2.56±0.38,2.66±0.17,21.93±0.82,518±12
G012,"Garlic, small clove (Allium sativum)",3,64.42±0.30,6.75±0.24,1.38±0.17,0.14±0.01,5.47±0.07,2.61±0.02,2.86±0.07,21.84±0.74,514±8
G013,"Garlic, single clove, Kashmir (Allium sativum)",1,64.49,6.12,1.76,0.16,4.01,2.20,1.81,23.46,523
G014,"Ginger, fresh (Zinziber officinale)",6,81.27±0.22,2.22±0.16,1.33±0.13,0.85±0.03,5.36±0.40,4.28±0.25,1.08±0.21,8.97±0.28,230±4
G015,Mango ginger (Curcuma amada),3,84.55±0.16,1.45±0.37,1.57±0.14,0.70±0.03,4.74±0.50,3.79±0.13,0.95±0.62,6.98±0.15,177±3
G016,Mint leaves (Mentha spicata ),4,84.24±0.71,4.66±0.15,2.18±0.17,0.65±0.05,5.89±0.49,4.49±0.54,1.40±0.06,2.39±0.36,155±4
G017,"Onion, big (Allium cepa)",6,85.76±0.43,1.50±0.10,0.50±0.04,0.24±0.03,2.45±0.21,1.92±0.15,0.53±0.08,9.56±0.44,201±9
G018,"Onion, small (Allium cepa)",5,84.67±0.12,1.82±0.20,0.61±0.07,0.16±0.01,1.16±0.19,0.70±0.18,0.46±0.09,11.58±0.37,237±4
G019,Asafoetida (Ferula assa-foetida),6,9.42±0.56,6.34±0.53,5.90±0.12,1.26±0.02,5.13±0.33,3.90±0.37,1.23±0.25,71.95±0.71,1387±9
G020,"Cardamom, green (Elettaria cardamomum)",6,11.24±0.51,8.10±0.41,7.21±0.46,2.60±0.15,23.10±0.14,20.46±0.09,2.64±0.10,47.76±0.47,1067±16
G021,"Cardamom, black (Elettaria cardamomum)",4,6.69±0.47,6.69±0.31,7.84±0.40,2.80±0.24,23.46±0.58,20.73±0.39,2.74±0.37,52.53±1.51,1132±13
G022,"Chillies, red (Capsicum annum)",6,14.57±0.42,12.69±0.22,5.73±0.15,6.40±0.04,31.15±0.04,26.55±0.17,4.60±0.15,29.46±0.62,990±8
G023,Cloves (Syzygium aromaticum),6,26.49±0.68,5.86±0.21,5.99±0.23,8.41±0.15,34.52±0.48,28.07±0.42,6.46±0.10,18.73±0.39,781±6
G024,Coriander seeds (Coriandrum sativum),6,8.72±0.47,10.66±0.33,5.36±0.15,17.47±0.22,44.81±2.36,35.27±1.77,9.54±2.42,12.98±2.62,1125±38
G025,Cumin seeds (Cuminum cyminum),6,10.59±0.51,13.91±0.50,5.90±0.09,16.64±0.15,30.35±0.71,25.73±0.77,4.62±0.27,22.62±1.05,1274±19
G026,Fenugreek seeds (Trigonella foenum graecum),6,7.82±0.37,25.41±0.24,2.93±0.15,5.72±0.02,47.55±0.54,27.63±0.59,19.92±0.51,10.57±0.57,983±10
G027,Mace (Myristica fragrans),6,20.06±0.70,6.24±0.27,2.47±0.28,24.41±0.20,20.31±0.23,16.78±0.23,3.54±0.17,26.51±0.81,1488±12
G028,Nutmeg (Myristica fragrans),6,15.55±0.55,6.30±0.24,1.99±0.11,36.52±0.04,11.99±0.18,10.54±0.18,1.46±0.14,27.64±0.70,1940±11
G029,Omum (Trachyspermum ammi),6,9.71±0.18,15.89±0.61,8.18±0.23,21.11±0.08,20.58±0.04,17.20±0.02,3.38±0.04,24.53±0.68,1495±7
G030,Pippali (Piper longum),6,10.95±0.48,10.53±0.45,6.41±0.07,2.27±0.02,34.14±0.60,29.57±0.55,4.57±0.39,35.70±0.45,906±8
G031,"Pepper, black (Piper nigrum)",6,13.18±0.40,10.12±0.40,4.58±0.13,2.74±0.02,33.16±0.29,30.61±0.29,2.54±0.11,36.22±0.45,910±8
G032,Poppy seeds (Papaver somniferum),6,4.22±0.32,20.31±0.40,6.04±0.19,30.38±1.87,26.68±3.04,15.62±2.29,11.06±1.75,12.37±1.95,1768±77
G033,Turmeric powder (Curcuma domestica),6,10.58±0.49,7.66±0.44,6.13±0.38,5.03±0.07,21.38±0.29,18.79±0.42,2.59±0.29,49.22±0.55,1174±7
H001,Almond (Prunus amygdalus),6,4.37±0.31,18.41±0.04,2.62±0.13,58.49±0.04,13.06±0.31,10.55±0.22,2.52±0.34,3.04±0.24,2549±4
H002,"Arecanut, dried, brown (Areca catechu)",6,6.63±0.15,5.78±0.45,1.39±0.09,4.35±0.03,11.44±0.64,10.14±0.44,1.30±0.32,70.42±0.81,1467±12
H003,"Arecanut, dried, red color (Areca catechu)",3,6.30±0.32,6.46±0.51,1.41±0.04,4.46±0.03,11.11±0.34,10.09±0.25,1.03±0.27,70.27±0.96,1477±9
H004,"Arecanut, fresh (Areca catechu)",2,37.70,2.73,1.43,5.51,7.63,6.59,1.03,45.00,1024
H005,Cashew nut (Anacardium occidentale),6,4.44±0.22,18.78±0.58,2.25±0.08,45.20±0.07,3.86±0.47,2.23±0.35,1.63±0.24,25.46±0.70,2438±11
H006,"Coconut, kernal, dry (Cocos nucifera)",6,3.97±0.73,7.27±0.02,1.61±0.17,63.26±0.30,15.88±0.79,14.55±0.23,1.33±0.99,8.01±1.02,2611±9
H007,"Coconut, kernel, fresh (Cocos nucifera)",6,36.14±0.36,3.84±0.04,1.93±0.15,41.38±0.42,10.42±0.28,9.43±0.24,0.99±0.07,6.30±0.43,1711±13
H008,"Garden cress, seeds (Lepidium sativum)",5,4.60±0.21,23.36±0.32,6.37±0.11,23.74±0.09,8.27±0.04,6.33±0.06,1.95±0.10,33.66±0.50,1863±3
H009,"Gingelly seeds, black (Sesamum indicum)",6,4.51±0.44,19.17±0.64,5.78±0.22,43.10±0.03,17.16±0.19,13.57±0.13,3.59±0.13,10.29±0.74,2124±8
H010,"Gingelly seeds, brown (Sesamum indicum)",4,3.62±0.32,21.61±0.71,4.58±0.13,43.22±0.08,17.21±0.18,13.58±0.18,3.63±0.11,9.76±1.01,2161±8
H011,"Gingelly seeds, white (Sesamum indicum)",5,3.30±0.28,21.70±0.44,4.13±0.16,43.05±0.04,16.99±0.30,13.49±0.19,3.51±0.15,10.83±0.50,2174±9
H012,Ground nut (Arachis hypogea),6,6.97±0.69,23.65±0.85,2.11±0.07,39.63±0.29,10.38±0.18,8.58±0.15,1.79±0.22,17.27±0.33,2176±9
H013,Mustard seeds (Brassica juncea),6,5.67±0.48,19.51±0.23,3.73±0.05,40.19±0.21,14.10±0.66,10.63±0.57,3.47±0.20,16.80±0.71,2132±16
H014,Linseeds (Linum usitatissimum),6,5.48±0.28,18.55±0.15,3.15±0.10,35.67±0.70,26.17±0.39,21.83±0.60,4.33±0.84,10.99±0.86,1857±16
H015,"Niger seeds, black (Guizotia abyssinica)",4,4.65±0.59,18.92±1.61,3.91±0.26,38.61±0.41,10.93±0.05,10.50±0.03,0.43±0.04,22.98±2.64,2144±11
H016,"Niger seeds, gray (Guizotia abyssinica)",5,5.66±0.29,18.34±2.11,4.92±0.22,39.53±0.26,10.96±0.14,10.54±0.12,0.41±0.03,20.59±1.85,2128±6
H017,Pine seed (Pinus gerardiana),5,5.32±0.15,12.55±0.25,2.78±0.10,48.79±0.10,3.79±0.03,2.23±0.03,1.57±0.03,26.77±0.35,2486±3
H018,Pistachio nuts (Pistacla vera),6,4.68±0.22,23.35±0.35,3.02±0.13,42.49±0.34,10.64±0.16,8.23±0.15,2.41±0.11,15.82±0.52,2257±10
H019,Safflower seeds (Carthamus tinctorius),5,5.24±0.16,17.66±0.54,2.57±0.15,30.87±0.98,13.49±0.45,10.24±0.27,3.25±0.22,30.18±1.20,1981±20
H020,Sunflower seeds (Helianthus annuus),5,3.53±0.29,23.53±0.56,3.44±0.26,51.85±0.07,10.80±0.13,8.51±0.17,2.29±0.07,6.85±0.99,2453±8
H021,Walnut (Juglans regia),6,3.56±0.22,14.92±0.62,1.72±0.08,64.27±0.05,5.39±0.19,4.74±0.17,0.65±0.03,10.14±0.69,2809±3
I001,"Jaggery, cane (Saccharum officinarum)",6,11.20±0.49,1.85±0.19,1.92±0.17,0.16±0.02,,,,84.87±0.63,1480±9
I002,"Sugarcane, juice (Saccharum officinarum)",6,85.54±0.99,0.16±0.03,0.23±0.02,0.40±0.05,0.56±0.09,0.40±0.05,0.16±0.05,13.11±0.93,242±18
J001,"Button mushroom, fresh (Agaricus sp.)",1,90.09,3.68,0.71,0.42,3.11,2.76,0.35,1.98,115
J002,"Chicken mushroom, fresh (Lactiporus sp.)",1,92.43,1.84,0.74,0.25,1.99,1.82,0.18,2.76,89
J003,"Shiitake mushroom, fresh (Lentinula sp.)",1,82.94,3.19,1.11,0.76,3.02,2.03,0.99,8.98,243
J004,"Oyster mushroom, dried (Pleurotus sp.)",1,4.51,19.04,1.41,2.86,39.12,35.64,3.48,33.07,1019
K001,Toddy,10,93.86±0.59,0.18±0.05,0.21±0.03,0.03±0.01,,,,5.72±0.55,101±10
K002,Coconut Water,6,95.77±0.42,0.26±0.04,0.65±0.06,0.16±0.02,,,,3.16±0.39,64±7
L001,"Milk, whole, Buffalo",6,80.68±0.66,3.68±0.13,0.67±0.02,6.58±0.20,,,,8.39±0.71,449±9
L002,"Milk, whole, Cow",6,86.64±1.10,3.26±0.06,0.68±0.02,4.48±0.29,,,,4.94±1.02,305±23
L003,Paneer,6,51.96±0.76,18.86±0.75,1.98±0.08,14.78±0.17,,,,12.41±0.12,1079±13
L004,Khoa,6,42.51±0.21,16.34±0.61,4.00±0.14,20.62±0.83,,,,16.53±1.26,1322±14
M001,"Egg, poultry, whole, raw",6,76.51±0.20,13.28±0.29,0.81±0.04,9.15±0.14,,,,,564±3
M002,"Egg, poultry, white, raw",6,86.68±0.11,10.84±0.07,0.75±0.03,0.06±0.01,,,,,187±1
M003,"Egg, poultry, yolk, raw",6,53.57±0.40,15.74±0.33,1.05±0.05,26.34±0.17,,,,,1242±9
M004,"Egg, poultry, whole, boiled",6,73.46±0.22,13.43±0.28,0.86±0.04,10.54±0.19,,,,,618±6
M005,"Egg, poultry, white, boiled",6,83.54±0.18,12.37±0.16,0.81±0.04,0.26±0.02,,,,,220±3
M006,"Egg, poultry, yolk, boiled",6,51.42±0.22,16.13±0.45,1.38±0.14,27.46±0.24,,,,,1290±8
M007,"Egg, poultry, omlet",3,68.48±0.13,16.53±0.43,0.96±0.03,11.60±0.22,,,,,710±4
M008,"Egg, country hen, whole, raw",1,72.96,13.14,0.86,13.00,,,,,704
M009,"Egg, country hen, whole, boiled",1,70.43,14.43,0.94,14.10,,,,,767
M010,"Egg, country hen, omlet",1,67.80,14.80,1.08,16.30,,,,,855
M011,"Egg, duck, whole, boiled",1,71.61,13.80,0.97,13.61,,,,,738
M012,"Egg, duck, whole, raw",1,70.53,14.60,0.99,13.83,,,,,760
M013,"Egg, duck, whole, omlet",1,68.90,15.10,1.18,14.80,,,,,804
M014,"Egg, quial, whole, raw",1,75.11,12.39,0.94,11.46,,,,,635
M015,"Egg, quial, whole, boiled",1,74.41,13.03,0.99,11.50,,,,,647
N001,"Chicken, poultry, leg, skinless",4,67.61±0.30,19.44±0.79,1.14±0.08,12.64±0.53,,,,,1605±23
N002,"Chicken, poultry, thigh, skinless",6,67.58±0.46,18.18±0.57,1.14±0.10,14.23±0.84,,,,,836±38
N003,"Chicken, poultry, breast, skinless",5,67.15±0.18,21.81±0.81,1.19±0.09,9.00±0.52,,,,,704±24
N004,"Chicken, poultry, wing, skinless",5,67.48±0.21,17.42±0.60,1.13±0.05,13.81±0.26,,,,,807±17
N005,"Poultry, chicken, liver",1,73.20,21.57,1.11,4.08,,,,,518
N006,"Poultry, chicken, gizzard",1,78.05,18.22,1.46,2.07,,,,,386
N007,"Country hen, leg, with skin",1,70.02,17.01,1.20,11.73,,,,,723
N008,"Country hen, thigh, with skin",1,67.46,18.29,1.23,12.82,,,,,785
N009,"Country hen, breast, with skin",1,66.53,22.08,1.14,10.20,,,,,753
N010,"Country hen, wing, with skin",1,68.01,18.65,1.14,12.09,,,,,764
N011,"Duck, meat, with skin",1,73.49,19.07,1.22,6.03,,,,,547
N012,"Emu, meat, skinless",1,71.65,22.65,0.98,4.62,,,,,556
N013,"Guinea fowl, meat, with skin",1,75.21,20.52,0.92,3.24,,,,,469
N014,"Pigeon, meat, with skin",1,74.61,17.94,1.32,6.03,,,,,528
N015,"Quail, meat, skinless",1,71.58,20.92,1.35,5.95,,,,,576
N016,"Turkey, leg, with skin",1,69.24,20.30,1.21,8.15,,,,,647
N017,"Turkey, thigh, with skin",1,72.17,20.46,0.97,6.31,,,,,581
N018,"Turkey, breast, with skin",1,68.44,21.96,1.01,8.04,,,,,671
N019,"Turkey, wing, with skin",1,66.16,21.91,0.97,10.77,,,,,771
O001,"Goat, shoulder",6,66.39±0.40,20.33±0.50,0.90±0.02,11.94±0.78,,,,,787±33
O002,"Goat, chops",6,72.46±1.10,20.39±0.83,0.99±0.01,5.98±0.37,,,,,568±26
O003,"Goat, legs",6,68.85±0.86,22.07±0.63,0.97±0.03,7.94±0.62,,,,,669±26
O004,"Goat, brain",5,76.74±1.02,13.82±0.80,1.29±0.07,8.06±0.46,,,,,533±23
