code,name,regn,f10d0,f12d0,f14d0,f16d0,f18d0,f20d0,f22d0,f24d0,f14d1,f16d1c,f18d1cn9
E042,"Mango, ripe, totapari (Mangifera indica)",1,,2.43,21.79,136,7.56,1.44,1.53,3.96,,70.57,97.56
E043,Mangosteen (Garcinia mangostana),1,,2.54,22.48,135,7.85,1.58,2.01,4.12,,69.87,95.47
E044,Manila tamarind (Pithecellobium dulce),1,,,,20.98,3.54,0.97,1.07,1.25,,,33.45
E045,"Musk melon, orange flesh (Cucumis melon)",5,,,,76.84±3.38,16.10±1.58,,,,,7.32±0.96,17.86±1.61
E046,"Musk melon, yellow flesh (Cucumis melon)",6,,,,62.61±3.89,16.39±1.48,,,,,5.75±0.28,15.37±1.64
E047,"Orange, pulp (Citrus aurantium)",6,,,,29.46±4.92,7.66±1.10,,,,,4.27±0.79,14.99±1.78
E048,"Palm fruit, tender (Borassus flabellifer)",1,,,2.45,22.45,8.46,,,,,5.47,32.85
E049,"Papaya, ripe (Carcia papaya)",6,,,5.52±0.62,45.26±4.02,5.30±0.61,,,,,9.53±0.95,16.83±1.70
E050,Peach (Prunus communis),1,,,0.32,17.24,5.98,0.03,,,0.03,1.32,207
E051,Pear (Pyrus sp.),6,,,,47.91±5.65,15.80±2.38,4.52±0.59,4.73±0.98,2.98±0.55,,,24.26±3.22
E052,Phalsa (Grewia asiatica),2,,,2.18,107,45.72,4.21,3.06,2.17,,5.7,162
E053,Pineapple (Ananas comosus),6,,,,42.57±5.87,8.52±1.57,,,,,,31.15±4.54
E054,Plum (Prunus domestica),3,,,,16.00±0.07,4.05±0.11,,,,,4.09±0.22,166±0.5
E055,"Pomegranate, maroon seeds (Punica granatum)",6,,1.14±0.18,0.48±0.12,22.64±3.44,13.25±2.35,2.90±0.56,1.33±0.26,0.77±0.21,,,35.30±4.74
E056,Pummelo (Citrus maxima),3,,,,88.03±0.05,19.32±0.32,,3.66±0.20,4.27±0.30,,8.70±0.34,32.30±0.31
E057,"Raisins, dried, black (Vitis vinifera)",6,,,,46.97±2.24,15.49±0.72,,,,,,46.53±3.32
E058,"Raisins, dried, golden (Vitis vinifera)",6,,,,95.25±7.47,25.94±2.83,,,,,,32.64±1.74
E059,Rambutan (Nephelium lappaceum),1,,,,120,24.12,,,,,14.25,145
E060,Sapota (Achras sapota),6,,,,343±5.4,45.33±3.97,,,,,35.05±4.86,220±9.8
E061,Soursop (Annona muricata),1,,,,89,28.84,4.98,4.01,7.98,,4.56,33.98
E062,Star fruit (Averrhoa carambola),1,,,,10.23,10.54,,,,,3.5,30.12
E063,Strawberry (Fragaria ananassa),6,,,,50.68±4.43,10.62±0.38,3.81±0.56,1.11±0.11,,,,77.87±0.85
E064,"Tamarind, pulp (Tamarindus indicus)",6,,,,20.58±0.51,3.14±0.38,1.02±0.05,1.05±0.05,1.46±0.25,,,34.89±0.45
E065,"Water melon, dark green (sugar baby) (Citrullus vulgaris)",6,,,,32.40±2.17,7.31±0.63,,,,,,24.84±1.71
E066,"Water melon, pale green (Citrullus vulgaris)",6,,,,42.94±2.12,7.39±0.99,,,,,,10.96±0.61
E067,Wood Apple (Limonia acidissima),3,,,,657±19,162±14.0,28.01±4.59,16.23±2.07,12.98±0.13,,35.39±5.97,559±19.0
E068,Zizyphus (Zizyphus jujube),1,,1.92,5.34,85.73,17.22,3.14,1.95,3.65,,13.76,110
F001 ,Beet root (Beta vulgaris) ,6,,,,27.82±2.97 ,1.57±0.14 ,,0.70±0.09 ,1.08±0.16 ,,,21.96±2.57
F002,"Carrot, orange (Dacus carota)",6,,,,72.82±2.63,6.87±0.57,3.03±0.42,2.91±0.40,2.08±0.44,,,21.01±1.26
F003,"Carrot, red (Dacus carota)",4,,,,70.77±1.63,8.40±0.40,3.94±0.11,3.41±0.31,2.67±0.20,,,18.27±0.53
F004,Colocasia (Colocasia antiquorum),6,,,,38.35±2.80,3.49±0.43,,,,,,22.92±1.60
F005,Lotus root (Nelumbium nelumbo),3,,,,215±16.5,33.32±6.83,,,,,,84.12±3.38
F006,"Potato, brown skin, big (Solanum tuberosum)",6,,,,36.34±1.32,7.21±0.68,,,,,9.75±1.66,4.06±0.33
F007,"Potato, brown skin, small (Solanum tuberosum)",1,,,,36.29,7.74,,,,,4.57,7.37
F008,"Potato, red skin (Solanum tuberosum)",1,,,,32.95,6.92,,,,,12.38,2.53
F009,"Radish, elongate, red skin (Raphanus sativus)",3,,,,33.13±2.78,5.52±0.77,1.31±0.21,1.35±0.07,1.35±0.27,,1.11±0.15,6.17±0.65
F010,"Radish, elongate, white skin (Raphanus sativus)",6,,,,34.72±2.68,5.15±0.83,1.39±0.34,1.25±0.31,1.38±0.18,,1.20±0.18,7.94±0.71
F011,"Radish, round, red skin (Raphanus sativus)",1,,,,37.24,4.69,0.97,1.26,1.93,,1.25,4.82
F012,"Radish, round, white skin (Raphanus sativus)",2,,,,34.12,3.97,0.86,0.84,1.36,,1.17,11.47
F013,"Sweet potato, brown skin (Ipomoes batatas)",4,,7.39±0.73,,48.29±2.45,10.42±1.43,,,,,,4.10±0.60
F014,"Sweet potato, pink skin (Ipomoes batatas)",3,,11.17±0.84,,72.86±4.19,17.06±1.03,,,,,,9.35±1.72
F015,Tapioca (Manihot esculenta),3,,3.59±0.06,,42.10±2.24,13.82±0.38,,,,,,9.20±0.72
F016,Water Chestnut (Eleocharis dulcis),1,,0.29,1.82,65,14.52,2.68,1.55,1.56,,0.88,100
F017,"Yam, elephant (Amorphophallus campanulatus)",6,,,,31.01±3.20,4.72±0.52,,,,,,6.75±0.92
F018,"Yam, ordinary (Amorphophallus campanulatus)",4,,,,39.42±1.05,3.21±0.38,,,,,,13.04±1.03
F019,"Yam, wild (Dioscorea versicolor)",2,,,,67.83,11.68,,,,,,22.66
G001,"Chillies, green-1 (Capsicum annum)",5,,,4.96±0.79,90.78±4.58,20.64±2.19,3.80±0.91,2.89±0.55,2.63±0.63,,3.72±0.65,34.47±3.22
G002,"Chillies, green-2 (Capsicum annum)",3,,,6.20±1.91,91.42±7.84,21.54±4.36,4.16±0.97,4.08±0.53,3.96±0.67,,4.85±0.79,28.54±2.23
G003,"Chillies, green-3 (Capsicum annum)",5,,,5.62±0.96,91.98±3.96,24.00±3.63,3.98±0.70,3.72±0.76,3.38±0.48,,3.88±0.33,27.86±2.88
G004,"Chillies, green-4 (Capsicum annum)",3,,,6.02±1.15,92.27±4.73,29.74±3.89,6.91±0.73,6.21±0.97,6.75±1.48,,5.19±0.87,24.06±3.21
G005,"Chillies, green-5 (Capsicum annum)",2,,,4.26±0.52,76.39±4.94,18.31±1.25,3.60±0.82,3.06±0.99,3.30±1.00,,3.87±1.15,23.10±2.20
G006,"Chillies, green-6 (Capsicum annum)",1,,,8.14,80.61,18.97,4.87,4.5,4.16,,4.67,22.9
G007,"Chillies, green-7 (Capsicum annum)",1,,,4.28,65.01,21.57,3.58,3.96,3.72,,3.89,25.77
G008,"Chillies, green - all varieties (Capsicum annum)",6,,,5.58±1.41,88.25±8.70,22.68±4.67,4.43±1.35,4.00±1.27,3.94±1.53,,4.32±0.88,27.88±4.64
G009,Coriander leaves (Coriandrum sativum),6,,,18.14±1.33,144±11.6,49.06±4.06,3.05±0.33,6.52±0.90,6.77±0.74,,,8.31±0.49
G010,Curry leaves (Murraya koenigii),6,,,,236±27.4,30.80±2.54,,,,,,44.57±5.15
G011,"Garlic, big clove (Allium sativum)",6,,,,26.56±3.24,3.16±0.72,1.03±0.27,1.74±0.27,1.03±0.26,,,14.24±2.48
G012,"Garlic, small clove (Allium sativum)",3,,,,25.14±0.92,3.41±0.22,1.09±0.30,2.02±0.58,0.97±0.24,,,13.55±0.78
G013,"Garlic, single clove, Kashmir (Allium sativum)",1,,,,28.56,2.19,1.36,1.35,1.31,,,10.83
G014,"Ginger, fresh (Zinziber officinale)",6,,24.21±3.10,11.05±1.24,176±6.2,19.86±1.24,,,,,,67.97±8.76
G015,Mango ginger (Curcuma amada),3,,,,146±6.6,30.59±1.78,,,,,,52.26±3.28
G016,Mint leaves (Mentha spicata ),4,,,2.18±0.18,105±8.6,17.59±1.10,,,,,,13.23±1.01
G017,"Onion, big (Allium cepa)",6,,,,47.96±0.96,4.65±0.34,,3.80±0.29,4.40±0.32,,,39.36±0.89
G018,"Onion, small (Allium cepa)",5,,,,32.07±2.47,4.08±0.41,,2.50±0.21,2.37±0.42,,,15.83±1.73
G019,Asafoetida (Ferula assa-foetida),6,,,5.04±0.97,191±4.3,45.89±3.99,,,,,5.91±0.71,236±7.9
G020,"Cardamom, green (Elettaria cardamomum)",6,,,,557±22.5,66.70±6.98,,,,,32.49±5.63,858±65.5
G021,"Cardamom, black (Elettaria cardamomum)",4,,,,430±6.3,62.50±0.85,,,,,39.53±0.59,1043±13.7
G022,"Chillies, red (Capsicum annum)",6,,,60.26±6.53,890±41.5,141±5.1,21.09±0.77,15.91±0.82,13.52±0.83,,22.41±1.65,646±66.3
G023,Cloves (Syzygium aromaticum),6,,,,2020±33.4,659±23.8,,,,,,605±47.7
G024,Coriander seeds (Coriandrum sativum),6,,,54.98±10.72,631±20.6,141±5.8,31.53±4.31,56.26±5.65,36.98±3.68,,27.35±3.65,10702±135
G025,Cumin seeds (Cuminum cyminum),6,,,,500±12.4,98.2±3.04,20.46±1.89,,,,35.01±0.95,8344±88.0
G026,Fenugreek seeds (Trigonella foenum graecum),6,,,,501±12.2,188±5.3,50.12±2.25,18.60±1.44,11.78±1.27,,,663±24.1
G027,Mace (Myristica fragrans),6,,,362±38,8120±304,767±200,54.30±13.98,,,,404±35.2,8898±398
G028,Nutmeg (Myristica fragrans),6,,783±18.0,,2372±102,204±32.7,,,,,47.77±9.28,1562±117
G029,Omum (Trachyspermum ammi),6,,,16.93±2.62,895±10.9,177±10.0,23.26±0.90,,,,26.83±0.98,13810±152
G030,Pippali (Piper longum),6,,,,436±11.7,165±10.0,,,,,38.18±1.88,289±15.1
G031,"Pepper, black (Piper nigrum)",6,,,,548±23.3,106±5.9,,,,,,463±24.8
G032,Poppy seeds (Papaver somniferum),6,,,10.16±0.81,1644±46.6,397±11.0,22.27±1.91,,,,27.62±2.90,2311±106
G033,Turmeric powder (Curcuma domestica),6,,,,769±42.7,691±44.7,174±16.1,,,,,448±83.7
H001,Almond (Prunus amygdalus),6,,,30.36±3.96,3553±20.3,717±24.8,57.98±10.77,,,,281±6.5,38012±162
H002,"Arecanut, dried, brown (Areca catechu)",6,,524±17.5,1527±27.0,487±8.8,56.30±2.94,9.72±0.46,,,,,461±21.5
H003,"Arecanut, dried, red color (Areca catechu)",3,,236±13.8,833±22.4,498±15.4,94.80±6.23,12.14±0.73,,,,,980±16.7
H004,"Arecanut, fresh (Areca catechu)",2,,586,2093,628,68.65,13.31,,,,,582
H005,Cashew nut (Anacardium occidentale),6,,,,4033±59,3447±89.3,233±5.2,47.13±1.73,56.25±3.84,,163±7.9,27678±303
H006,"Coconut, kernal, dry (Cocos nucifera)",6,2674±33.6,24525±379,10243±145,4322±185,1373±74.3,0.00±0.00,0.00±0.00,0.00±0.00,,,3710±133
H007,"Coconut, kernel, fresh (Cocos nucifera)",6,1699±59.3,15442±303,6736±195,3067±157,1043±166,32.77±8.25,10.93±1.65,17.37±2.38,,,2434±59.5
H008,"Garden cress, seeds (Lepidium sativum)",5,,,32.71±4.62,2190±36.2,730±21.6,800±24.0,219±12.4,130±7.6,,55.48±2.08,5166±261
H009,"Gingelly seeds, black (Sesamum indicum)",6,,,,3735±151,2230±164,263±11.9,51.25±6.32,38.42±6.09,,62.24±4.91,15475±432
H010,"Gingelly seeds, brown (Sesamum indicum)",4,,,,3826±66.6,2090±46.5,251±3,47.61±8.43,35.87±1.72,,56.96±2.60,15866±282
H011,"Gingelly seeds, white (Sesamum indicum)",5,,,,3883±17.2,2206±143,256±22.8,50.85±10.31,33.17±5.10,,55.87±7.22,16001±330
H012,Ground nut (Arachis hypogea),6,,,,4520±84.5,1303±96.2,598±66.3,1247±133,478±70,,242±22.6,17719±562
H013,Mustard seeds (Brassica juncea),6,,,,856±29.4,389.3±38,289±27.8,348±31.2,230±36,,69.74±7.52,4012±549
H014,Linseeds (Linum usitatissimum),6,,,,1503±68.1,1323±65.6,59.74±4.28,51.21±3.89,31.93±2.83,,25.61±1.29,5049±303
H015,"Niger seeds, black (Guizotia abyssinica)",4,,,100±2.0,4750±57.7,951±52.8,91.53±2.82,23.39±1.53,27.87±2.13,,98.16±5.18,8813±417
H016,"Niger seeds, gray (Guizotia abyssinica)",5,,,136±28.3,6061±180,2651±104,250±25.2,386±147,253±17.2,,131±19.7,4013±149
H017,Pine seed (Pinus gerardiana),5,,,19.65±1.31,2640±69.1,791±67.9,246±22.5,74.80±5.21,30.03±3.06,,31.06±1.90,18261±172
H018,Pistachio nuts (Pistacla vera),6,,,39.96±3.16,3473±81.9,425±34.4,49.82±2.80,38.10±7.85,18.11±3.13,,285±12.9,18478±209
H019,Safflower seeds (Carthamus tinctorius),5,,,28.06±1.91,1789±132,546±21.4,90.69±5.27,58.62±3.79,36.13±3.31,,17.08±2.37,3487±27
H020,Sunflower seeds (Helianthus annuus),5,,,47.49±10.65,3215±109,2166±179,175±7.7,411±33.7,145±12.2,,71.56±7.04,17649±467
H021,Walnut (Juglans regia),6,,,,3661±50.6,1502±36.3,44.18±21.48,,,,39.95±6.12,11168±799
I001,"Jaggery, cane (Saccharum officinarum)",6,,,,45.00±3.15,24.23±1.77,,,,,,21.67±1.45
I002,"Sugarcane, juice (Saccharum officinarum)",6,,,,119±4.4,20.80±2.38,,,,,,29.70±2.99
J001,"Button mushroom, fresh (Agaricus sp.)",1,,,1.83,40.06,12.95,5.07,2.98,,,1.23,5.25
J002,"Chicken mushroom, fresh (Lactiporus sp.)",1,,,0.79,54.83,3.99,,,,,0.62,2.4
J003,"Shiitake mushroom, fresh (Lentinula sp.)",1,,,3.25,72.7,18.44,9.17,5.21,,,2.05,9.73
J004,"Oyster mushroom, dried (Pleurotus sp.)",1,,,12.67,256,91.79,36.78,20.76,,,7.94,38.44
K001,Toddy,10,,,2.10±0.38,21.04±0.93,7.50±0.40,,,,,4.19±0.81,30.49±1.14
K002,Coconut Water,6,,47.14±3.52,24.62±2.06,16.18±0.97,5.56±1.10,,,,,,10.78±0.38
L001,"Milk, whole, Buffalo",6,158±6.6,220±3.3,806±16.9,1776±63.6,943±58.7,,,,47.08±7.37,61.97±4.34,1671±103
L002,"Milk, whole, Cow",6,172±8.8,98±3.08,451±11.8,1033±40.3,518±15.7,,,,,37.90±2.11,1176±30.3
L003,Paneer,6,230±10.0,340±29.6,1600±60.9,4792±199,1755±166,88.14±15.40,28.73±6.32,17.14±2.69,,385±33.5,3914±206
L004,Khoa,6,259±21.1,375±19.4,1932±112,7138±290,3099±286,61.24±12.26,43.03±15.56,28.18±7.46,,398±57.1,5266±422
