code,name,regn,chlrac,ferac,apigen,apigen6cgls,apigen7onshps,luteol,kaemf,querce,querce3bdgls,querce3ortns
G017,"Onion, big (Allium cepa)",6,0.19±0.05,0.08±0.02,0.05±0.02,,,0.04±0.02,0.68±0.24,1.62±0.16,2.79±0.21,0.36±0.06
G018,"Onion, small (Allium cepa)",5,0.18±0.02,0.04±0.01,0.04±0.01,,,0.01±0.01,0.62±0.23,5.78±0.46,1.61±0.11,0.18±0.08
G019,Asafoetida (Ferula assa-foetida),6,,36.33±2.34,,,,0.14±0.02,,,,
G020,"Cardamom, green (Elettaria cardamomum)",6,3.96±0.62,1.78±0.57,,,,,,,,
G021,"Cardamom, black (Elettaria cardamomum)",4,4.86±0.15,2.35±0.27,,,,,,,,
G022,"Chillies, red (Capsicum annum)",6,,,14.08±1.73,,30.49±1.92,,,,,
G023,Cloves (Syzygium aromaticum),6,,,,,,,15.82±0.97,13.35±0.74,,
G024,Coriander seeds (Coriandrum sativum),6,2.91±0.20,0.13±0.02,,,,,,0.47±0.16,,6.39±1.11
G025,Cumin seeds (Cuminum cyminum),6,5.88±0.55,,0.41±0.07,,,,35.68±3.05,0.15±0.02,3.78±0.34,13.74±2.21
G026,Fenugreek seeds (Trigonella foenum graecum),6,1.44±0.19,1.73±0.51,,,,,,,,2.67±0.28
G027,Mace (Myristica fragrans),6,,,,,,,,,,
G028,Nutmeg (Myristica fragrans),6,,,,,,4.96±0.39,,2.83±0.40,,4.19±0.63
G029,Omum (Trachyspermum ammi),6,48.23±4.77,,,,,,,0.05±0.01,,3.01±0.34
G030,Pippali (Piper longum),6,,,,,,,,,,32.83±1.78
G031,"Pepper, black (Piper nigrum)",6,2.96±0.56,,,,,,,,,
G032,Poppy seeds (Papaver somniferum),6,,,,,,,,0.04±0.01,,0.73±0.08
G033,Turmeric powder (Curcuma domestica),6,,,,,,,,2.85±0.79,,
H001,Almond (Prunus amygdalus),6,,,,,,,3.61±0.26,,0.08±0.01,0.64±0.04
H002,"Arecanut, dried, brown (Areca catechu)",6,,,,,,,,,,0.49±0.23
H003,"Arecanut, dried, red color (Areca catechu)",3,,,,,,,,,,0.97±0.65
H004,"Arecanut, fresh (Areca catechu)",2,,,,,,,,,,0.46
H005,Cashew nut (Anacardium occidentale),6,,,,,,,,0.03±0.01,,
H006,"Coconut, kernal, dry (Cocos nucifera)",6,2.94±0.60,0.03±0.01,,,,,,,1.14±0.06,
H007,"Coconut, kernel, fresh (Cocos nucifera)",6,0.45±0.06,0.02±0.01,,,,,,,0.59±0.12,
H008,"Garden cress, seeds (Lepidium sativum)",5,0.65±0.14,0.05±0.02,,,,,1.21±0.38,,,
H009,"Gingelly seeds, black (Sesamum indicum)",6,0.06±0.01,0.14±0.01,,,,,,,,
H010,"Gingelly seeds, brown (Sesamum indicum)",4,0.23±0.03,0.08±0.01,,,,,,,,
H011,"Gingelly seeds, white (Sesamum indicum)",5,0.07±0.01,0.13±0.02,,,,,,,,
H012,Ground nut (Arachis hypogea),6,2.89±0.82,,2.64±0.19,,,,0.05±0.01,,,
H013,Mustard seeds (Brassica juncea),6,1.77±0.42,,,,1.04±0.15,,,,4.51±0.89,
H014,Linseeds (Linum usitatissimum),6,1.44±0.19,1.44±0.12,,,,,,,,
H015,"Niger seeds, black (Guizotia abyssinica)",4,6.49±0.33,0.55±0.03,,,,,,,,
H016,"Niger seeds, gray (Guizotia abyssinica)",5,5.40±0.45,0.30±0.06,,,,,,,,
H017,Pine seed (Pinus gerardiana),5,0.33±0.06,,,,,,,,,
H018,Pistachio nuts (Pistacla vera),6,,,,,,1.46±0.11,,0.43±0.28,,0.03±0.01
H019,Safflower seeds (Carthamus tinctorius),5,0.03±0.01,0.14±0.01,,,,0.17±0.04,0.17±0.03,,,
H020,Sunflower seeds (Helianthus annuus),5,8.29±1.69,3.81±0.87,,,,,,,,
H021,Walnut (Juglans regia),6,,,,,,,,,,
I001,"Jaggery, cane (Saccharum officinarum)",6,0.49±0.26,,,,7.76±0.93,,0.18±0.02,,,
I002,"Sugarcane, juice (Saccharum officinarum)",6,,0.31±0.08,,,,,,,,
J001 ,"Button mushroom, fresh (Agaricus sp.) ",1,,,,,,,,,,
J002,"Chicken mushroom, fresh (Lactiporus sp.)",1,,,,,,,,,,
J003,"Shiitake mushroom, fresh (Lentinula sp.)",1,,,,,,,,,,
J004,"Oyster mushroom, dried (Pleurotus sp.)",1,,,,,,,,,,
K001,Toddy,10,,0.03±0.01,,,,,,,,
K002,Coconut Water,6,0.43±0.15,,,,,,,,0.13±0.02,
L001 ,"Milk, whole, Buffalo ",6,,,,,,,,,,
L002,"Milk, whole, Cow",6,,,,,,,,,,
L003,Paneer,6,,,,,,,,,,
L004,Khoa,6,,,,,,,,,,
