code,name,regn,retol,ergcal,chocal,doh25,tocpha,tocphb,tocphg,tocphd,toctra,toctrb,toctrg,toctrd,vite,vitk1,vitk2
A001,"Amaranth seed, black (Amaranthus cruentus)",1,,58.67,,,0.05,0.28,0.04,,,,,,0.17,1.80,
A002,"Amaranth seed, pale brown (Amaranthus cruentus)",6,,53.98±3.38,,,0.06±0.00,0.22±0.10,0.03±0.01,,,,,,0.15±0.03,2.50±0.87,
A003,Bajra (Pennisetum typhoideum),6,,5.65±0.27,,,0.10±0.01,,1.42±0.20,,,,,,0.24±0.02,2.85±0.63,
A004,Barley (Hordeum vulgare),6,,,,,0.01±0.01,,,,,,,,0.01±0.01,1.85±0.79,
A005,Jowar (Sorghum vulgare),6,,3.96±0.30,,,0.04±0.01,,0.27±0.03,,,,,,0.06±0.01,43.82±4.84,
A006,"Maize, dry (Zea mays)",6,,33.60±2.82,,,0.21±0.04,,1.29±0.17,0.38±0.05,0.05±0.00,,,,0.36±0.03,2.50±0.76,
A007,"Maize, tender, local (Zea mays)",6,,42.34±4.28,,,0.05±0.01,,0.40±0.03,0.03±0.01,,,,,0.09±0.01,2.00±0.13,
A008,"Maize, tender, sweet (Zea mays)",4,,16.94±2.13,,,0.07±0.00,,0.30±0.06,0.03±0.01,,,,,0.10±0.01,1.80±0.32,
A009,Quinoa (Chenopodium quinoa),1,,,,,2.08,0.06,2.85,,,,,,2.08,2.00,
A010,Ragi (Eleusine coracana),5,,41.46±3.12,,,0.09±0.01,,0.66±0.06,,,,,,0.16±0.01,3.00±0.44,
A011,Rice flakes (Oryza sativa),6,,,,,0.05±0.01,,,,,,,,0.05±0.01,1.00±0.53,
A012,Rice puffed (Oryza sativa ),6,,,,,0.04±0.01,,,,,,,,0.04±0.01,1.00±0.42,
A013,"Rice, raw, brown (Oryza sativa )",6,,,,,0.62±0.08,0.05±0.02,0.42±0.57,,0.03±0.02,,0.05±0.02,0.02±0.01,0.69±0.12,2.00±0.83,
A014,"Rice, parboiled, milled (Oryza sativa)",6,,,,,0.06±0.04,,0.13±0.12,,0.05±0.02,,,,0.09±0.04,1.50±0.50,
A015,"Rice, raw, milled (Oryza sativa)",6,,,,,0.04±0.03,,0.06±0.02,,0.03±0.02,,0.05±0.02,,0.06±0.03,1.50±0.40,
A016,Samai (Panicum miliare),6,,3.75±0.80,,,0.28±0.14,0.67±0.40,,,,,0.28±0.09,,0.55±0.16,4.47±0.38,
A017,Varagu (Setaria italica),5,,,,,0.03±0.01,,0.43±0.12,,,,0.19±0.05,,0.07±0.02,3.75±0.63,
A018,"Wheat flour, refined (Triticum aestivum)",6,,6.73±0.96,,,0.05±0.01,,,,0.02±0.01,,,,0.05±0.01,1.00±0.46,
A019,"Wheat flour, atta (Triticum aestivum)",6,,13.43±1.77,,,0.21±0.09,0.06±0.01,,,0.06±0.03,,,,0.26±0.09,1.50±0.47,
A020,"Wheat, whole (Triticum aestivum)",6,,17.49±3.51,,,0.60±0.33,0.37±0.12,,,0.07±0.03,,,,0.77±0.35,1.75±0.26,
A021,"Wheat, bulgur (Triticum aestivum)",6,,6.27±0.31,,,0.20±0.01,,,,0.05±0.02,,,,0.21±0.01,1.50±0.41,
A022,"Wheat, semolina (Triticum aestivum)",6,,8.19±0.81,,,0.16±0.02,0.07±0.02,,,0.05±0.03,,,,0.20±0.01,1.20±0.48,
A023,"Wheat, vermicelli (Triticum aestivum)",6,,4.06±0.35,,,0.03±0.01,,,,0.03±0.02,,,,0.03±0.01,1.00±0.51,
A024,"Wheat, vermicelli, roasted (Triticum aestivum)",6,,3.21±0.21,,,0.01±0.01,,,,0.02±0.01,,,,0.01±0.01,1.00±0.52,
B001,"Bengal gram, dal (Cicer arietinum)",6,,1.75±0.17,,,0.08±0.01,,1.13±0.10,0.03±0.01,,,,,0.19±0.01,1.50±0.62,
B002,"Bengal gram, whole (Cicer arietinum)",6,,1.93±0.17,,,1.59±0.07,,1.33±0.17,0.08±0.01,,,,,1.72±0.07,2.10±0.71,
B003,"Black gram, dal (Phaseolus mungo)",6,,8.42±0.19,,,0.04±0.01,,1.29±0.12,0.05±0.01,,,,,0.17±0.02,8.30±1.51,
B004,"Black gram, whole (Phaseolus mungo)",6,,16.84±2.79,,,0.09±0.02,,1.35±0.10,0.08±0.01,,,,,0.23±0.02,10.80±0.92,
B005,"Cowpea, brown (Vigna catjang)",6,,0.92±0.02,,,0.33±0.02,,3.50±0.21,2.44±0.22,,,,,0.70±0.03,1.75±0.14,
B006,"Cowpea, white (Vigna catjang)",1,,0.93,,,0.32,,3.06,2.70,,,,,0.65,1.70,
B007,"Field bean, black (Phaseolus vulgaris)",1,,4.35,,,0.24,,2.69,0.07,,,,,0.51,21.50,
B008,"Field bean, brown (Phaseolus vulgaris)",1,,4.24,,,0.25,,2.74,0.06,,,,,0.53,20.70,
B009,"Field bean, white (Phaseolus vulgaris)",5,,4.26±0.10,,,0.25±0.02,,2.65±0.59,0.07±0.00,,,,,0.52±0.06,22.65±1.15,
B010,"Green gram, dal (Phaseolus aureus)",6,,2.05±0.08,,,0.06±0.01,,1.66±0.15,,,,,,0.23±0.02,8.30±0.85,
B011,"Green gram, whole (Phaseolus aureus)",6,,3.15±0.33,,,0.13±0.02,,2.08±0.22,,,,,0.26±0.04,0.33±0.02,12.63±1.23,
B012,"Horse gram, whole (Dolicus biflorus)",6,,1.80±0.06,,,0.06±0.01,,2.06±0.16,,,,,,0.27±0.02,10.24±1.40,
B013,Lentil dal (Lens culinaris),6,,1.31±0.12,,,0.02±0.01,,1.37±0.11,0.23±0.05,,,,,0.16±0.01,3.75±0.79,
B014,"Lentil whole, brown (Lens culinaris)",6,,14.52±1.68,,,0.03±0.00,,1.64±0.18,0.30±0.03,,,,,0.19±0.02,7.27±0.69,
B015,"Lentil whole, yellowish (Lens culinaris)",2,,17.68,,,0.03,,1.58,0.30,,,,,0.19,5.25,
B016,Moth bean (Vigna aconitifolia),6,,9.77±0.17,,,0.29±0.02,,5.04±0.44,0.26±0.02,,,,,0.79±0.05,22.75±1.22,
B017,"Peas, dry (Pisum sativum)",6,,15.21±0.77,,,0.07±0.01,,2.50±0.24,,,,,,0.32±0.02,11.45±1.24,
B018,"Rajmah, black (Phaseolus vulgaris)",2,,27.98,,,0.05,,1.62,,,,,,0.21,5.05,
B019,"Rajmah, brown (Phaseolus vulgaris)",6,,25.82±3.22,,,0.08±0.02,,1.58±0.13,,,,,,0.23±0.03,5.50±0.85,
B020,"Rajmah, red (Phaseolus vulgaris)",3,,26.73±3.93,,,0.07±0.02,,1.56±0.13,,,,,,0.23±0.01,4.90±0.85,
B021,"Red gram, dal (Cajanus cajan)",6,,2.12±0.08,,,0.13±0.02,,0.63±0.09,0.06±0.01,,,,,0.19±0.02,42.25±7.70,
B022,"Red gram, whole (Cajanus cajan)",6,,2.78±0.05,,,0.65±0.07,,1.53±0.31,0.11±0.02,,,,,0.80±0.06,91.83±7.96,
B023,Ricebean (Vigna umbellata ),1,,8.26,,,0.90,,1.43,,0.05,,0.18,,1.06,21.85,
B024,"Soya bean, brown (Glycine max)",6,,66.22±5.10,,,1.04±0.04,,2.28±0.18,0.58±0.10,0.05±0.01,,,,1.29±0.04,45.80±8.48,
B025,"Soya bean, white (Glycine max)",1,,69.81,,,1.06,,2.50,0.30,0.04,,,,1.33,46.20,
C001,Agathi leaves (Sesbania grandiflora),1,,4.02,,,1.48,0.22,0.18,,0.60,,0.18,,1.77,269,
C002,"Amaranth leaves, green (Amaranthus gangeticus)",6,,16.01±2.74,,,0.41±0.05,,0.26±0.10,,,,,,0.44±0.05,280±15.0,
C003,"Amaranth leaves, red mix (Amaranthus gangeticus)",1,,15.10,,,0.44,,0.21,,,,,,0.46,312,
C004,"Amaranth leaves, red and green mix (Amaranthus gangeticus)",4,,15.25±1.37,,,0.42±0.10,,0.25±0.05,,,,,,0.45±0.10,284±9.4,
C005,"Amaranth spinosus, leaves, green mix (Amaranthus spinosus)",4,,15.23±0.28,,,0.28±0.02,,0.03±0.01,,,,,,0.28±0.02,443±3.6,
C006,"Amaranth spinosus, leaves, red and green (Amaranthus spinosus)",2,,15.04,,,0.28,,0.04,,,,,,0.28,448,
C007,Basella leaves (Basella alba),2,,9.18,,,0.15,,0.04,,0.03,,,,0.16,236,
C008,Bathua leaves (Chenopodium album),2,,1.01,,,0.25,,,,,,,,0.25,224,
C009,Beet greens (Beta vulgaris),6,,1.65±0.52,,,0.15±0.03,0.17±0.05,,,,,,,0.21±0.03,69.45±5.24,
C010,"Betel leaves, big (kolkata) (Piper betle)",6,,3.78±0.40,,,0.04±0.01,,0.05±0.01,,0.02±0.01,,,,0.05±0.01,207±10.9,
C011,"Betel leaves, small (Piper betle)",4,,2.27±0.25,,,0.02±0.01,,0.05±0.00,,0.02±0.00,,,,0.03±0.01,204±4.9,
C012,Brussels sprouts (Brassica oleracea var. gemmifera),1,,0.26,,,0.21,,,,,,,,0.21,23.60,
C013,"Cabbage, Chinese (Brassica rupa)",1,,0.39,,,0.25,,,,,,,,0.25,111,
C014,"Cabbage, collard greens (Brassica oleracea var. viridis)",1,,0.18,,,0.20,,,,,,,,0.20,125,
C015,"Cabbage, green (Brassica oleracea var. capitata f. alba)",6,,0.21±0.02,,,0.05±0.03,,,,,,,,0.05±0.03,113±0.5,
C016,"Cabbage, violet (Brassica oleracea var. capitata f. rubra)",2,,0.19,,,0.03,,,,,,,,0.03,117,
C017,Cauliflower leaves (Brassica oleracea var. botrytis),6,,4.15±0.46,,,0.08±0.03,,,0.11±0.02,,,,,0.08±0.03,144±29.6,
C018,"Colocasia leaves, green (Colocasia anti-quorum)",6,,1.70±0.31,,,0.07±0.01,,,,,,,,0.07±0.01,318±37.3,
C019,Drumstick leaves (Moringa oleifera),3,,14.33±0.19,,,0.30±0.01,,0.05±0.01,,0.02±0.01,,,,0.31±0.01,479±26.6,
C020,Fenugreek leaves (Trigonella foenum graecum),5,,2.36±0.30,,,0.36±0.14,,,,,,,,0.36±0.14,428±32.3,
C021,Garden cress (Lepidium sativum),2,,0.55,,,0.74,,,,,,,,0.74,458,
C022,"Gogu leaves, green (Hibiscus cannabinus)",4,,4.28±0.14,,,0.46±0.16,,0.43±0.17,,,,,,0.50±0.15,433±1.6,
C023,"Gogu leaves, red (Hibiscus cannabinus)",1,,4.27,,,0.47,,0.32,,,,,,0.50,438,
C024,"Knol-Khol, leaves (Brassica oleracea var. gongylodes)",2,,0.59,,,0.53,,,,,,,,0.53,295,
C025,Lettuce (Lactuca sativa),3,,0.10±0.04,,,0.01±0.01,,,,,,,,0.01±0.01,91.08±2.20,
C026,Mustard leaves (Brassica juncea),3,,5.40±0.33,,,0.56±0.06,,0.02±0.00,,,,,,0.57±0.06,192±4.1,
C027,Pak Choi leaves (Brassica rapa var. Chinensis),1,,0.10,,,0.03,,,,,,,,0.03,39.85,
C028,Parsley (Petroselinum crispum),3,,5.55±0.18,,,0.35±0.05,,,,,,,,0.35±0.05,322±3.3,
C029,Ponnaganni (Alternanthera sessilis),2,,0.65,,,0.52,0.02,,,0.04,,,,0.54,574,
C030,"Pumpkin leaves, tender (Cucurbita maxima)",6,,3.19±0.18,,,1.24±0.04,0.28±0.01,3.25±0.10,,0.02±0.01,0.03±0.01,,,1.69±0.05,243±11.1,
C031,Radish leaves (Raphanus sativus),6,,1.39±0.08,,,0.06±0.02,0.04±0.03,,,,,,,0.08±0.03,185±3.3,
C032,Rumex leaves (Rumex patientia),2,,0.10,,,0.46,0.03,0.45,0.18,,,,,0.51,126,
C033,Spinach (Spinacia oleracea),6,,0.26±0.03,,,1.27±0.03,0.01±0.01,0.06±0.00,0.03±0.00,,,,,1.29±0.02,325±2.3,
C034,"Tamarind leaves, tender (Tamarindus indica)",3,,2.62±0.00,,,0.69±0.03,,1.18±0.25,,,,,,0.81±0.01,249±6.6,
D001,Ash gourd (Benincasa hispida),6,,1.35±0.18,,,0.01±0.00,,0.13±0.02,,,,,,0.02±0.01,27.15±0.45,
D002,"Bamboo shoot, tender (Bambusa vulgaris)",1,,0.41,,,,,0.01,0.05,,,,,,1.13,
D003,"Bean scarlet, tender (Phaseolus coccineus)",5,,1.40±0.17,,,0.15±0.03,,,,,,,,0.15±0.03,60.10±3.36,
D004,"Bitter gourd, jagged, teeth ridges, elongate (Momordica charantia)",6,,1.92±0.28,,,0.01±0.01,0.03±0.01,,,,0.11±0.01,,0.07±0.03,0.03±0.01,4.55±0.36,
D005,"Bitter gourd, jagged, teeth ridges, short (Momordica charantia)",4,,1.90±0.15,,,0.01±0.00,0.04±0.01,,,,0.11±0.02,,0.08±0.03,0.03±0.00,4.85±0.35,
D006,"Bitter gourd, jagged, smooth ridges, elongate (Momordica charantia)",1,,1.83,,,0.01,0.03,,,,0.09,,0.10,0.03,4.70,
D007,"Bottle gourd, elongate, pale green (Lagenaria vulgaris)",6,,0.74±0.02,,,0.01±0.01,,,,0.02±0.01,,,,0.02±0.01,2.10±0.23,
D008,"Bottle gourd, round, pale green (Lagenaria vulgaris)",5,,0.70±0.04,,,0.01±0.00,,,,0.03±0.01,,,,0.01±0.00,2.06±0.36,
D009,"Bottle gourd, elongate, dark green (Lagenaria vulgaris)",1,,0.60,,,0.01,,,,0.02,,,,0.02,1.80,
D010,Brinjal-1 (Solanum melongena),1,,0.85,,,0.08,,,,,,,,0.08,10.30,
D011,Brinjal-2 (Solanum melongena),1,,1.01,,,0.11,,,,,,,,0.11,11.45,
D012,Brinjal-3 (Solanum melongena),2,,1.19,,,0.09,,,,,,,,0.09,12.25,
D013,Brinjal-4 (Solanum melongena),4,,1.05±0.18,,,0.09±0.02,,,,,,,,0.09±0.02,12.75±0.33,
D014,Brinjal-5 (Solanum melongena),3,,1.61±0.26,,,0.10±0.02,,,,,,,,0.10±0.02,13.05±0.64,
D015,Brinjal-6 (Solanum melongena),2,,1.14,,,0.08,,,,,,,,0.08,21.45,
D016,Brinjal-7 (Solanum melongena),1,,0.84,,,0.03,,,,,,,,0.03,13.14,
D017,Brinjal-8 (Solanum melongena),3,,0.97±0.17,,,0.08±0.02,,,,,,,,0.08±0.02,13.94±2.56,
D018,Brinjal-9 (Solanum melongena),2,,1.02,,,0.09,,,,,,,,0.09,14.05,
D019,Brinjal-10 (Solanum melongena),2,,0.88,,,0.05,,,,,,,,0.05,14.25,
D020,Brinjal-11 (Solanum melongena),6,,1.01±0.24,,,0.07±0.03,,,,,,,,0.07±0.03,14.46±1.91,
D021,Brinjal-12 (Solanum melongena),2,,0.87,,,0.09,,,,,,,,0.09,14.32,
D022,Brinjal-13 (Solanum melongena),1,,1.06,,,0.07,,,,,,,,0.07,14.29,
D023,Brinjal-14 (Solanum melongena),3,,0.89±0.05,,,0.06±0.01,,,,,,,,0.06±0.01,14.58±1.77,
D024,Brinjal-15 (Solanum melongena),4,,1.12±0.22,,,0.08±0.01,,,,,,,,0.08±0.01,14.04±2.02,
D025,Brinjal-16 (Solanum melongena),1,,0.76,,,0.09,,,,,,,,0.09,13.37,
D026,Brinjal-17 (Solanum melongena),1,,1.33,,,0.07,,,,,,,,0.07,12.75,
D027,Brinjal-18 (Solanum melongena),3,,1.01±0.15,,,0.04±0.01,,,,,,,,0.04±0.01,13.67±0.92,
D028,Brinjal-19 (Solanum melongena),3,,1.06±0.46,,,0.07±0.03,,,,,,,,0.07±0.03,11.48±1.05,
D029,Brinjal-20 (Solanum melongena),5,,1.02±0.33,,,0.07±0.03,,,,,,,,0.07±0.03,10.94±1.17,
D030,Brinjal-21 (Solanum melongena),2,,0.84,,,0.08,,,,,,,,0.08,10.50,
D031,Brinjal - all varieties (Solanum melongena),6,,1.04±0.27,,,0.07±0.03,,,,,,,,0.07±0.03,13.53±2.62,
D032,Broad beans (Vicia faba),3,,11.58±1.55,,,0.05±0.04,0.02±0.01,,,,,,,0.06±0.03,93.20±0.50,
D033,"Capsicum, green (Capsicum annuum)",6,,0.70±0.21,,,0.07±0.03,,,,,,,,0.07±0.03,24.66±2.89,
D034,"Capsicum, red (Capsicum annuum)",4,,0.52±0.11,,,0.19±0.02,,,,,,,,0.19±0.02,28.42±8.83,
D035,"Capsicum, yellow (Capsicum annuum)",4,,0.89±0.18,,,0.18±0.03,,,,,,,,0.18±0.03,35.25±12.82,
D036,Cauliflower (Brassica oleracea),6,,1.32±0.16,,,0.02±0.00,,,0.09±0.01,,,,,0.02±0.00,14.33±0.34,
D037,Celery stalk (Apium graveolens),3,,1.39±0.07,,,0.03±0.03,,,0.02±0.00,0.01±0.00,,,,0.03±0.03,25.87±3.13,
D038,Cho-cho-marrow (Sechium edule),4,,5.46±0.18,,,0.01±0.01,,0.57±0.02,,0.06±0.01,,,,0.09±0.01,1.78±0.21,
D039,Cluster beans (Cyamopsis tetragonobola),6,,13.72±0.29,,,0.77±0.04,,0.31±0.04,0.04±0.00,,,0.06±0.01,,0.81±0.04,23.70±0.30,
D040,"Colocasia, stem, black (Colocasia antiquorum)",1,,0.21,,,0.06,,,,,,,,0.06,35.75,
D041,"Colocasia, stem, green (Colocasia antiquorum)",5,,0.14±0.03,,,0.09±0.03,,,,,,,,0.09±0.03,33.68±6.36,
D042,"Corn, Baby (Zea mays)",6,,31.20±3.77,,,0.13±0.02,,,,,,,,0.13±0.02,75.05±0.00,
D043,"Cucumber, green, elongate (Cucumis sativus)",6,,1.26±0.22,,,0.02±0.01,,,,,,,,0.02±0.01,8.20±1.25,
D044,"Cucumber, green, short (Cucumis sativus)",6,,1.36±0.19,,,0.02±0.01,,,,,,,,0.02±0.01,8.00±1.51,
D045,"Cucumber, orange, round (Cucumis sativus)",2,,1.59,,,0.02,,,,,,,,0.02,7.50,
D046,Drumstick (Moringa oleifera),6,,1.67±0.25,,,0.31±0.07,,,,,,,,0.31±0.07,358±3.4,
D047,"Field beans, tender, broad (Vicia faba)",2,,7.14,,,0.08,,0.25,0.06,,,0.04,,0.11,26.45,
D048,"Field beans, tender, lean (Vicia faba)",6,,7.20±0.10,,,0.08±0.01,,0.25±0.03,0.06±0.01,,,0.04±0.01,,0.10±0.01,26.35±1.83,
D049,"French beans, country (Phaseolus vulgaris)",5,,1.82±0.14,,,0.06±0.02,,0.12±0.01,0.09±0.01,,,0.03±0.00,,0.07±0.03,15.12±1.18,
D050,"French beans, hybrid (Phaseolus vulgaris)",2,,1.85,,,0.08,,0.13,0.08,,,0.08,,0.09,15.14,
D051,"Jack fruit, raw (Artocarpus heterophyllus)",5,,6.84±0.48,,,0.05±0.02,,,0.06±0.01,,0.08±0.01,,,0.05±0.02,22.30±0.71,
D052,"Jack fruit, seed, mature (Artocarpus heterophyllus)",5,,1.40±0.19,,,0.05±0.03,,,0.06±0.01,,0.07±0.01,,,0.06±0.03,13.56±0.22,
D053,Knol - Khol (Brassica oleracea),6,,0.32±0.03,,,0.01±0.01,,1.61±0.10,0.05±0.02,,,,,0.17±0.01,8.90±0.77,
D054,"Kovai, big (Coccinia cordifolia)",6,,6.25±0.20,,,0.70±0.11,,0.14±0.01,,,,,,0.72±0.11,19.15±0.40,
D055,"Kovai, small (Coccinia cordifolia)",1,,6.06,,,0.68,,0.13,,,,,,0.70,19.10,
D056,Ladies finger (Abelmoschus esculentus),6,,7.46±0.41,,,0.48±0.01,,0.12±0.00,,,,,,0.50±0.01,21.52±0.29,
D057,"Mango, green, raw (Mangifera indica)",6,,7.68±0.24,,,0.90±0.14,,0.17±0.02,,,,,,0.91±0.14,14.42±0.29,
D058,"Onion, stalk (Allium cepa)",6,,6.81±0.31,,,0.81±0.01,,,,,,,,0.81±0.01,44.33±1.52,
D059,"Papaya, raw (Carica papaya)",6,,7.80±0.65,,,0.04±0.01,,,,0.11±0.01,,,,0.07±0.01,2.45±0.28,
D060,Parwar (Trichosanthes dioica),6,,0.69±0.11,,,0.04±0.01,,,,,,,,0.04±0.01,8.37±1.48,
D061,"Peas, fresh (Pisum sativum)",6,,12.91±0.28,,,0.05±0.01,,1.59±0.10,,,,,,0.21±0.01,44.22±3.85,
D062,"Plantain, flower (Musa x paradisiaca)",6,,1.29±0.13,,,0.19±0.01,,,,,,,,0.19±0.01,3.38±0.26,
D063,"Plantain, green (Musa x paradisiaca)",6,,0.27±0.02,,,0.08±0.01,,,,,,,,0.08±0.01,17.42±1.83,
D064,"Plantain, stem (Musa x paradisiaca)",6,,0.32±0.06,,,0.02±0.01,,,,,,,,0.02±0.01,2.50±1.19,
D065,"Pumpkin, green, cylindrical (Cucurbita maxima)",1,,1.07,,,0.86,0.02,,,,,0.01,,0.87,80.80,
D066,"Pumpkin, orange, round (Cucurbita maxima)",6,,1.40±0.14,,,0.59±0.13,0.02±0.00,,,,,0.06±0.04,,0.60±0.13,83.70±1.92,
D067,"Red gram, tender, fresh (Cajanus cajan)",1,,28.96,,,0.89,,0.46,0.43,,,,,0.94,14.90,
D068,Ridge gourd (Luffa acutangula),6,,0.37±0.03,,,0.02±0.00,,,,,,0.05±0.01,,0.02±0.00,11.23±0.31,
D069,"Ridge gourd, smooth skin (Luffa acutangula)",3,,0.34±0.04,,,0.02±0.01,,,,,,0.04±0.01,,0.02±0.01,11.57±0.15,
D070,"Snake gourd, long, pale green (Trichosanthes anguina)",6,,2.67±0.31,,,0.01±0.00,,,,,,0.04±0.00,,0.01±0.00,8.35±0.28,
D071,"Snake gourd, long, dark green (Trichosanthes anguina)",2,,3.08,,,0.01,,,,,,0.05,,0.01,8.40,
D072,"Snake gourd, short (Trichosanthes anguina)",1,,3.12,,,0.01,,,,,,0.05,,0.01,8.30,
D073,"Tinda, tender (Praecitrullus fistulosus)",6,,2.76±0.09,,,0.05±0.03,,0.03±0.01,,,,,,0.05±0.03,2.73±0.77,
D074,"Tomato, green (Lycopersicon esculentum)",6,,1.10±0.22,,,0.37±0.27,,0.11±0.03,,0.04±0.01,,,,0.39±0.27,16.10±1.51,
D075,"Tomato, ripe, hybrid (Lycopersicon esculentum)",6,,11.83±1.41,,,0.14±0.03,,0.67±0.07,,0.02±0.01,,,,0.22±0.03,24.12±2.96,
D076,"Tomato, ripe, local (Lycopersicon esculentum)",6,,12.24±1.05,,,0.19±0.02,,0.75±0.05,,0.02±0.01,,,,0.27±0.02,17.18±1.73,
D077,"Zucchini, green (Cucurbita pepo)",2,,0.40,,,3.90,,0.05,,,,,,3.90,41.05,
D078,"Zucchini, yellow (Cucurbita pepo)",2,,0.38,,,1.47,,0.15,,,,,,1.48,53.28,
E001,"Apple, big (Malus domestica)",6,,1.46±0.51,,,0.15±0.04,,,,,,,,0.15±0.04,3.65±0.47,
E002,"Apple, green (Malus domestica)",6,,2.45±0.40,,,0.10±0.04,,,,,,,,0.10±0.04,2.13±0.09,
E003,"Apple, small (Malus domestica)",6,,1.86±0.19,,,0.07±0.01,,,,,,,,0.07±0.01,2.18±0.40,
E004,"Apple, small, Kashmir (Malus domestica)",1,,2.04,,,0.05,,,,,,,,0.05,2.55,
E005,"Apricot, dried (Prunus armeniaca)",6,,3.98±0.06,,,0.07±0.01,,0.07±0.02,0.29±0.04,0.09±0.01,,0.04±0.01,,0.11±0.01,5.17±1.17,
E006,"Apricot, processed (Prunus armeniaca)",3,,4.31±0.14,,,0.01±0.01,,0.01±0.01,0.07±0.00,0.01±0.00,,0.01±0.00,,0.01±0.01,6.14±0.76,
E007,Avocado fruit (Persea americana),1,,2.10,,,0.02,,,,,,,,0.02,38.74,
E008,Bael fruit (Aegle marmelos),1,,1.60,,,0.60,,,,,,,,0.60,4.50,
E009,"Banana, ripe, montham (Musa x paradisiaca)",1,,0.20,,,0.08,,0.07,,,,,,0.09,2.20,
E010,"Banana, ripe, poovam (Musa x paradisiaca)",2,,0.24,,,0.07,,0.08,,,,,,0.08,2.60,
E011,"Banana, ripe, red (Musa x paradisiaca)",1,,0.21,,,0.09,,0.06,,,,,,0.09,1.90,
E012,"Banana, ripe, robusta (Musa x paradisiaca)",6,,0.22±0.03,,,0.08±0.01,,0.05±0.01,,,,,,0.09±0.01,2.80±1.11,
E013,Black berry (Rubus fruticosus),5,,14.65±0.40,,,0.49±0.04,,,,0.07±0.02,0.05±0.01,,,0.52±0.04,1.82±0.04,
E014,"Cherries, red (Prunus cerasus)",4,,4.30±0.44,,,0.07±0.02,,,,,,,,0.06±0.04,5.56±1.10,
E015,"Currants, black (Ribes nigrum)",1,,3.01,,,0.45,,,,,,,,0.45,27.52,
E016,Custard apple (Annona squamosa),1,,0.18,,,0.19,0.01,,,,,,,0.19,58.00,
E017,"Dates, dry, pale brown (Phoenix dactylifera)",6,,2.60±0.23,,,0.02±0.00,,,,0.03±0.00,,,,0.03±0.00,3.34±0.26,
E018,"Dates, dry, dark brown (Phoenix dactylifera)",2,,0.68,,,0.01,,,,0.06,,,,0.03,4.53,
E019,"Dates, processed (Phoenix dactylifera)",2,,0.83,,,0.02,,,,0.04,,,,0.03,4.93,
E020,Fig (Ficus carica),6,,1.47±0.15,,,0.42±0.16,,1.17±0.08,,,,,,0.54±0.17,5.75±1.51,
E021,Goosberry (Emblica officinalis),5,,0.27±0.02,,,0.11±0.01,,0.01±0.00,0.06±0.01,0.05±0.01,,,,0.12±0.02,1.64±0.31,
E022,"Grapes, seeded, round, black (Vitis vinifera)",4,,6.19±0.19,,,0.05±0.02,,0.02±0.00,,,,0.01±0.00,,0.05±0.02,3.65±0.40,
E023,"Grapes, seeded, round, green (Vitis vinifera)",5,,3.59±0.15,,,0.07±0.02,,0.03±0.01,,,,0.02±0.01,,0.07±0.02,7.26±0.43,
E024,"Grapes, seeded, round, red (Vitis vinifera)",5,,6.87±0.22,,,0.07±0.02,,0.04±0.02,,,,0.01±0.00,,0.07±0.02,5.20±0.59,
E025,"Grapes, seedless, oval, black (Vitis vinifera)",5,,6.42±0.33,,,0.05±0.03,,0.04±0.03,,,,0.04±0.02,,0.05±0.03,3.40±0.66,
E026,"Grapes, seedless, round, green (Vitis vinifera)",5,,3.54±0.25,,,0.08±0.01,,0.02±0.01,,,,0.01±0.00,,0.08±0.01,7.15±0.76,
E027,"Grapes, seedless, round, black (Vitis vinifera)",5,,6.23±0.45,,,0.06±0.02,,0.04±0.01,,,,0.02±0.01,,0.06±0.02,3.00±1.16,
E028,"Guava, white flesh (Psidium guajava)",5,,1.68±0.23,,,0.06±0.01,0.02±0.01,,,0.04±0.01,,0.03±0.01,0.74±0.03,0.09±0.01,3.68±0.38,
E029,"Guava, pink flesh (Psidium guajava)",5,,0.93±0.06,,,0.07±0.02,0.03±0.01,,,0.09±0.01,,0.01±0.01,0.25±0.04,0.11±0.01,5.35±0.61,
E030,"Jack fruit, ripe (Artocarpus heterophyllus)",5,,7.49±0.25,,,0.06±0.01,,,0.06±0.01,,0.09±0.01,,,0.07±0.01,37.00±3.73,
E031,"Jambu fruit, ripe (Syzygium cumini)",2,,0.82,,,0.04,,,,,,,,0.04,7.94,
E032,Karonda fruit (Carissa carandas),1,,1.43,,,0.04,,,,,,,,0.04,2.50,
E033,"Lemon, juice (Citrus limon)",6,,0.39±0.04,,,0.06±0.01,,,,,,,,0.06±0.01,1.80±0.63,
E034,"Lime, sweet,pulp (Citrus limetta)",6,,0.30±0.09,,,0.07±0.02,,,,,,,,0.07±0.02,2.20±1.01,
E035,Litchi (Nephelium litchi),4,,0.33±0.09,,,0.06±0.01,,,,,,,,0.06±0.01,7.81±2.06,
E036,"Mango, ripe, banganapalli (Mangifera indica)",6,,3.71±0.21,,,0.26±0.06,,0.20±0.04,,,,,,0.28±0.06,4.77±0.20,
E037,"Mango, ripe, gulabkhas (Mangifera indica)",2,,3.91,,,0.19,,0.16,,,,,,0.20,4.80,
E038,"Mango, ripe, himsagar (Mangifera indica)",3,,3.73±0.11,,,0.29±0.08,,0.20±0.07,,,,,,0.31±0.09,4.40±0.26,
