code,name,regn,dhbenzac34,hbenzal3,pcathac,vanlac,gallac,cinmac,coumaco,coumacp,caffac
G031,"Pepper, black (Piper nigrum)",6,,,,4.39±0.68,,,,0.23±0.05,
G032,Poppy seeds (Papaver somniferum),6,0.40±0.03,,0.36±0.04,,,,,0.17±0.03,
G033,Turmeric powder (Curcuma domestica),6,,,,,,,,1.62±0.57,0.02±0.01
H001,Almond (Prunus amygdalus),6,,,0.43±0.14,0.36±0.02,,,,,
H002,"Arecanut, dried, brown (Areca catechu)",6,,,0.86±0.05,,0.04±0.01,,,,
H003,"Arecanut, dried, red color (Areca catechu)",3,,,0.43±0.18,,0.09±0.04,,,,
H004,"Arecanut, fresh (Areca catechu)",2,,,1.04,,0.05,,,,
H005,Cashew nut (Anacardium occidentale),6,,,,,,,,,
H006,"Coconut, kernal, dry (Cocos nucifera)",6,1.80±0.24,,,,0.77±0.15,,,0.43±0.06,0.04±0.01
H007,"Coconut, kernel, fresh (Cocos nucifera)",6,0.31±0.04,,,,0.18±0.04,,,0.26±0.06,0.02±0.01
H008,"Garden cress, seeds (Lepidium sativum)",5,,,,,,,,0.09±0.01,0.08±0.02
H009,"Gingelly seeds, black (Sesamum indicum)",6,,,0.14±0.01,1.45±0.23,,,,,
H010,"Gingelly seeds, brown (Sesamum indicum)",4,,,0.24±0.04,0.41±0.04,,,,,
H011,"Gingelly seeds, white (Sesamum indicum)",5,,,0.13±0.02,1.54±0.25,,,,,
H012,Ground nut (Arachis hypogea),6,,,,,2.60±0.26,,,0.59±0.06,0.86±0.04
H013,Mustard seeds (Brassica juncea),6,,,,,,,,1.24±0.10,0.05±0.01
H014,Linseeds (Linum usitatissimum),6,,,,,,,,,2.07±0.31
H015,"Niger seeds, black (Guizotia abyssinica)",4,0.26±0.04,,,,,,,,0.74±0.03
H016,"Niger seeds, gray (Guizotia abyssinica)",5,0.15±0.01,,,,,,,,0.63±0.03
H017,Pine seed (Pinus gerardiana),5,,,,,,,,,0.35±0.03
H018,Pistachio nuts (Pistacla vera),6,,,,,,,,,
H019,Safflower seeds (Carthamus tinctorius),5,,,,,,,,0.25±0.02,0.05±0.02
H020,Sunflower seeds (Helianthus annuus),5,,,,,,,,0.50±0.08,0.16±0.01
H021,Walnut (Juglans regia),6,0.10±0.03,,6.61±0.88,,,,,,
I001,"Jaggery, cane (Saccharum officinarum)",6,0.95±0.19,,0.50±0.44,0.18±0.17,0.63±0.29,,,0.07±0.02,0.15±0.02
I002,"Sugarcane, juice (Saccharum officinarum)",6,,,,,,,,0.61±0.07,0.55±0.25
J001 ,"Button mushroom, fresh (Agaricus sp.) ",1,,,,,,,,,
J002,"Chicken mushroom, fresh (Lactiporus sp.)",1,,,,,,,,,
J003,"Shiitake mushroom, fresh (Lentinula sp.)",1,,,,,,,,,
J004,"Oyster mushroom, dried (Pleurotus sp.)",1,,,,,,,,,
K001,Toddy,10,,,,,,,,,
K002,Coconut Water,6,0.15±0.03,,,,0.23±0.03,,,,
L001 ,"Milk, whole, Buffalo ",6,,,,,,,,,
L002,"Milk, whole, Cow",6,,,,,,,,,
L003,Paneer,6,,,,,,,,,
L004,Khoa,6,,,,,,,,,
