code,name,regn,f20d1n9f,f22d1n9,f24d1c,f18d2cn6,f20d2,f18d3n3,f20d4n6,fasat,fams,fapu
F001 ,Beet root (Beta vulgaris) ,6,,,,57.23±5.65 ,,6.98±0.71 ,,31.17±3.30 ,21.96±2.57 ,64.21±6.24
F002,"Carrot, orange (Dacus carota)",6,,,,241±10.5,,24.38±1.90,,87.71±3.56,21.01±1.26,266±12.0
F003,"Carrot, red (Dacus carota)",4,,,,246±0.3,,24.10±0.25,,88.91±1.03,18.27±0.53,270±0.3
F004,Colocasia (Colocasia antiquorum),6,,,,69.01±5.43,,8.40±0.39,,41.84±2.89,22.92±1.60,77.41±5.53
F005,Lotus root (Nelumbium nelumbo),3,,,,291±23.3,,123±8.9,,249±20.3,84.12±3.38,414±31.1
F006,"Potato, brown skin, big (Solanum tuberosum)",6,,,,97.45±6.16,,31.84±2.68,,43.56±1.88,13.82±1.65,129±8.2
F007,"Potato, brown skin, small (Solanum tuberosum)",1,,,,54.34,,73.68,,44.03,11.94,128
F008,"Potato, red skin (Solanum tuberosum)",1,,,,92.44,,28.78,,39.87,14.91,121
F009,"Radish, elongate, red skin (Raphanus sativus)",3,,,,23.71±1.6,,33.02±4.55,,42.65±3.07,7.29±0.74,56.73±5.71
F010,"Radish, elongate, white skin (Raphanus sativus)",6,,,,21.64±2.09,,32.00±1.60,,43.88±3.78,9.14±0.86,53.64±3.41
F011,"Radish, round, red skin (Raphanus sativus)",1,,,,21.18,,54.67,,46.08,6.08,75.85
F012,"Radish, round, white skin (Raphanus sativus)",2,,,,15.71,,46.49,,41.15,12.64,62.2
F013,"Sweet potato, brown skin (Ipomoes batatas)",4,,,,96.29±7.72,,19.52±0.67,,66.10±3.26,4.10±0.60,116±8.3
F014,"Sweet potato, pink skin (Ipomoes batatas)",3,,,,154±7.2,,25.92±2.35,,101±4.4,9.35±1.72,180±6.1
F015,Tapioca (Manihot esculenta),3,,,,78.47±5.88,,12.83±0.98,,59.50±2.11,9.20±0.72,91.29±6.85
F016,Water Chestnut (Eleocharis dulcis),1,2.08,1.52,,97.81,,6.16,,87.42,105,104
F017,"Yam, elephant (Amorphophallus campanulatus)",6,,,,57.08±7.02,,16.44±2.18,,35.72±3.38,6.75±0.92,73.52±8.96
F018,"Yam, ordinary (Amorphophallus campanulatus)",4,,,,56.32±3.93,,16.02±0.85,,42.63±1.24,13.04±1.03,72.34±4.73
F019,"Yam, wild (Dioscorea versicolor)",2,,,,111,,30.93,,79.51,22.66,142
G001,"Chillies, green-1 (Capsicum annum)",5,,,,384±12.5,,43.99±6.11,,126±8.3,38.19±2.86,428±14.3
G002,"Chillies, green-2 (Capsicum annum)",3,,,,391±19.6,,41.73±4.99,,131±14.9,33.39±2.72,433±24.1
G003,"Chillies, green-3 (Capsicum annum)",5,,,,372±17.4,,45.49±5.89,,133±7.3,31.74±3.10,418±15.2
G004,"Chillies, green-4 (Capsicum annum)",3,,,,364±7.9,,47.37±0.69,,148±5.9,29.25±2.42,412±7.8
G005,"Chillies, green-5 (Capsicum annum)",2,,,,342±19.8,,42.60±4.91,,109±2.8,26.97±3.30,384±23.0
G006,"Chillies, green-6 (Capsicum annum)",1,,,,329,,34.57,,121,27.57,363
G007,"Chillies, green-7 (Capsicum annum)",1,,,,303,,28.91,,102,29.66,332
G008,"Chillies, green - all varieties (Capsicum annum)",6,,,,370±26.7,,43.14±5.96,,129±14.9,32.20±4.48,413±29.5
G009,Coriander leaves (Coriandrum sativum),6,0.75±0.12,,,151±10.6,,169±20.1,,228±16.0,9.06±0.59,320±29.4
G010,Curry leaves (Murraya koenigii),6,,,,152±19.6,,417±39.3,,267±29.4,44.57±5.15,569±58.4
G011,"Garlic, big clove (Allium sativum)",6,,,,60.62±7.90,,6.28±0.63,,33.52±4.39,14.24±2.48,66.90±8.48
G012,"Garlic, small clove (Allium sativum)",3,,,,56.95±3.67,,4.86±0.88,,32.63±2.10,13.55±0.78,61.82±4.48
G013,"Garlic, single clove, Kashmir (Allium sativum)",1,,,,73.1,,9.31,,34.76,10.83,82.4
G014,"Ginger, fresh (Zinziber officinale)",6,,,,302±14.0,,78.99±9.71,,231±7.4,67.97±8.76,381±16.4
G015,Mango ginger (Curcuma amada),3,,,,256±16.8,,78.26±2.34,,177±8.3,52.26±3.28,334±14.6
G016,Mint leaves (Mentha spicata ),4,,,,65.09±4.74,,286±20.5,,125±9.7,13.23±1.01,352±25.2
G017,"Onion, big (Allium cepa)",6,,,,100±1.5,,6.63±0.54,,60.81±0.53,39.36±0.89,107±1.9
G018,"Onion, small (Allium cepa)",5,,,,66.60±4.12,,4.55±0.46,,41.01±2.60,15.83±1.73,71.16±4.41
G019,Asafoetida (Ferula assa-foetida),6,7.35±1.74,,,470±15.7,,43.79±6.93,,242±4.2,250±6.5,514±13.6
G020,"Cardamom, green (Elettaria cardamomum)",6,,,,411±9.4,,172±7.3,,624±24.3,891±68.8,583±16.1
G021,"Cardamom, black (Elettaria cardamomum)",4,,,,320±0.5,,197±5.8,,493±5.4,1083±14.3,517±5.6
G022,"Chillies, red (Capsicum annum)",6,6.75±0.23,,43.11±5.25,3081±111,,182±14.3,,1141±44.1,718±64.0,3263±101
G023,Cloves (Syzygium aromaticum),6,,,,2737±71.8,,691±36.4,,2679±52.7,605±47.7,3428±83.6
G024,Coriander seeds (Coriandrum sativum),6,40.02±2.30,,,2203±60.9,,44.01±5.39,,952±10.1,10769±134,2247±62.1
G025,Cumin seeds (Cuminum cyminum),6,,,,4269±48.2,,44.00±3.65,,619±16.3,8379±88.6,4313±47.1
G026,Fenugreek seeds (Trigonella foenum graecum),6,12.15±1.86,,,2051±23.7,,1082±13.6,,770±17.5,675±23.4,3133±35.9
G027,Mace (Myristica fragrans),6,,,,4571±233,,159±33.1,,9304±214,9302±370,4731±260
G028,Nutmeg (Myristica fragrans),6,26.66±2.85,,,299±21.9,,79.30±7.33,,3359±88.8,1637±107,379±25.5
G029,Omum (Trachyspermum ammi),6,42.03±3.51,,,5116±127,,76.71±4.77,,1112±18.0,13879±152,5193±128
G030,Pippali (Piper longum),6,,,,587±10.8,,299±9.3,,602±9.7,327±15.5,885±10.9
G031,"Pepper, black (Piper nigrum)",6,,,,818±5.8,,258±10.7,,654±24.1,463±24.8,1076±15.2
G032,Poppy seeds (Papaver somniferum),6,14.09±1.15,,,13742±91.3,,106±9.2,,2074±56.7,2353±110,13847±94.7
G033,Turmeric powder (Curcuma domestica),6,,,,1563±22.9,,377±44.9,,1634±46.8,448±83.7,1940±32.3
H001,Almond (Prunus amygdalus),6,43.69±6.16,,,13183±153,,32.04±3.78,,4358±22.4,38336±159,13215±156
H002,"Arecanut, dried, brown (Areca catechu)",6,4.87±0.65,,,396±23.1,,7.42±0.62,,2605±38.3,466±21.3,403±23.3
H003,"Arecanut, dried, red color (Areca catechu)",3,7.24±0.47,,,901±22.5,,16.78±0.07,,1674±29.9,987±16.3,918±22.5
H004,"Arecanut, fresh (Areca catechu)",2,16.44,,,506,,15.67,,3389,599,522
H005,Cashew nut (Anacardium occidentale),6,66.58±3.22,,,7427±205,,55.04±6.90,,7816±148,27907±309,7482±203
H006,"Coconut, kernal, dry (Cocos nucifera)",6,0.00±0.00,,,929±37.7,,,,43138±268,3710±133,929±37.7
H007,"Coconut, kernel, fresh (Cocos nucifera)",6,15.62±0.99,,,639±40.1,,,,28048±174,2449±59.3,639±40.1
H008,"Garden cress, seeds (Lepidium sativum)",5,2699±52.1,,211±9.3,2839±50.1,141±8.8,7484±246,,4101±69.3,8131±242,10464±234
H009,"Gingelly seeds, black (Sesamum indicum)",6,67.66±4.99,,,19123±472,,136±32.3,,6317±169,15605±437,19259±477
H010,"Gingelly seeds, brown (Sesamum indicum)",4,66.30±2.49,,,18966±202,,112±12.7,,6250±36.6,15989±279,19078±208
H011,"Gingelly seeds, white (Sesamum indicum)",5,67.54±4.43,,,18477±495,,120±14.1,,6430±189,16124±329,18597±490
H012,Ground nut (Arachis hypogea),6,376±30.0,,,11584±426,,0.00±0.00,,8144±214,18337±552,11584±426
H013,Mustard seeds (Brassica juncea),6,1838±84.9,14468±820,644±33.6,4932±112,245±39.3,3341±379,,2112±41.7,21032±503,8910±540
H014,Linseeds (Linum usitatissimum),6,36.60±1.43,,,3191±144,,12956±467,,2968±48.4,5112±303,16147±378
H015,"Niger seeds, black (Guizotia abyssinica)",4,122±11.5,,,21871±500,,64.5±3.15,,5945±88.9,9033±422,21935±499
H016,"Niger seeds, gray (Guizotia abyssinica)",5,308±42.3,,,23300±300,,265±23.6,,9737±189,4452±129,23564±289
H017,Pine seed (Pinus gerardiana),5,332±7.4,,,23874±310,140±27.5,188±10.1,,3801±123,18624±177,24202±303
H018,Pistachio nuts (Pistacla vera),6,144±2.7,,13.87±1.80,11776±277,,171±5.2,,4043±94.4,18922±207,11946±281
H019,Safflower seeds (Carthamus tinctorius),5,49.34±1.37,,36.44±2.22,18760±227,,21.90±0.73,,2548±115,3589±26.7,18781±226
H020,Sunflower seeds (Helianthus annuus),5,82.25±11.93,,,25545±308,,35.6±5.78,,6159±310,17803±471,25580±305
H021,Walnut (Juglans regia),6,108±13.5,,,36205±626,,8710±238,,5208±74.2,11316±796,44915±830
I001,"Jaggery, cane (Saccharum officinarum)",6,,,,33.10±2.09,,,,69.23±4.91,21.67±1.45,33.10±2.09
I002,"Sugarcane, juice (Saccharum officinarum)",6,,,,145±12.5,,28.34±4.27,,140±3.1,29.70±2.99,173±16.1
J001,"Button mushroom, fresh (Agaricus sp.)",1,0.34,,,263,,,,62.89,6.82,263
J002,"Chicken mushroom, fresh (Lactiporus sp.)",1,,,,111,,26.43,,59.6,3.02,137
J003,"Shiitake mushroom, fresh (Lentinula sp.)",1,0.55,,,417,63.63,,,116,12.33,480
J004,"Oyster mushroom, dried (Pleurotus sp.)",1,27.58,,,1491,301,,,422,73.96,1792
K001,Toddy,10,,,,44.90±1.71,,20.28±0.78,,30.65±0.93,34.68±0.79,65.18±2.11
K002,Coconut Water,6,,,,3.73±0.91,,,,93.49±4.64,24.11±32.54,3.73±0.91
L001,"Milk, whole, Buffalo",6,139±2.8,,,132±5.4,,34.76±2.06,21.78±0.89,4630±93.9,1919±106,200±7.8
L002,"Milk, whole, Cow",6,,,,106±2.9,,20.52±2.24,7.03±0.49,2707±29.9,1214±29.4,138±2.6
L003,Paneer,6,,,,206±69.1,,233±14.6,,8851±136,4300±202,439±59.0
L004,Khoa,6,,,,525±124,,265±76.8,,12936±221,5664±462,790±53.1
