code,name,regn,his,ile,leu,lys,met,cys,phe,thr,trp,val
M001,"Egg, poultry, whole, raw",6,4.65±0.07,2.15±0.07,7.95±0.18,8.37±0.19,6.72±0.27,9.53±0.18,6.29±0.32,6.34±0.23,1.59±0.15,5.82±0.20
M002,"Egg, poultry, white, raw",6,4.54±0.17,2.25±0.14,7.94±0.25,8.35±0.20,6.24±0.33,10.55±0.49,5.28±0.56,6.90±0.21,1.50±0.11,6.89±0.19
M003,"Egg, poultry, yolk, raw",6,5.69±0.09,2.19±0.08,7.24±0.23,8.58±0.29,6.17±0.22,9.35±0.23,7.08±0.38,6.14±0.10,1.47±0.12,5.66±0.33
M004,"Egg, poultry, whole, boiled",6,4.56±0.30,2.29±0.16,7.30±0.07,8.17±0.12,6.66±0.09,10.13±0.56,6.25±0.40,6.42±0.25,1.38±0.14,6.04±0.09
M005,"Egg, poultry, white, boiled",6,4.48±0.15,2.21±0.21,7.57±0.16,8.31±0.27,6.16±0.39,10.20±0.40,5.37±0.16,6.70±0.40,1.45±0.08,6.81±0.30
M006,"Egg, poultry, yolk, boiled",6,5.44±0.50,2.16±0.18,7.99±0.33,8.46±0.38,6.43±0.82,9.36±0.24,6.94±0.49,5.86±0.46,1.35±0.08,5.70±0.23
M007,"Egg, poultry, omlet",3,4.65±0.03,2.12±0.14,7.48±0.05,8.34±0.06,6.81±1.01,9.76±0.28,6.09±0.27,6.43±0.08,1.36±0.14,5.85±0.24
M008,"Egg, country hen, whole, raw",1,5.15,2.25,7.53,7.74,6.21,9.79,6.42,6.24,1.42,5.72
M009,"Egg, country hen, whole, boiled",1,4.52,2.28,7.95,7.81,6.87,9.58,6.39,6.42,1.35,5.97
M010,"Egg, country hen, omlet",1,4.61,2.04,7.18,7.52,5.82,10.03,5.91,6.53,1.34,5.76
M011,"Egg, duck, whole, boiled",1,4.36,1.8,7.39,8.9,6.36,10.12,5.08,6.52,1.36,6.58
M012,"Egg, duck, whole, raw",1,4.79,1.83,7.55,8.85,6.45,10.29,5.22,6.84,1.38,6.6
M013,"Egg, duck, whole, omlet",1,4.24,1.8,7.76,8.4,6.74,9.74,5.08,6.34,1.36,6.38
M014,"Egg, quial, whole, raw",1,4.86,2.4,7.11,7.96,6.18,10.79,6.03,6.5,,5.73
M015,"Egg, quial, whole, boiled",1,4.31,2.39,7.37,8.02,5.34,9.93,5.48,6.33,1.47,5.57
N001,"Chicken, poultry, leg, skinless",4,4.47±0.17,2.76±0.18,7.84±0.17,7.26±0.28,6.04±0.32,9.35±0.51,7.07±0.21,5.66±0.29,1.16±0.22,4.92±0.22
N002,"Chicken, poultry, thigh, skinless",6,4.57±0.21,2.54±0.25,7.87±0.13,8.06±0.22,6.04±0.32,9.05±0.56,7.01±0.15,5.94±0.44,1.20±0.21,4.63±0.29
N003,"Chicken, poultry, breast, skinless",5,4.87±0.22,3.57±0.11,7.89±0.34,6.34±0.42,6.31±0.37,9.16±0.45,7.23±0.23,5.66±0.23,1.20±0.21,4.97±0.23
N004,"Chicken, poultry, wing, skinless",5,4.46±0.20,2.62±0.18,8.51±0.17,7.74±0.20,6.26±0.33,9.42±0.37,6.84±0.20,5.02±0.33,1.21±0.21,4.55±0.16
N005,"Poultry, chicken, liver",1,4.82,3.2,8.2,9.93,6.12,9.33,6.59,6.3,1.52,5.82
N006,"Poultry, chicken, gizzard",1,4.3,2.61,8.82,7.67,6.22,8.56,7.97,4.59,1.83,4.48
N007,"Country hen, leg, with skin",1,4.93,2.2,7.52,9.22,6.03,9.92,7.42,5.99,1.15,4.32
N008,"Country hen, thigh, with skin",1,5.21,2.87,7.65,9.29,6.19,8.86,7.32,5.01,1.26,5.01
N009,"Country hen, breast, with skin",1,4.38,4.04,7.96,7.92,6.05,8.77,7.67,5.08,1.8,5.77
N010,"Country hen, wing, with skin",1,4.33,3.5,7.9,9.12,6.58,9.03,6.5,5.12,1.24,5.7
N011,"Duck, meat, with skin",1,5.31,3.26,7.31,8.36,6.44,9.31,7.45,5.09,1.54,5.34
N012,"Emu, meat, skinless",1,5.13,3.12,7.23,8.58,6.62,8.73,7.14,5.04,1.74,5.12
N013,"Guinea fowl, meat, with skin",1,4.64,2.66,7.35,8.49,6.58,9.08,6.79,4.98,1.65,4.7
N014,"Pigeon, meat, with skin",1,4.88,2.47,7.22,8.32,6.31,8.95,6.59,5.28,1.62,4.51
N015,"Quail, meat, skinless",1,5.11,2.98,7.2,8.65,6.79,8.9,7.01,5.14,1.74,5.03
N016,"Turkey, leg, with skin",1,5.06,2.4,6.58,8.62,6.6,8.77,6.8,5.06,1.66,4.64
N017,"Turkey, thigh, with skin",1,5.32,2.62,6.78,8.94,6.15,8.65,6.93,5.36,1.62,4.62
N018,"Turkey, breast, with skin",1,4.8,2.97,7.07,8.17,6.44,8.86,7.52,5.03,1.54,5.91
N019,"Turkey, wing, with skin",1,4.85,3.32,7.22,9.14,6.09,9.44,6.26,5.51,1.71,5.07
O001,"Goat, shoulder",6,4.71±0.15,3.33±0.48,7.66±0.33,9.00±0.38,5.66±0.62,9.26±0.68,7.29±1.42,5.12±0.28,1.34±0.10,4.71±0.24
O002,"Goat, chops",6,5.09±0.66,3.53±0.69,6.24±0.19,7.26±0.09,5.41±0.61,9.29±0.34,7.06±1.26,4.92±0.29,1.63±0.23,4.45±0.23
O003,"Goat, legs",6,5.38±0.82,3.63±0.76,6.81±0.04,8.09±0.15,5.15±0.74,9.89±0.20,7.76±1.20,4.65±0.35,1.43±0.21,4.51±0.09
O004,"Goat, brain",5,5.29±0.44,2.98±1.01,5.21±0.20,8.24±0.25,6.01±0.30,8.47±0.30,6.61±0.72,5.29±0.18,1.36±0.11,4.70±0.03
O005,"Goat, tongue",4,4.70±0.47,3.18±0.37,5.59±0.09,7.05±0.18,5.70±0.61,8.26±0.43,7.02±0.81,4.67±0.32,1.45±0.23,4.50±0.42
O006,"Goat, lungs",4,4.64±0.42,2.54±0.05,5.82±0.10,8.04±0.59,6.07±0.64,7.77±0.31,7.16±0.67,5.74±0.45,1.45±0.16,5.15±0.53
O007,"Goat, heart",5,5.38±0.21,3.08±0.76,6.35±0.18,7.04±0.07,5.59±0.34,8.15±0.36,6.25±0.50,5.43±0.51,1.31±0.12,5.08±0.62
O008,"Goat, liver",6,4.23±0.47,3.04±0.42,6.02±0.25,8.39±0.98,6.27±0.18,8.74±0.76,5.64±1.19,6.58±0.68,1.22±0.11,4.53±0.99
O009,"Goat, tripe",5,4.40±0.25,3.59±0.31,5.99±0.17,7.22±0.19,5.55±0.26,8.33±0.59,7.76±0.93,4.16±0.21,1.34±0.06,5.24±0.45
O010,"Goat, spleen",4,4.62±0.35,2.70±0.41,5.50±0.11,8.89±0.87,6.49±0.32,8.80±0.40,6.58±0.40,6.27±0.90,1.46±0.06,5.27±0.28
O011,"Goat, kidneys",4,5.23±0.18,3.41±0.39,6.46±0.19,8.48±0.46,5.52±0.22,8.43±0.22,5.74±1.03,5.69±0.21,1.50±0.11,5.44±0.43
O012,"Goat, tube (small intestine)",3,4.55±0.33,3.90±0.83,7.01±0.34,7.50±0.04,5.75±0.38,8.28±0.00,7.42±0.74,4.44±0.17,1.47±0.00,4.14±0.03
O013,"Goat, testis",2,4.59,3.88,8.31,7.09,5.99,8.38,6.44,5.25,1.28,4.36
O014,"Sheep, shoulder",5,5.23±0.78,3.73±0.65,7.68±0.28,8.05±0.15,5.36±0.29,9.61±0.32,7.87±0.87,5.22±0.36,1.42±0.12,4.82±0.07
O015,"Sheep, chops",4,5.19±0.69,3.31±0.26,7.36±0.48,7.29±0.13,5.48±0.19,9.39±0.32,6.80±0.37,4.89±0.17,1.50±0.16,4.23±0.26
O016,"Sheep, leg",5,5.54±0.86,3.88±0.84,7.07±0.25,8.26±0.16,5.33±0.34,9.52±0.55,7.78±0.72,4.89±0.12,1.47±0.17,4.58±0.07
O017,"Sheep, brain",1,5.54,2.47,5.21,8.51,6.04,8.08,6.83,5.3,1.29,4.19
O018,"Sheep, tongue",1,5.71,3.64,5.45,7.49,5.22,8.3,6.79,4.87,1.36,3.62
O019,"Sheep, lungs",2,4.56,2.58,5.02,7.78,6.63,7.27,7.43,5.41,1.36,4.53
O020,"Sheep, heart",1,5.93,3.18,6.77,7.86,5.56,7.65,6.45,5.45,1.4,4.86
O021,"Sheep, liver",4,4.39±0.30,2.83±0.27,6.20±0.06,7.79±0.34,5.12±0.71,8.22±0.80,5.66±0.99,5.52±0.39,1.19±0.28,4.68±0.20
O022,"Sheep, tripe",2,4.72,3.44,5.78,7.05,5.33,8.65,7.17,3.86,1.46,6.05
O023,"Sheep, spleen",1,5.05,2.89,5.9,8.91,7.04,8.83,6.55,6.94,1.38,5.5
O024,"Sheep, kidneys",2,5.08,3.78,6.34,7.69,5.04,8.82,5.61,4.89,1.59,5.11
O025,"Beef, shoulder",6,5.09±0.52,3.85±0.44,7.57±0.11,8.29±0.09,5.36±0.36,9.06±0.29,7.48±0.88,5.35±0.38,0.94±0.22,4.91±0.34
O026,"Beef, chops",4,5.51±0.47,3.82±0.38,5.67±0.09,8.26±0.62,5.37±0.45,9.40±0.72,6.51±0.88,5.32±0.52,1.17±0.18,5.32±0.55
O027,"Beef, round (leg)",6,5.07±0.36,3.67±0.50,6.43±0.16,8.09±0.22,5.41±0.17,9.85±0.31,7.00±0.85,5.10±0.13,1.42±0.16,4.67±0.18
O028,"Beef, brain",4,5.35±0.53,2.74±0.02,5.48±0.21,8.42±0.46,5.64±0.50,8.08±0.25,6.29±0.53,5.43±0.62,1.39±0.02,4.70±0.07
O029,"Beef, tongue",4,4.99±0.45,3.22±0.21,5.55±0.11,7.98±0.47,5.49±0.14,8.23±0.50,6.77±0.88,5.20±0.59,1.20±0.18,4.59±0.55
O030,"Beef, lungs",3,4.51±0.47,3.46±0.28,5.37±0.14,8.13±0.26,6.12±0.47,7.08±0.19,6.21±1.62,5.92±0.18,1.47±0.14,5.20±0.59
O031,"Beef, heart",5,5.84±0.46,2.54±0.50,6.41±0.05,7.77±0.48,5.53±0.54,8.00±0.55,7.29±0.08,4.99±0.57,1.44±0.13,6.01±0.20
O032,"Beef, liver",6,4.83±0.23,2.92±0.13,6.53±0.18,8.53±0.57,5.54±0.29,8.48±0.25,5.94±0.31,5.90±0.55,1.17±0.12,5.02±0.59
O033,"Beef, tripe",5,4.38±0.07,3.30±0.14,5.28±0.06,7.11±0.18,6.07±0.38,8.39±0.68,7.06±0.20,4.75±0.20,1.48±0.16,5.58±0.07
O034,"Beef, spleen",6,4.82±0.34,3.19±0.35,5.50±0.19,8.38±0.39,5.71±0.58,7.73±0.41,6.12±0.55,5.83±0.51,1.49±0.14,5.05±0.56
O035,"Beef, kidneys",3,5.27±0.38,3.33±0.27,6.85±0.18,8.08±0.21,5.40±0.44,7.95±0.18,6.21±0.18,5.14±0.63,1.32±0.04,5.22±0.60
O036,"Calf, shoulder",2,4.82,3.6,5.58,7.73,5.4,9.49,5.35,4.71,1.14,3.87
O037,"Calf, chops",2,5.22,3.76,5.61,8.23,5.69,10.47,5.78,5.28,1.3,4.47
O038,"Calf, round (leg)",2,5.12,5.1,6.49,8.32,5.99,9.45,6.66,5.45,1.25,4.36
O039,"Calf, brain",2,5.98,2.33,5.56,9.19,5.67,8.18,5.22,5.17,1.4,4.25
O040,"Calf, tongue",2,4.89,2.7,5.54,7.77,6.86,8.45,6.39,4.76,1.54,4.37
O041,"Calf, heart",1,5.25,2.69,6.43,8.11,4.98,7.97,6.83,5,1.41,5.38
O042,"Calf, liver",1,4.33,2.36,6.13,8.76,5.51,8.61,5.55,6.13,1.43,4.98
O043,"Calf, spleen",1,4.76,3.15,5.66,9.51,6.96,8.25,5.32,6.84,1.47,5.19
O044,"Calf, kidneys",2,5.49,3.77,6.39,8.27,5.92,8.2,6.15,5.53,1.21,5.38
O045,"Mithun, shoulder",1,4.72,4.08,7.78,7.48,6.01,9.54,7.44,5.01,1.28,4.47
O046,"Mithun, chops",1,5.21,3.35,6.92,7.87,5.37,9.71,7.73,4.65,1.28,4.76
O047,"Mithun, round (leg)",1,5.08,3.77,6.49,7.87,5.5,9.57,7.34,4.93,1.33,3.94
O048,"Pork, shoulder",6,4.83±0.29,3.86±0.46,5.50±0.13,8.39±0.12,5.32±0.44,9.17±0.24,6.51±0.58,4.39±0.43,1.32±0.11,4.41±0.29
O049,"Pork, chops",6,4.42±0.25,4.08±0.72,5.97±1.11,7.77±0.04,6.74±0.05,9.73±0.21,7.30±1.49,4.63±0.23,1.31±0.08,4.37±0.67
O050,"Pork, ham",6,4.91±0.38,4.47±0.22,6.49±0.14,8.27±0.26,5.32±0.44,9.38±0.25,7.62±0.58,4.56±0.34,1.47±0.11,5.09±0.25
O051,"Pork, lungs",4,4.34±0.20,3.02±0.35,5.50±0.12,8.00±0.55,6.76±0.31,8.22±0.62,6.50±0.88,6.16±0.48,1.37±0.18,3.92±0.62
O052,"Pork, heart",4,5.09±0.49,3.11±0.08,6.57±0.24,8.73±0.35,5.76±0.35,8.65±0.46,6.20±1.89,5.69±0.36,1.55±0.04,5.58±0.12
O053,"Pork, liver",5,4.73±0.45,3.07±0.47,6.71±0.21,8.64±0.35,5.26±0.51,8.60±0.20,6.12±0.70,6.07±0.18,1.24±0.15,4.73±0.57
O054,"Pork, stomach",1,5.27,3.13,6.66,6.44,5.55,8.96,8.82,5.04,1.46,5.47
O055,"Pork, spleen",3,4.36±0.08,3.06±0.02,7.53±0.34,8.61±0.47,6.30±0.42,8.61±0.68,6.77±0.44,5.84±0.16,1.28±0.28,4.26±0.07
O056,"Pork, kidneys",5,5.15±0.61,3.67±0.49,7.76±0.07,8.12±0.11,5.55±0.56,8.87±0.51,5.86±0.32,6.11±0.64,1.26±0.10,4.96±0.21
O057,"Pork, tube (small intestine)",1,4.98,4.08,7.74,7.93,6.7,8.07,7.99,4.73,1.27,3.5
O058,"Hare, shoulder",1,4.64,2.57,7.76,9.13,7.07,8.41,6.81,5.04,1.49,5.01
O059,"Hare, chops",1,4.98,2.64,7.46,9.08,6.82,8.8,6.48,5.86,1.64,4.88
O060,"Hare, leg",1,4.83,2.72,7.73,9,6.47,8.93,6.45,5.08,1.82,4.94
O061,"Rabbit, shoulder",1,5.04,2.86,7.23,8.34,6.63,8.65,6.59,5.1,1.65,5.31
O062,"Rabbit, chops",1,5.11,2.97,7.51,8.84,6.74,8.61,6.52,5.1,1.46,4.93
O063,"Rabbit, leg",1,4.86,2.95,7.21,9.17,6.94,8.48,6.71,5.08,1.52,5.09
P001,Allathi (Elops machnata),1,5.23,4.76,7.8,6.63,3.26,1.42,5.49,5.13,1.18,5.26
P002,Aluva (Parastromateus niger),3,3.72±0.23,4.57±0.40,8.65±0.35,5.91±0.96,2.28±0.30,1.42±0.39,6.43±0.42,5.57±0.74,0.99±0.02,5.74±0.25
P003,Anchovy (Stolephorus indicus),2,3.65,4.59,7.72,5.67,3.28,1.82,4.61,5.55,0.81,5.49
P004,Ari fish (Aprion virescens),1,4.71,4.56,8.23,6.3,2.64,2.14,4.55,5.49,1.23,5.11
P005,Betki (Lates calcarifer),1,4.54,4.62,6.98,7.6,3.15,1.95,5.79,5.19,0.81,5.33
P006,Black snapper (Macolor niger),1,4.94,4.93,7.97,5.84,3.12,2.01,5.33,4.64,0.79,5.43
P007,Bombay duck (Harpadon nehereus),2,4.6,4.49,7.47,7.17,3.44,1.74,5.37,4.51,1.25,5.34
P008,Bommuralu (Muraenesox cinerius),3,3.74±0.09,4.75±0.46,8.59±0.25,5.07±0.45,2.57±0.13,1.48±0.14,6.19±0.37,5.58±0.11,1.19±0.07,5.35±0.45
P009,Cat fish (Tachysurus thalassinus),1,2.06,5.04,8.35,6.13,2.12,1.42,4.4,4.83,0.55,5.59
P010,Chakla (Rachycentron canadum),5,3.61±0.32,4.62±0.17,7.59±0.29,6.26±0.44,2.52±0.21,1.83±0.32,5.63±0.28,5.15±0.46,1.02±0.12,5.28±0.16
P011,Chappal (Aluterus monoceros ),1,3.04,4.82,8.35,5.47,4.1,1.91,4.72,5.76,1.18,5.75
P012,Chelu (Elagatis bipinnulata),2,2.96,4.7,7.41,6.31,4.15,1.58,4.37,5.82,1.13,5.63
P013,Chembali (Lutjanus quinquelineatus),1,3.19,4.6,7.72,8.03,4.3,1.45,4.93,5.29,1.01,5.26
P014,Eri meen (Pristipomoides filamentosus),1,3.89,4.86,8.19,6.92,3.19,1.67,5.95,5.25,1.11,5.39
P015,Gobro (Epinephelus diacanthus),2,2.87,4.59,7.92,7.51,3.54,1.98,4.52,5.53,1.15,5.23
P016,Guitar fish (Rhinobatus prahli),1,2.35,4.89,8.37,6.92,3.07,1.33,4.26,4.96,1.04,5.22
P017,Hilsa (Tenualosa ilisha),2,4.32,3.79,8.14,7.45,3.68,1.43,5.17,5.48,1.88,5.35
P018,Jallal (Arius sp.),1,3.5,4.78,7.85,6.03,3.97,2.27,5.02,5.8,1.08,5.41
P019,Jathi vela meen (Lethrinus lentjan),2,3.58,4.63,8.25,6.72,3.79,1.75,4.4,4.75,1,5.7
P020,Kadal bral (Synodus indicus),1,3.2,4.38,7.43,6.52,3.46,2.01,3.82,5.39,0.81,5.22
P021,Kadali (Nemipterus mesoprion),1,3.63,4.71,8.01,7.43,2.33,1.21,5.77,5.48,1.11,5.24
P022,Kalamaara (Leptomelanosoma indicum),2,2.76,4.52,8.63,6.04,3.05,1.76,6.29,5.5,1.1,5.06
P023,Kalava (Epinephelus coioides),1,3.81,4.82,8,6.04,3.5,1.72,5.61,5.1,1.28,5.19
P024,Kanamayya (Lutjanus rivulatus),2,2,4.95,7.78,5.62,2.87,1.61,5.36,6.11,0.98,5.64
P025,Kannadi paarai (Alectis indicus),3,4.13±0.64,4.47±0.02,7.68±0.36,6.11±0.42,2.89±0.11,1.66±0.34,5.61±0.09,5.57±0.24,1.10±0.06,5.29±0.06
P026,Karimeen (Etroplus suratensis),1,2.3,4.59,8.06,6.5,3.61,1.7,4.03,5.11,0.78,5.24
P027,Karnagawala (Anchoa hepsetus),1,2.85,5.06,8.51,5.43,3.66,2.54,4.68,6.8,0.91,5.83
P028,Kayrai (Thunnus albacores),2,2.27,4.6,8.27,6.76,2.46,1.52,5.13,5.19,1.1,5.72
P029,Kiriyan (Atule mate),1,3.07,4.54,7.39,6.3,4.14,2.34,5.09,5.37,1.24,5.59
P030,Kite fish (Mobula kuhlii),1,3.07,4.67,8.18,5.8,3.1,1.31,4.97,5.66,1.56,4.98
P031,Korka (Terapon jarbua),1,3.43,4.47,7.4,5.49,3.34,2.38,3.6,5.56,1.09,5.18
P032,Kulam paarai (Carangoides fulvoguttatus),1,1.74,4.91,8.39,5.95,2.49,1.56,5.17,6.36,1.15,6.03
P033,Maagaa (Polynemus plebeius),1,3.07,4.75,8.15,7.24,3.25,1.43,5.18,5.17,1.14,5.29
P034,Mackerel (Rastrelliger kanagurta),3,3.63±0.31,4.64±0.16,7.91±0.35,6.39±0.19,2.56±0.23,1.68±0.36,5.25±0.29,5.71±0.39,1.00±0.06,5.47±0.19
P035,Manda clathi (Naso reticulatus),1,2.98,4.7,8.74,6.05,3.32,1.94,6.09,4.8,0.81,5.16
P036,Matha (Acanthurus mata),2,4.02,5.11,8.65,5.18,3.54,2.03,5.94,5.68,1.25,5.74
P037,Milk fish (Chanos chanos),1,3.1,5.15,8.3,7.36,3.3,1.86,5.2,5.87,0.9,6.12
P038,Moon fish (Mene maculata),1,4.94,4.89,8.27,5.84,3.12,2.01,4.73,4.64,1.22,5.54
P039,Mullet (Mugil cephalus),3,3.35±0.30,4.66±0.04,7.91±0.13,6.41±0.60,2.96±0.20,1.39±0.10,5.44±0.13,5.92±0.39,0.93±0.06,5.32±0.10
P040,Mural (Tylosurus crocodilus crocodilus),1,4.77,4.86,8.44,5.5,3.95,1.57,5.56,5.21,0.8,5.46
P041,Myil meen (Istiophorus platypterus),2,2.95,4.78,7.94,7.21,2.03,1.94,4.48,5.34,0.9,5.94
P042,Nalla bontha (Epinephelus sp.),1,3.51,4,7.31,6.27,3.08,2.05,4.01,6.62,1.12,4.91
P043,Narba (Caranx sexfasciatus),2,5.32,4.44,7.58,6.54,3.88,1.92,5.47,4.81,1.23,5.43
P044,Paarai (Caranx heberi),1,3.09,4.11,7.82,7.08,3.96,1.15,4.86,4.37,1.12,5.2
P045,Padayappa (Canthidermis maculata),1,2.45,4.69,7.94,6.22,3.27,1.35,3.84,5.02,1.22,5.23
P046,Pali kora (Panna microdon),1,2.9,4.64,7.74,6.85,3.94,1.33,3.78,5.9,0.86,5.15
P047,Pambada (Lepturacanthus savala),2,2.73,4.58,7.77,6.44,3.38,1.27,5.51,6.13,0.94,5.2
P048,Pandukopa (Pseudosciaena manchurica),1,4,4.89,8.37,5.28,2.63,1.1,5.71,5.29,0.9,5.94
P049,Parava (Lactarius lactarius),1,2.6,4.77,8.11,5.25,3.73,1.76,4.18,4.82,0.89,5.09
P050,Parcus (Psettodes erumei),1,3.07,4.81,8.44,6.08,3.81,2.07,5.33,5.2,0.88,5.61
P051,Parrot fish (Scarus ghobban),1,2.61,4.86,8.06,7.06,3.62,1.96,5.34,5.18,0.78,5.66
P052,Perinkilichai (Pinjalo pinjalo),1,3.16,4.93,8.49,7.18,3.2,1.35,5.08,5.18,0.87,5.53
P053,Phopat (Coryphaena hippurus),4,3.40±0.13,4.66±0.24,7.72±0.29,7.30±0.44,3.02±0.17,1.57±0.28,3.99±0.47,5.18±0.22,1.00±0.11,5.39±0.33
P054,Piranha (Pygopritis sp.),1,3.26,4.51,8.05,7.24,2.87,1.14,3.74,5.1,1.05,5.15
P055,"Pomfret, black (Parastromateus niger)",2,4.36,4.77,8.11,5.52,2.42,1.52,6.43,5.12,1.12,5.95
P056,"Pomfret, snub nose (Trachinotus blochii)",2,3.19,5.52,7.94,6.04,3.13,1.71,4.25,4.89,0.89,5.45
P057,"Pomfret, white (Pampus argenteus)",2,3.8,4.64,8.21,7.03,2.99,1.75,6.38,5.28,1.11,5.42
P058,Pranel (Gerres sp.),1,3,4.55,7.75,5.94,3.24,1.82,5.85,4.79,1.05,5.97
P059,Pulli paarai (Gnathanodon speciosus),1,2.94,4.88,8.31,5.75,2.75,1.63,5.11,4.42,1.21,5.7
P060,Queen fish (Scomberoides commersonianus),3,0.86±0.50,4.56±0.11,7.58±0.21,5.93±0.26,3.63±0.50,1.39±0.38,4.25±0.42,5.98±2.20,0.80±0.17,5.32±0.31
P061,Raai fish (Lobotes surinamensis),2,2.8,4.52,8.05,6.48,3.1,1.76,5.54,5.91,1.07,5.17
P062,Raai vanthu (Epinephelus chlorostigma),1,3.26,4.47,7.89,6.71,2.98,2.14,5.02,6.5,1.62,5.06
P063,Rani (Pink perch),1,4.35,4.65,8.03,7.27,2.56,1.95,5.04,5.07,1.66,5.07
P064,"Ray fish, bow head, spotted (Rhina ancylostoma)",1,3.06,4.77,7.94,6.52,2.65,1.41,5.87,5.04,0.98,4.64
P065,Red snapper (Lutjanus argentimaculatus),1,3.14,4.57,7.89,6.32,3.8,1.68,6.28,6.16,1.12,5.26
P066,"Red snapper, small (Priacanthus hamrur)",1,3.49,4.39,8.59,5.04,2.59,1.64,6.78,5.74,0.89,5.14
P067,Sadaya (Platax orbicularis ),1,3.29,4.47,8.82,5.16,2.91,1.18,6.44,5.73,1.26,5.42
P068,Salmon (Salmo salar),1,3.6,4.78,7.83,5.44,3.15,1.52,5.4,5.87,0.92,5.63
P069,Sangada (Nemipterus japonicus),1,2.39,4.6,8.71,6.72,2.21,1.09,6.34,6.32,0.96,5.19
P070,Sankata paarai (Caranx ignobilis),1,2.04,4.86,8.36,6.56,3.36,1.65,6.11,5.31,1.39,5.69
P071,Sardine (Sardinella longiceps),1,4.31,4.73,8.17,6.43,3,1.84,5.24,5.3,1.57,5.18
P072,Shark (Carcharhinus sorrah),2,3.58,5.05,7.41,5.73,4.31,2.46,3.81,5.65,0.85,5.52
P073,"Shark, hammer head (Sphyrna mokarran)",1,4.13,3.75,8.2,7.99,4.51,1.27,5.19,3.88,0.65,4.97
P074,"Shark, spotted (Stegostoma fasciatum)",1,3.69,5.22,8.44,4.47,3.38,0.92,4.04,5.38,0.96,5.49
P075,Shelavu (Sphyraena jello),4,2.76±0.31,4.66±0.27,8.18±0.46,6.33±0.41,3.37±0.53,1.35±0.29,5.56±0.74,5.06±0.18,1.08±0.28,5.46±0.16
P076,Silan (Silonia silondia),1,1.55,4.71,7.92,6.17,3.61,1.58,4.04,5.38,0.96,5.49
P077,Silk fish (Beryx sp.),1,3.39,4.36,7.84,6.34,3.22,1.47,3.98,4.93,1.22,5.02
P078,Silver carp (Hypophthalmichthys molitrix),1,4.51,4.75,7.24,6.11,4.24,1.41,5.32,4.69,1.17,4.77
P079,Sole fish (Cynoglossus arel),1,2.53,4.56,8.08,5.35,4.48,2.43,6.71,5.42,0.97,5.18
P080,Stingray (Dasyatis pastinaca),1,4.54,3.56,6.37,5.66,2.86,1.88,5.12,4.71,0.92,5.58
P081,Tarlava (Drepane punctata),2,4.06,4.72,8.11,6.14,2.13,1.58,5.08,4.9,0.82,5.38
P082,Tholam (Plectorhinchus schotaf),2,3.17,4.66,8.42,6.37,2.79,1.78,4.79,5.11,0.95,5.51
P083,Tilapia (Oreochromis niloticus),1,4.21,5.71,7.87,7.71,3.19,1.52,6.02,5.41,0.79,5.66
P084,Tuna (Euthynnus affinis),5,3.37±0.79,4.85±0.32,8.23±0.56,5.70±0.29,3.01±0.37,1.41±0.05,5.40±0.36,6.20±0.40,0.90±0.05,5.75±0.35
P085,"Tuna, striped (Katsuwonus pelamis)",1,2.7,4.96,8.16,7.11,3.93,1.79,4.29,5.4,1.63,6.03
P086,Valava (Chirocentrus nudus),1,3.14,4.94,8.32,7.62,3.65,1.52,4.65,5.26,1.09,5.71
P087,Vanjaram (Scomberomorus commerson),2,3.82,4.93,8.29,5.21,3.51,1.76,4.19,5.05,1.05,5.76
P088,Vela meen (Aprion virescens),1,3.61,4.82,8.12,5.45,2.34,2.21,6.17,5.51,0.93,5.65
P089,Vora (Siganus javus),2,3.76,4.99,8.49,6.58,2.95,1.47,5.13,5.27,0.77,5.79
P090,Whale shark (Galeocerdo cuvier),1,4.02,4.9,8.19,5.46,3.4,1.72,7,5.26,1.15,5.3
P091,Xiphinis (Xiphias gladius),1,5.94,4.68,7.9,5.92,3.51,2.05,4.82,5.07,0.77,5.27
P092,"Eggs, Cat fish (Ompok bimaculatus)",1,4.55,5.21,8.04,7.36,2.8,1.63,6.3,5.21,1.06,5.15
Q001 ,Crab (Menippe mercenaria) ,1,2.33,4.54,6.35,7.11,3.43,1.69,4.72,2.43,1.41,4.79
Q002,"Crab, sea (Portunus sanguinolentus)",1,2.2,4.48,7.3,7.82,3.62,1.6,4.11,4.81,0.64,4.91
Q003,"Lobster, brown (Thenus orientalis)",1,2.74,4.98,8.62,7.73,3.99,1.52,3.7,5.09,0.75,5.87
Q004,"Lobster, king size (Thenus orientalis)",1,3.22,4.37,6.45,7.53,4.24,1.91,4.83,4.33,0.88,5.38
Q005,Mud crab (Scylla tranquebarica),1,1.73,4.12,6.9,6.78,2.39,1.42,4.07,4.28,1.15,4.67
Q006,Oyster (Crassostrea sp.),1,2.34,4.56,7.08,6.06,2.21,1.16,3.87,4.76,0.92,5.31
Q007,"Tiger prawns, brown (Solenocera crassicornis)",1,2.03,4.55,7.72,7.49,3.43,1.77,4.6,4.9,0.87,5.06
Q008,"Tiger Prawns, orange (Penaeus monodon)",1,2.11,4.67,7.39,7.93,3.81,2.04,3.68,4.9,0.71,5.13
R001 ,"Clam, green shell (Perna viridis ) ",1,2.42,4.44,6.43,4.12,3.62,1.3,3.71,5.61,0.92,4.92
