code,name,regn,cho,starch,frus,glus,sucs,mals,fsugar,lactose
E055,"Pomegranate, maroon seeds (Punica granatum)",6,10.87±0.05,,1.01±0.03,1.74±0.04,8.12±0.04,,10.87±0.05,
E056,Pummelo (Citrus maxima),3,4.85±0.05,0.46±0.02,2.09±0.02,1.44±0.03,0.86±0.04,,4.38±0.07,
E057,"Raisins, dried, black (Vitis vinifera)",6,62.80±2.05,1.29±0.03,23.12±1.79,16.22±0.66,22.17±0.93,,61.51±2.02,
E058,"Raisins, dried, golden (Vitis vinifera)",6,58.17±2.00,1.05±0.03,26.54±0.56,15.58±2.03,15.00±0.23,,57.12±2.02,
E059,Rambutan (Nephelium lappaceum),1,15.8,,8.78,6,1.02,,15.8,
E060,Sapota (Achras sapota),6,12.30±0.05,,8.60±0.03,2.85±0.06,0.85±0.03,,12.30±0.05,
E061,Soursop ( Annona muricata ),1,9.95,0.12,7.99,1.66,0.18,,9.83,
E062,Star fruit (Averrhoa carambola),1,3.95,,2.22,1.73,,,3.95,
E063,Strawberry (Fragaria ananassa),6,3.66±0.11,0.10±0.01,1.90±0.05,1.60±0.14,0.07±0.03,,3.56±0.11,
E064,"Tamarind, pulp (Tamarindus indicus)",6,52.88±2.38,,12.31±1.27,14.53±0.83,26.04±1.08,,52.88±2.38,
E065,"Water melon, dark green (sugar baby) (Citrullus vulgaris)",6,3.66±0.27,,1.91±0.15,0.31±0.03,1.44±0.02,,3.66±0.27,
E066,"Water melon, pale green (Citrullus vulgaris)",6,3.00±0.25,,2.57±0.39,0.21±0.02,0.22±0.01,,3.00±0.25,
E067,Wood Apple (Limonia acidissima),3,6.60±0.04,2.79±0.02,1.38±0.02,1.41±0.02,1.02±0.02,,3.81±0.02,
E068,Zizyphus (Zizyphus jujube),1,8.29,,4.3,2.98,1.01,,8.29,
F001,Beet root (Beta vulgaris),6,6.04±0.94,1.69±0.43,1.67±0.02,1.46±0.02,1.21±0.03,,4.35±0.02,
F002,"Carrot, orange (Dacus carota)",6,4.48±0.65,1.24±0.27,0.11±0.02,1.15±0.03,1.98±0.02,,3.23±0.03,
F003,"Carrot, red (Dacus carota)",4,5.35±0.03,1.39±0.05,1.08±0.02,1.13±0.02,1.75±0.02,,3.96±0.03,
F004,Colocasia (Colocasia antiquorum),6,14.78±0.71,13.88±0.74,0.54±0.03,0.25±0.03,0.12±0.02,,0.90±0.05,
F005,Lotus root (Nelumbium nelumbo),3,13.46±0.78,13.22±0.82,0.07±0.02,0.11±0.02,0.07±0.02,,0.24±0.04,
F006,"Potato, brown skin, big (Solanum tuberosum)",6,11.79±0.76,11.47±0.71,0.24±0.02,0.05±0.02,0.04±0.02,,0.32±0.02,
F007,"Potato, brown skin, small (Solanum tuberosum)",1,10.73,10.29,0.26,0.08,0.1,,0.44,
F008,"Potato, red skin (Solanum tuberosum)",1,13.46,13.08,0.22,0.1,0.05,,0.38,
F009,"Radish, elongate, red skin (Raphanus sativus)",3,1.56±0.04,0.41±0.02,0.48±0.06,0.27±0.04,0.40±0.04,,1.15±0.03,
F010,"Radish, elongate, white skin (Raphanus sativus)",6,1.54±0.11,0.59±0.09,0.31±0.05,0.03±0.01,0.62±0.03,,0.95±0.04,
F011,"Radish, round, red skin (Raphanus sativus)",1,1.5,0.64,0.38,0.18,0.3,,0.86,
F012,"Radish, round, white skin (Raphanus sativus)",2,1.46,0.3,0.36,0.3,0.5,,1.16,
F013,"Sweet potato, brown skin (Ipomoes batatas)",4,22.45±1.75,18.82±1.74,0.46±0.04,0.71±0.04,2.47±0.05,,3.63±0.05,
F014,"Sweet potato, pink skin (Ipomoes batatas)",3,23.91±1.54,19.88±1.53,0.90±0.03,0.97±0.02,2.16±0.04,,4.03±0.03,
F015,Tapioca (Manihot esculenta),3,17.50±0.10,15.36±0.12,0.13±0.03,0.29±0.02,1.72±0.02,,2.14±0.05,
F016,Water Chestnut (Eleocharis dulcis),1,17.88,15.93,0.12,0.32,1.51,,1.95,
F017,"Yam, elephant (Amorphophallus campanulatus)",6,15.94±0.20,14.36±0.18,0.70±0.02,0.16±0.03,0.72±0.03,,1.58±0.05,
F018,"Yam, ordinary (Amorphophallus campanulatus)",4,16.09±1.00,14.94±0.35,0.42±0.24,0.11±0.06,0.62±0.48,,1.15±0.75,
F019,"Yam, wild (Dioscorea versicolor)",2,16.89,15.35,0.62,0.12,0.8,,1.54,
G001,"Chillies, green-1 (Capsicum annum)",5,3.02±0.04,2.31±0.01,0.54±0.03,0.16±0.03,0.02±0.00,,0.71±0.03,
G002,"Chillies, green-2 (Capsicum annum)",3,3.01±0.09,1.96±0.04,0.93±0.03,0.11±0.02,0.02±0.01,,1.05±0.05,
G003,"Chillies, green-3 (Capsicum annum)",5,2.39±0.07,1.85±0.02,0.45±0.04,0.08±0.02,0.02±0.01,,0.54±0.04,
G004,"Chillies, green-4 (Capsicum annum)",3,2.27±0.07,1.65±0.03,0.47±0.05,0.14±0.02,0.01±0.00,,0.62±0.06,
G005,"Chillies, green-5 (Capsicum annum)",2,2.30±0.01,1.84±0.03,0.42±0.03,0.02±0.01,0.02±0.00,,0.46±0.02,
G006,"Chillies, green-6 (Capsicum annum)",1,2.29,1.7,0.43,0.15,0.01,,0.59,
G007,"Chillies, green-7 (Capsicum annum)",1,3.21,2.48,0.66,0.05,0.02,,0.73,
G008,"Chillies, green - all varieties (Capsicum annum)",6,2.63±0.37,1.96±0.26,0.55±0.17,0.11±0.05,0.02±0.00,,0.67±0.18,
G009,Coriander leaves (Coriandrum sativum),6,1.23±0.13,1.06±0.09,0.07±0.04,0.06±0.03,0.05±0.02,,0.17±0.04,
G010,Curry leaves (Murraya koenigii),6,3.66±0.17,3.08±0.16,0.41±0.03,0.20±0.01,,,0.60±0.03,
G011,"Garlic, big clove (Allium sativum)",6,20.81±1.23,14.84±0.97,4.20±0.34,1.20±0.02,0.57±0.21,,5.97±0.43,
G012,"Garlic, small clove (Allium sativum)",3,19.70±0.97,14.86±0.87,1.48±0.06,1.08±0.03,2.28±0.06,,4.84±0.11,
G013,"Garlic, single clove, Kashmir (Allium sativum)",1,21.26,17.53,1.21,1.05,1.47,,3.73,
G014,"Ginger, fresh (Zinziber officinale)",6,5.11±0.11,3.80±0.04,1.00±0.07,0.15±0.03,0.17±0.14,,1.31±0.12,
G015,Mango ginger (Curcuma amada),3,4.21±0.07,1.79±0.09,1.11±0.02,0.81±0.11,0.50±0.03,,2.42±0.12,
G016,Mint leaves (Mentha spicata ),4,1.10±0.03,1.02±0.03,0.01±0.00,0.07±0.02,,,0.08±0.02,
G017,"Onion, big (Allium cepa)",6,6.68±0.09,0.80±0.03,1.89±0.19,1.47±0.04,2.52±0.10,,5.88±0.09,
G018,"Onion, small (Allium cepa)",5,6.37±1.15,0.75±0.26,1.44±0.26,1.63±0.09,2.55±1.06,,5.62±1.06,
G019,Asafoetida (Ferula assa-foetida),6,37.76±1.01,36.83±1.00,0.21±0.11,0.47±0.13,0.25±0.10,,0.93±0.26,
G020,"Cardamom, green (Elettaria cardamomum)",6,33.75±1.38,29.47±1.39,1.84±0.02,1.89±0.04,0.55±0.05,,4.28±0.06,
G021,"Cardamom, black (Elettaria cardamomum)",4,31.34±0.34,29.04±0.36,1.37±0.03,0.76±0.02,0.17±0.02,,2.30±0.04,
G022,"Chillies, red (Capsicum annum)",6,9.45±0.59,4.75±0.22,2.68±0.33,1.82±0.33,0.20±0.02,,4.70±0.38,
G023,Cloves (Syzygium aromaticum),6,10.67±0.35,8.57±0.45,1.68±0.16,0.43±0.05,,,2.10±0.15,
G024,Coriander seeds (Coriandrum sativum),6,8.45±0.77,6.07±0.76,1.61±0.84,0.77±0.16,,,2.38±0.95,
G025,Cumin seeds (Cuminum cyminum),6,15.84±0.50,14.46±0.20,0.63±0.11,0.75±0.24,,,1.38±0.33,
G026,Fenugreek seeds (Trigonella foenum graecum),6,4.22±0.20,3.66±0.20,0.31±0.02,0.12±0.01,0.11±0.02,0.01±0.01,0.55±0.05,
G027,Mace (Myristica fragrans),6,23.71±1.14,22.85±1.07,0.20±0.02,0.28±0.05,0.38±0.11,,0.85±0.12,
G028,Nutmeg (Myristica fragrans),6,25.56±1.40,24.49±1.39,0.29±0.10,0.59±0.11,0.20±0.02,,1.08±0.21,
G029,Omum (Trachyspermum ammi),6,18.51±1.26,15.75±1.05,2.07±0.13,0.47±0.28,0.22±0.06,,2.76±0.37,
G030,Pippali (Piper longum),6,34.46±0.61,31.72±0.72,1.24±0.23,0.51±0.10,1.00±0.02,,2.75±0.25,
G031,"Pepper, black (Piper nigrum)",6,35.67±0.85,35.35±1.12,0.09±0.04,0.23±0.05,,,0.32±0.05,
G032,Poppy seeds (Papaver somniferum),6,12.28±0.79,10.43±0.81,0.78±0.43,0.77±0.11,0.30±0.13,,1.85±0.40,
G033,Turmeric powder (Curcuma domestica),6,45.67±1.50,44.44±1.34,,0.49±0.22,0.75±0.42,,1.23±0.35,
H001,Almond (Prunus amygdalus),6,2.24±0.21,0.01±0.01,1.20±0.22,0.76±0.02,0.27±0.01,,2.23±0.21,
H002,"Arecanut, dried, brown (Areca catechu)",6,68.32±2.36,66.56±2.38,0.50±0.06,0.71±0.02,0.55±0.03,,1.76±0.05,
H003,"Arecanut, dried, red color (Areca catechu)",3,69.12±2.92,67.33±2.74,0.60±0.17,0.83±0.07,0.36±0.02,,1.79±0.20,
H004,"Arecanut, fresh (Areca catechu)",2,40.1,35.38,3.24,1.06,0.43,,4.72,
H005,Cashew nut (Anacardium occidentale),6,23.23±1.11,20.11±1.08,1.97±0.05,1.05±0.04,0.10±0.02,,3.11±0.08,
H006,"Coconut, kernal, dry (Cocos nucifera)",6,6.93±0.30,,1.37±0.04,1.00±0.03,4.57±0.28,,6.93±0.30,
H007,"Coconut, kernel, fresh (Cocos nucifera)",6,6.20±0.26,,1.00±0.08,0.89±0.04,4.31±0.20,,6.20±0.26,
H008,"Garden cress, seeds (Lepidium sativum)",5,31.03±1.87,30.12±1.74,0.09±0.01,0.21±0.08,0.61±0.08,,0.91±0.16,
H009,"Gingelly seeds, black (Sesamum indicum)",6,9.53±0.59,8.54±0.58,0.31±0.02,0.47±0.02,0.21±0.02,,0.99±0.05,
H010,"Gingelly seeds, brown (Sesamum indicum)",4,9.31±1.09,7.92±1.06,0.50±0.02,0.21±0.03,0.68±0.03,,1.39±0.04,
H011,"Gingelly seeds, white (Sesamum indicum)",5,8.61±0.73,7.94±0.74,0.09±0.02,0.33±0.01,0.26±0.03,,0.67±0.04,
H012,Ground nut (Arachis hypogea),6,14.61±0.87,10.19±0.52,0.60±0.30,0.25±0.04,3.57±0.40,,4.42±0.51,
H013,Mustard seeds (Brassica juncea),6,14.12±1.06,9.05±0.80,1.13±0.46,1.40±0.42,2.55±0.56,,5.07±0.72,
H014,Linseeds (Linum usitatissimum),6,8.15±0.17,7.55±0.13,0.20±0.02,0.40±0.05,,,0.60±0.04,
H015,"Niger seeds, black (Guizotia abyssinica)",4,16.76±0.85,15.01±0.82,1.34±0.12,0.31±0.02,0.10±0.01,,1.75±0.11,
H016,"Niger seeds, gray (Guizotia abyssinica)",5,16.75±0.15,16.34±0.20,0.11±0.01,0.20±0.03,0.10±0.10,,0.41±0.08,
H017,Pine seed (Pinus gerardiana),5,22.60±0.49,17.93±0.44,1.55±0.17,1.00±0.02,2.12±0.07,,4.67±0.14,
H018,Pistachio nuts (Pistacla vera),6,14.55±0.30,6.65±0.33,4.11±0.02,2.65±0.16,1.15±0.03,,7.90±0.19,
H019,Safflower seeds (Carthamus tinctorius),5,28.15±0.85,25.48±0.76,0.80±0.02,0.52±0.07,1.35±0.06,,2.67±0.11,
H020,Sunflower seeds (Helianthus annuus),5,6.79±0.56,3.97±0.45,0.74±0.08,0.60±0.02,1.48±0.15,,2.81±0.13,
H021,Walnut (Juglans regia),6,10.05±0.73,6.63±0.34,1.10±0.02,0.36±0.03,1.76±0.10,,3.22±0.08,
I001,"Jaggery, cane (Saccharum officinarum)",6,84.32±3.22,,22.31±1.92,3.79±0.79,58.23±1.21,,84.32±3.22,
I002,"Sugarcane, juice (Saccharum officinarum)",6,12.85±0.80,,0.55±0.22,2.27±0.49,10.03±0.33,,12.85±0.80,
J001 ,"Button mushroom, fresh (Agaricus sp.) ",1,0.8,0.7,0.1,,,,0.1,
J002,"Chicken mushroom, fresh (Lactiporus sp.)",1,1.96,1.86,0.1,,,,0.1,
J003,"Shiitake mushroom, fresh (Lentinula sp.)",1,4.51,4.31,0.2,,,,0.2,
J004,"Oyster mushroom, dried (Pleurotus sp.)",1,22,21.32,0.68,,,,0.68,
K001 ,Toddy ,10,5.73±0.17 ,,5.73±0.17 ,,,,5.73±0.17,
K002,Coconut Water,6,3.06±0.07,,3.06±0.07,,,,3.06±0.07,
L001 ,"Milk, whole, Buffalo",6,5.48±0.19 ,,0.24±0.05 ,0.39±0.04 ,0.59±0.06 ,,5.34±0.16,4.12±0.14
L002,"Milk, whole, Cow",6,4.94±0.18,,0.20±0.04,0.18±0.04,0.24±0.03,,4.89±0.14,4.28±0.10
L003,Paneer,6,12.01±0.08,,0.50±0.03,1.11±0.24,0.84±0.08,,11.57±0.28,9.12±0.20
L004,Khoa,6,16.33±3.84,,0.80±0.04,1.57±0.34,0.91±0.04,,16.14±1.11,12.86±1.03
